number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
0,0.42131064385498107,2025-12-25 07:39:01.915351,2025-12-25 21:20:13.376385,0 days 13:41:11.461034,168.2678537264224,0.00022580760187514612,,linear,0.8171945755447881,-0.14295637772291325,1.198178958440369,0.42131064385498107,COMPLETE
1,0.43237681502561814,2025-12-25 21:20:13.376734,2025-12-25 21:20:25.999863,0 days 00:00:12.623129,0.012298986180608767,0.0020112699230548027,,linear,0.7321360423391936,0.015357789554502954,1.1121057485191286,0.43237681502561814,COMPLETE
2,0.1869732833436908,2025-12-25 21:20:26.000147,2025-12-25 21:20:37.503419,0 days 00:00:11.503272,0.0013139963451954926,0.0010931822546982766,0.0005227689405584846,sigmoid,0.862145081395169,-0.12372832712161785,1.1880576777560683,0.1869732833436908,COMPLETE
3,0.2914735994607962,2025-12-25 21:20:37.503595,2025-12-25 21:20:52.835715,0 days 00:00:15.332120,0.008962596457840895,0.00017640916818029682,0.21461124338181684,rbf,0.8766745874908752,-0.14725037719747047,1.2004275816820604,0.2914735994607962,COMPLETE
4,0.2265609805795231,2025-12-25 21:20:52.835929,2025-12-25 21:30:44.008098,0 days 00:09:51.172169,23.280272091618162,0.18768673676349396,0.057608233164338725,poly,6.743370358616572,-132.0295792560405,12.926500568718287,0.2265609805795231,COMPLETE
5,0.14165798670186502,2025-12-25 21:30:44.008412,2025-12-25 21:30:54.911193,0 days 00:00:10.902781,0.004925662983188875,0.048200866702277606,1.4092018569259911e-05,sigmoid,0.875336054517703,-0.1442711243854986,1.1988678950695715,0.14165798670186502,COMPLETE
6,-0.17553615011469706,2025-12-25 21:30:54.911392,2025-12-25 21:31:06.900995,0 days 00:00:11.989603,407.96018851156305,0.028753888724575575,0.003694756987649668,sigmoid,80431.40456478126,-7441947631.893225,96683.01067313137,-0.17553615011469706,COMPLETE
7,0.40121955047248625,2025-12-25 21:31:06.901221,2025-12-25 22:46:32.045332,0 days 01:15:25.144111,32.63866616585514,0.014989388169848268,,linear,0.8341370942757306,-0.2192502771188698,1.2375230373216324,0.40121955047248625,COMPLETE
8,0.13906101635361648,2025-12-25 22:46:32.045636,2025-12-25 22:46:42.287060,0 days 00:00:10.241424,0.0015675590974745554,0.10743062302083949,2.7517469707526716e-05,sigmoid,0.876199556593393,-0.1462003485601262,1.1998781062094814,0.13906101635361648,COMPLETE
9,0.22939180654557154,2025-12-25 22:46:42.287258,2025-12-25 22:46:54.222634,0 days 00:00:11.935376,0.06884574594971386,0.00048660575243677785,2.4218028343703033e-05,sigmoid,0.8459020378896391,-0.11018249884976128,1.180875328690209,0.22939180654557154,COMPLETE
10,0.30868022078484714,2025-12-25 22:46:54.222802,2025-12-25 22:47:00.110680,0 days 00:00:05.887878,0.4940482476151502,0.9795176761789683,,linear,0.958015844262516,-0.3875246691775003,1.3201619690435282,0.30868022078484714,COMPLETE
11,0.42564390409278485,2025-12-25 22:47:00.110864,2025-12-25 22:52:09.056113,0 days 00:05:08.945249,2.5979223762942962,0.0025283718146153294,,linear,0.8037663452972484,-0.10799959928254221,1.179713807673502,0.42564390409278485,COMPLETE
12,0.42996921871246047,2025-12-25 22:52:09.056478,2025-12-25 22:55:58.350974,0 days 00:03:49.294496,1.8462867734937056,0.003202805102914662,,linear,0.7996641423473242,-0.09711869718372212,1.1739069371687705,0.42996921871246047,COMPLETE
13,0.43631270183161913,2025-12-25 22:55:58.351204,2025-12-25 22:56:25.813140,0 days 00:00:27.461936,0.20438937647228222,0.004184465345503631,,linear,0.7622206202726798,-0.008098010612619166,1.1252738842511048,0.43631270183161913,COMPLETE
14,0.12237717982273871,2025-12-25 22:56:25.813443,2025-12-26 01:40:37.392888,0 days 02:44:11.579445,0.09615316832109225,0.005799850485338053,5.543775220137687,poly,10.289971209478587,-348.4781836526061,20.95158560952712,0.12237717982273871,COMPLETE
15,0.0013861055646104425,2025-12-26 01:40:37.393206,2025-12-26 01:40:52.753221,0 days 00:00:15.360015,0.03887300820826579,0.0013876592274787338,9.685324370546372,rbf,0.8770472454896879,-0.14788355626716565,1.2007588000406286,0.0013861055646104425,COMPLETE
16,0.4403805529794582,2025-12-26 01:40:52.753420,2025-12-26 01:41:31.902774,0 days 00:00:39.149354,0.33068103222887035,0.009502921428856741,,linear,0.7672982397551933,-0.021162026028731074,1.132541667153484,0.4403805529794582,COMPLETE
17,0.4402702141351108,2025-12-26 01:41:31.903124,2025-12-26 01:42:18.315927,0 days 00:00:46.412803,0.38759422549031225,0.008809293785792765,,linear,0.7710348486044192,-0.03179350014212812,1.138421933994239,0.4402702141351108,COMPLETE
18,0.4204014569589812,2025-12-26 01:42:18.316269,2025-12-26 01:50:40.055896,0 days 00:08:21.739627,4.602086594046204,0.01072915052035759,,linear,0.8150296054180699,-0.1412502125609283,1.1972843247001559,0.4204014569589812,COMPLETE
19,0.15622005405066133,2025-12-26 01:50:40.056241,2025-12-26 01:50:51.464438,0 days 00:00:11.408197,0.30587126645255275,0.026583068017750733,1.0205639822490821e-06,poly,0.8772272117879997,-0.14842106502362507,1.201039901214857,0.15622005405066133,COMPLETE
20,0.5229869833287538,2025-12-26 01:50:51.464738,2025-12-26 01:51:00.135756,0 days 00:00:08.671018,7.051776074668415,0.2504820210273905,0.0022034378391663453,rbf,0.6769702521170283,0.18882422801131904,1.0094024308391671,0.5229869833287538,COMPLETE
21,0.5118543928047156,2025-12-26 01:51:00.135947,2025-12-26 01:51:04.908161,0 days 00:00:04.772214,8.981078485012846,0.5390190011251099,0.00237941956852441,rbf,0.7159479576607443,0.17764107605263368,1.0163366003160705,0.5118543928047156,COMPLETE
22,0.4770979344114883,2025-12-26 01:51:04.908312,2025-12-26 01:51:08.169543,0 days 00:00:03.261231,9.070202178254258,0.8718285251057009,0.00334153804160939,rbf,0.7871801330575717,0.11977562970589661,1.0514861463838656,0.4770979344114883,COMPLETE
23,0.5135101509052946,2025-12-26 01:51:08.169749,2025-12-26 01:51:13.246840,0 days 00:00:05.077091,11.24393901091407,0.5074737707004344,0.0023044765068171535,rbf,0.7139439290484275,0.17439524106509974,1.0183403556553534,0.5135101509052946,COMPLETE
24,0.4712965159337845,2025-12-26 01:51:13.246998,2025-12-26 01:51:21.056961,0 days 00:00:07.809963,81.01265577629711,0.31742212132587594,0.0005942510467756045,rbf,0.8010247354509964,-0.20194581138652423,1.2287097516090828,0.4712965159337845,COMPLETE
25,0.44543130638861117,2025-12-26 01:51:21.057152,2025-12-26 01:51:29.455768,0 days 00:00:08.398616,12.443653261478229,0.43124157970999,0.03226129602788381,rbf,0.8082932252449234,0.021462858052781364,1.1086526979366198,0.44543130638861117,COMPLETE
26,0.40983832784527996,2025-12-26 01:51:29.455954,2025-12-26 01:51:55.710079,0 days 00:00:26.254125,808.4518311051432,0.1128356014731597,0.0004314894870306264,rbf,0.9922347570350198,-0.7446713662141466,1.4803475102078634,0.40983832784527996,COMPLETE
27,0.4599653659162603,2025-12-26 01:51:55.710338,2025-12-26 01:52:04.387865,0 days 00:00:08.677527,85.91847390571864,0.3931933864161862,0.013676845985608725,rbf,0.7866422894872105,0.04679706209617751,1.0942071466847074,0.4599653659162603,COMPLETE
28,0.4253842292640544,2025-12-26 01:52:04.388051,2025-12-26 01:52:17.167202,0 days 00:00:12.779151,1.255709739321376,0.07770418746423141,0.0001858282291973475,rbf,0.7084563391096336,0.03657259319250916,1.1000599642407052,0.4253842292640544,COMPLETE
29,0.5307530027296341,2025-12-26 01:52:17.167374,2025-12-26 01:52:26.637513,0 days 00:00:09.470139,4.3351172287237985,0.2183467528607405,0.006021747189289802,rbf,0.6981506821016707,0.1896032885488097,1.0089175947955147,0.5307530027296341,COMPLETE
30,0.26797267850194934,2025-12-26 01:52:26.637707,2025-12-26 01:52:38.409974,0 days 00:00:11.772267,46.48210230730967,0.23426231473048822,0.34277539309621907,rbf,0.8375896566713743,-0.016579887860936005,1.1299978509526718,0.26797267850194934,COMPLETE
31,0.5048750057904703,2025-12-26 01:52:38.410133,2025-12-26 01:52:43.683680,0 days 00:00:05.273547,4.872765665451486,0.5620501273370646,0.006235734710284451,rbf,0.7391366328733021,0.16074621137258982,1.0267235323564199,0.5048750057904703,COMPLETE
32,0.48660249669524464,2025-12-26 01:52:43.683822,2025-12-26 01:52:54.025551,0 days 00:00:10.341729,12.634784882690656,0.18582551915394988,0.001016917864215041,rbf,0.7220941486440514,0.009917780161828427,1.1151736306866948,0.48660249669524464,COMPLETE
33,0.44159280448725957,2025-12-26 01:52:54.025728,2025-12-26 01:52:57.861731,0 days 00:00:03.836003,171.35432258169513,0.6469811950459304,0.00010800536000664824,rbf,0.812655832991237,-0.15937243736284823,1.2067528871823285,0.44159280448725957,COMPLETE
34,0.5163202164862774,2025-12-26 01:52:57.861899,2025-12-26 01:53:11.563186,0 days 00:00:13.701287,5.65474643394938,0.06369334919239876,0.0021018944248096245,rbf,0.670774937192869,0.1777716852162421,1.016255888512194,0.5163202164862774,COMPLETE
35,0.4701244019414883,2025-12-26 01:53:11.563350,2025-12-26 01:53:25.351792,0 days 00:00:13.788442,0.7719690321647027,0.0590412305328222,0.014014839712289987,rbf,0.7605077364860491,0.01886530859396085,1.11012319482107,0.4701244019414883,COMPLETE
36,0.5090888435034642,2025-12-26 01:53:25.351958,2025-12-26 01:53:36.031584,0 days 00:00:10.679626,3.277735883447243,0.15323274099766312,0.0016545103671711213,rbf,0.6692700342733394,0.15943956684527383,1.0275224807407066,0.5090888435034642,COMPLETE
37,0.3731818150642482,2025-12-26 01:53:36.031771,2025-12-26 01:53:51.766584,0 days 00:00:15.734813,24.44725225463302,0.040201924226949605,0.0766752013517956,rbf,0.8124479621085934,-0.007426454553694839,1.1248990147538573,0.3731818150642482,COMPLETE
