number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
12,0.8138828633400641,2025-12-24 14:47:42.275645,2025-12-24 14:47:46.900471,0 days 00:00:04.624826,3.131747510373928e-08,0.9578781253579122,22,9.927867465566882,0.014246074346561608,0.02087984134290447,11,12,1470,0.6609412773752791,0.9177130900515538,0.8868851817857283,0.3974306881427765,COMPLETE
13,0.8001644736837111,2025-12-24 14:47:46.900841,2025-12-24 14:47:55.500354,0 days 00:00:08.599513,6.437270173050021e-07,0.8874973018903952,24,9.97067813588088,1.4185250644761226e-05,0.01592713341044889,11,201,1115,0.6579818325728917,0.9055352031306019,0.8668405290097418,0.3616088628768921,COMPLETE
14,0.8189884649506987,2025-12-24 14:47:55.500938,2025-12-24 14:48:05.997770,0 days 00:00:10.496832,6.55272362354474e-07,0.8951732596517911,54,8.373863073018043,0.0013934263026958672,0.01258827768056157,10,12,1059,0.7049853396579343,0.9212784891136611,0.8921434913544537,0.4301207959651947,COMPLETE
15,0.8149760557243588,2025-12-24 14:48:05.998168,2025-12-24 14:48:15.980786,0 days 00:00:09.982618,8.260805055136733e-07,0.3001062799852261,51,6.884899734994834,0.03851853969574268,0.04213923110702412,6,208,1486,0.5767349037096682,0.9122577864256788,0.876530830470069,0.4200918674468994,COMPLETE
16,0.7987307343603363,2025-12-24 14:48:15.980979,2025-12-24 14:48:23.760822,0 days 00:00:07.779843,2.1001984872021938e-07,0.8173219877380902,74,8.983834470281446,5.754816820656712e-06,0.006114190059656163,3,77,1017,0.6400709986994513,0.903917241314573,0.8633804797635383,0.442381352186203,COMPLETE
17,0.8108573890559413,2025-12-24 14:48:23.761196,2025-12-24 14:48:30.050893,0 days 00:00:06.289697,0.0019735373459935845,0.9432098862453833,30,6.910222206556673,0.0005065959674452721,0.03690511591965863,8,191,1261,0.8219614923433293,0.912321700571799,0.8779704372992976,0.40514832735061646,COMPLETE
18,0.7999999999995002,2025-12-24 14:48:30.051310,2025-12-24 14:48:31.668479,0 days 00:00:01.617169,4.009762910962955e-06,0.6757445169879835,39,5.932665388955937,1.8895374068749405e-07,0.23204396908463173,11,2,1356,0.7057366481057497,0.9094336049505908,0.8722885671085621,0.4040088951587677,COMPLETE
19,0.8118725447397885,2025-12-24 14:48:31.668685,2025-12-24 14:48:42.040377,0 days 00:00:10.371692,1.0207677592192907e-08,0.9972894467809975,78,7.575894997631274,0.23782036957415634,0.009532919288792468,15,78,941,0.5878108731337968,0.9127950413487798,0.8782525336664122,0.41856205463409424,COMPLETE
20,0.7645502645497652,2025-12-24 14:48:42.040575,2025-12-24 14:48:52.214723,0 days 00:00:10.174148,0.01781963888480303,0.9207087351243884,42,9.28774991006646,7.198327611589411e-05,0.0036250953963944607,5,252,1209,0.7075390863433945,0.8824184651843601,0.8319633491079848,0.4254327416419983,COMPLETE
21,0.8134228187914477,2025-12-24 14:48:52.215114,2025-12-24 14:49:02.637127,0 days 00:00:10.422013,1.1471824532634289e-07,0.8511596682108818,56,8.699890727407285,0.0015121671089656432,0.01394920416738104,10,39,1105,0.683590180094212,0.918229227604907,0.8875209387900811,0.44717806577682495,COMPLETE
