number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
21,0.44588152920459745,2025-12-22 01:19:34.802823,2025-12-22 01:19:35.048935,0 days 00:00:00.246112,3.087948876729098e-09,0.5588691528421155,156,2.4871012189483905,0.0011886908149073496,0.02086464251053602,14,11.621463095886307,286,0.946075586056488,0.8832928538322449,0.1552361249923706,1.370902419090271,0.44588152920459745,COMPLETE
22,0.4651933917642468,2025-12-22 01:19:35.049041,2025-12-22 01:19:35.287095,0 days 00:00:00.238054,6.651719991208155e-07,0.49582805826412474,136,2.980969387677648,0.34505159858138806,0.004291018018317384,14,111.26936663201239,266,0.9866479331533378,1.0237081050872803,0.06400793790817261,1.4430286884307861,0.4651933917642468,COMPLETE
23,0.2771162677893346,2025-12-22 01:19:35.287204,2025-12-22 01:19:35.527509,0 days 00:00:00.240305,1.3428437613411099e-09,0.6380476894206591,92,4.648214033510941,0.003642821990639855,0.007948395221501127,15,2.221999572869907,796,0.8733817066476505,1.0021315813064575,0.053539276123046875,1.4510760307312012,0.2771162677893346,COMPLETE
24,0.5109802371809516,2025-12-22 01:19:35.527622,2025-12-22 01:19:35.847611,0 days 00:00:00.319989,3.055680445178335e-07,0.4534386276157425,122,7.831746386669254,1.8207855837407498e-05,0.0030996056616518883,12,18.060806767156063,368,0.8753899094256328,0.9866247177124023,0.09606915712356567,1.4180986881256104,0.5109802371809516,COMPLETE
25,0.5193583258763164,2025-12-22 01:19:35.847719,2025-12-22 01:19:36.116543,0 days 00:00:00.268824,7.872540548759103e-08,0.6157144699800697,163,1.9096744954012852,0.00010745755767084799,0.039773119715210165,14,10.390582341301846,626,0.9260086854765366,0.844333291053772,0.19806307554244995,1.3357001543045044,0.5193583258763164,COMPLETE
26,0.0,2025-12-22 01:19:36.116657,2025-12-22 01:19:36.230259,0 days 00:00:00.113602,5.213640898299582e-06,0.7235108913813861,129,3.386115440089068,0.01702115610737499,0.014859736537996831,12,258.11337567085997,170,0.7765077871634112,1.1214306354522705,-0.020476698875427246,1.5067473649978638,0.0,COMPLETE
27,0.5122651542318041,2025-12-22 01:19:36.230362,2025-12-22 01:19:36.619758,0 days 00:00:00.389396,6.931247145151372e-10,0.5993073006256648,147,4.214837659778478,0.303508616122527,0.00975402724770582,15,53.665160601601094,483,0.829515142701079,0.9161045551300049,0.19864332675933838,1.3352168798446655,0.5122651542318041,COMPLETE
28,0.40976122178091134,2025-12-22 01:19:36.619868,2025-12-22 01:19:38.071070,0 days 00:00:01.451202,6.130926073084538e-09,0.3898672341142621,93,0.6382188530629813,0.0005917565056169214,0.0010672742471549187,10,1.6875832432589504,715,0.9630469093352237,0.9705167412757874,0.10853695869445801,1.4082849025726318,0.40976122178091134,COMPLETE
29,0.2957284064334394,2025-12-22 01:19:38.071192,2025-12-22 01:19:38.900091,0 days 00:00:00.828899,1.0114745697591081e-10,0.6708608922200021,169,3.9645189447568305,8.525559366779294e-06,0.0038358835829280036,5,0.5090738647050039,1033,0.880785054464379,0.9792554974555969,0.06673592329025269,1.4409242868423462,0.2957284064334394,COMPLETE
30,0.29146787602813823,2025-12-22 01:19:38.900364,2025-12-22 01:19:39.090881,0 days 00:00:00.190517,2.7473495286239825e-06,0.7677585928258093,74,2.96175234029261,2.9710478864098532e-09,0.020132464182897297,13,0.6879091783502428,227,0.8408017866478553,0.9869023561477661,0.05039012432098389,1.4534879922866821,0.29146787602813823,COMPLETE
