number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,params_kernel,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
10,0.6939772718127495,2025-12-22 01:25:19.107209,2025-12-22 01:25:19.192172,0 days 00:00:00.084963,0.04358656474217371,0.0005505947857345432,0.0007276999535611469,poly,0.9826164456082442,0.08266409720647239,1.4285750475586905,0.6939772718127495,COMPLETE
11,0.7010869699522395,2025-12-22 01:25:19.192258,2025-12-22 01:25:19.277096,0 days 00:00:00.084838,0.05068943401345491,0.0005043974621200217,0.0011083608450387532,poly,0.8334838350412263,0.19012113268411357,1.3422978603744382,0.7010869699522395,COMPLETE
12,0.6619026503596518,2025-12-22 01:25:19.277185,2025-12-22 01:25:19.369142,0 days 00:00:00.091957,0.15941075754872222,0.0012068022883064578,0.0034166510643629006,poly,0.7929941745413732,0.18900491977606348,1.3432225506958584,0.6619026503596518,COMPLETE
13,0.7345795646744406,2025-12-22 01:25:19.369227,2025-12-22 01:25:19.454103,0 days 00:00:00.084876,0.008008789142301015,0.0012261453753198291,0.0024366994944737966,poly,0.8003144024509852,0.2125778552639095,1.3235570835721422,0.7345795646744406,COMPLETE
14,0.6903348323196216,2025-12-22 01:25:19.454189,2025-12-22 01:25:19.541228,0 days 00:00:00.087039,0.0018737968112641924,0.001802792236705593,0.009986657060461866,poly,0.769849925836439,0.20244749045336619,1.3320438062099178,0.6903348323196216,COMPLETE
15,0.6608515652790576,2025-12-22 01:25:19.541313,2025-12-22 01:25:19.636134,0 days 00:00:00.094821,0.007727848269665945,0.005793359680981533,,linear,0.8016088909549777,0.160203626635962,1.3668657517226672,0.6608515652790576,COMPLETE
16,0.4631153581675459,2025-12-22 01:25:19.636225,2025-12-22 01:25:19.737213,0 days 00:00:00.100988,0.6293081483317304,0.00010148262012323935,5.369095896659331,poly,0.9265595609513253,0.08707675034877116,1.42513497439264,0.4631153581675459,COMPLETE
17,0.09920193875430941,2025-12-22 01:25:19.737297,2025-12-22 01:25:21.535165,0 days 00:00:01.797868,14.776909719305413,0.07291820320599451,,linear,1.5397827987702892,-1.3416387586074445,2.2824370763573385,0.09920193875430941,COMPLETE
18,0.5417252841793987,2025-12-22 01:25:21.535419,2025-12-22 01:25:21.619749,0 days 00:00:00.084330,0.017792688728419586,0.013389849641634326,9.694283995985369e-05,poly,1.082560599836588,-0.007147904108623093,1.4968748486191434,0.5417252841793987,COMPLETE
19,0.6742677739021125,2025-12-22 01:25:21.619854,2025-12-22 01:25:21.631311,0 days 00:00:00.011457,121.40867197449109,0.981864466426087,0.00021629547344499428,poly,0.9191835596029928,0.21754911315870606,1.319372440312862,0.6742677739021125,COMPLETE
20,0.5210969131479909,2025-12-22 01:25:21.631399,2025-12-22 01:25:21.684585,0 days 00:00:00.053186,0.3335715869449052,0.15085487789171334,0.006332654441522099,poly,0.883288512718717,0.08460769932448053,1.4270608509826028,0.5210969131479909,COMPLETE
21,0.700706860567748,2025-12-22 01:25:21.684675,2025-12-22 01:25:21.768982,0 days 00:00:00.084307,0.06911098641572148,0.0003624724647192563,0.0007685459466480837,poly,0.9026267137771561,0.1432532798011582,1.3805911649098193,0.700706860567748,COMPLETE
22,0.6748660330203122,2025-12-22 01:25:21.769067,2025-12-22 01:25:21.854734,0 days 00:00:00.085667,0.01751786821761765,0.002208727894976834,0.0008130282487558323,poly,1.02546593640002,0.0451046123544272,1.4575275159101915,0.6748660330203122,COMPLETE
23,0.5455660416122614,2025-12-22 01:25:21.854858,2025-12-22 01:25:21.938835,0 days 00:00:00.083977,0.001375531653876188,0.00035027617696468954,0.0009334969920847395,poly,1.0729628944312886,-0.0007163124659190778,1.4920877131680275,0.5455660416122614,COMPLETE
24,0.2749479916482349,2025-12-22 01:25:21.938923,2025-12-22 01:25:22.245300,0 days 00:00:00.306377,0.14719625152311294,0.0007923598226950429,,linear,1.073062554800158,-0.07441998985205656,1.5460584347737927,0.2749479916482349,COMPLETE
25,0.5417252841793987,2025-12-22 01:25:22.245384,2025-12-22 01:25:22.328871,0 days 00:00:00.083487,3.0692097318245115,0.0028232397300532977,3.649282456893597e-05,poly,1.0777522318824886,-0.0053944717307734535,1.495571260442486,0.5417252841793987,COMPLETE
26,0.6423121432128557,2025-12-22 01:25:22.328959,2025-12-22 01:25:22.423640,0 days 00:00:00.094681,0.007574277369224361,0.00021490464501349525,0.0117145318614838,poly,0.8036764154806638,0.1871993653399514,1.3447169574610065,0.6423121432128557,COMPLETE
