number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_huber_delta,params_layers,params_loss,params_lr,params_nhead,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
10,0.18396228331803563,2025-12-21 16:06:57.085721,2025-12-21 16:07:22.310556,0 days 00:00:25.224835,16,256,0.39480946925262317,512,,1,mse,0.002612358596090077,4,0.008132663817652278,1.4584779739379883,-1.1605119705200195,1.647347331047058,0.18396228331803563,PRUNED
11,0.29483033295203326,2025-12-21 16:07:22.310729,2025-12-21 16:07:44.768285,0 days 00:00:22.457556,16,384,0.34346412455636394,1536,0.6046138286268519,1,huber,1.6979027372532678e-05,4,4.6076911043965903e-07,0.7865514159202576,-0.005612969398498535,1.1238861083984375,0.29483033295203326,PRUNED
12,0.29989033851582036,2025-12-21 16:07:44.768481,2025-12-21 16:08:12.182156,0 days 00:00:27.413675,16,384,0.3074073098310286,1536,4.873602376374932,2,huber,0.00010164877029415415,8,1.941520420866131e-06,0.7994386553764343,0.06520617008209229,1.0835894346237183,0.29989033851582036,PRUNED
13,0.14873017570078492,2025-12-21 16:08:12.182328,2025-12-21 16:08:34.130111,0 days 00:00:21.947783,32,384,0.2617541160726214,1024,,1,mse,0.0015130080315683577,4,2.8925908928323624e-07,0.8724662065505981,-0.010860443115234375,1.126814603805542,0.14873017570078492,PRUNED
14,0.28461123406790656,2025-12-21 16:08:34.130288,2025-12-21 16:08:57.889606,0 days 00:00:23.759318,16,128,0.43297727016820325,1536,,3,mse,0.000143265047829715,8,5.1045948393434346e-05,0.8887516856193542,-0.06330549716949463,1.1556754112243652,0.28461123406790656,PRUNED
15,0.28355489478679946,2025-12-21 16:08:57.889773,2025-12-21 16:09:19.505663,0 days 00:00:21.615890,32,256,0.22147970870153144,1536,0.5555476696824829,2,huber,5.242567357282174e-05,4,0.009840274058687875,0.7813423871994019,0.025274038314819336,1.1064915657043457,0.28355489478679946,PRUNED
16,0.30074087819143536,2025-12-21 16:09:19.505836,2025-12-21 16:10:08.943580,0 days 00:00:49.437744,16,384,0.3336035442220585,1536,0.8811274460280669,1,huber,0.001099718784103115,8,4.561594172058468e-06,1.0907284021377563,-0.34697020053863525,1.300726056098938,0.30074087819143536,PRUNED
17,0.09593110010159431,2025-12-21 16:10:08.943753,2025-12-21 16:10:32.179182,0 days 00:00:23.235429,16,384,0.2720265255098965,512,,1,mse,1.0222650338029724e-05,4,0.00015435347996721225,0.8546333312988281,-0.04101252555847168,1.1434965133666992,0.09593110010159431,PRUNED
18,0.23269630843449207,2025-12-21 16:10:32.179363,2025-12-21 16:10:54.588471,0 days 00:00:22.409108,32,256,0.39253705842592995,1024,,3,mse,0.00021996939885777047,8,1.4848717407903698e-07,1.0221482515335083,-0.26944637298583984,1.2627402544021606,0.23269630843449207,PRUNED
19,0.15409842365666948,2025-12-21 16:10:54.588643,2025-12-21 16:11:16.269827,0 days 00:00:21.681184,64,128,0.08597324471084687,1536,2.605729152097573,2,huber,7.460170851121754e-05,4,0.0014424550081262243,0.8305251598358154,-0.00944828987121582,1.126027226448059,0.15409842365666948,PRUNED
