number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
10,0.4736383884678617,2025-12-23 05:07:33.078189,2025-12-23 05:10:19.113869,0 days 00:02:46.035680,16,0.18789579775822934,0.0013663732520188265,768,0.0005859552220465669,8,1,1.3633609672411229e-06,PRUNED
11,0.5014320015918331,2025-12-23 05:10:19.114060,2025-12-23 05:13:09.396947,0 days 00:02:50.282887,32,0.4907447006770871,0.06313251771626346,768,0.0003189009417372604,4,1,1.409439053758979e-07,PRUNED
12,0.3700277907884062,2025-12-23 05:13:09.397139,2025-12-23 05:13:40.727429,0 days 00:00:31.330290,16,0.26169348385689967,0.17869602939466317,768,0.0005886916685339414,4,1,1.6060098610360728e-06,PRUNED
13,0.4624855639683319,2025-12-23 05:13:40.727609,2025-12-23 05:15:21.995495,0 days 00:01:41.267886,32,0.11668030090277176,0.22513418258270407,768,0.0001259151693817586,8,3,0.00010714380156211693,PRUNED
14,0.4394197451399986,2025-12-23 05:15:21.995694,2025-12-23 05:16:46.287081,0 days 00:01:24.291387,128,0.6323278184331317,0.31867541943939814,256,0.000684019293444393,8,1,0.0034091904630940244,PRUNED
15,0.5464347155454597,2025-12-23 05:16:46.287261,2025-12-23 05:24:42.863562,0 days 00:07:56.576301,16,0.6947350150195691,0.07986168469320916,512,7.672717730797349e-05,4,2,1.2882323963642555e-07,COMPLETE
16,0.2412427998171196,2025-12-23 05:24:42.863881,2025-12-23 05:25:16.553932,0 days 00:00:33.690051,16,1.728843087564989,0.1701680000541426,768,0.00033026707564518643,4,4,2.685144773476287e-06,PRUNED
17,0.14337617054879917,2025-12-23 05:25:16.554124,2025-12-23 05:25:58.784503,0 days 00:00:42.230379,128,0.36056554676746155,0.39289467340523093,768,0.0010263832323704552,8,1,0.0003983843984102938,PRUNED
18,0.37027619360671293,2025-12-23 05:25:58.784697,2025-12-23 05:26:34.543726,0 days 00:00:35.759029,32,0.8043144348132883,0.2798721048390888,768,0.00028659658022795245,8,2,1.883490958305701e-07,PRUNED
19,0.5642160889441283,2025-12-23 05:26:34.543913,2025-12-23 05:34:35.860977,0 days 00:08:01.317064,16,0.51456227351801,0.03705095240974504,512,3.4065148754786395e-05,4,3,1.47571914826356e-10,COMPLETE
20,0.5419093398440132,2025-12-23 05:34:35.861321,2025-12-23 05:43:12.014479,0 days 00:08:36.153158,16,0.2882084995254757,0.010078720835250115,512,3.252193359947109e-05,8,3,1.5986819531549334e-10,COMPLETE
21,0.3647510460661291,2025-12-23 05:43:12.014833,2025-12-23 05:43:45.235877,0 days 00:00:33.221044,16,0.5130961283086836,0.046346453644789565,512,8.526937559651137e-05,4,3,1.3550412305597954e-08,PRUNED
22,0.471544456119035,2025-12-23 05:43:45.236063,2025-12-23 05:44:50.246206,0 days 00:01:05.010143,16,1.3365366940720729,0.13198871916100777,512,0.000241957921606161,4,4,1.1964439783398765e-10,PRUNED
23,0.3685851182643696,2025-12-23 05:44:50.246393,2025-12-23 05:45:22.055019,0 days 00:00:31.808626,16,0.5251736621080094,0.20912206812189488,256,4.276602787439114e-05,4,3,1.078298959242634e-05,PRUNED
24,-0.10313933288800986,2025-12-23 05:45:22.055210,2025-12-23 05:45:56.163171,0 days 00:00:34.107961,16,0.8318008570539906,0.09518096801150769,512,0.0014229540122368675,4,2,0.009514309689080304,PRUNED
25,0.17423005057622615,2025-12-23 05:45:56.163351,2025-12-23 05:46:34.440781,0 days 00:00:38.277430,64,0.20383568380865166,0.04912225656184979,768,0.0004469614854514622,4,3,4.3929310823420965e-07,PRUNED
26,0.39216776456852437,2025-12-23 05:46:34.440972,2025-12-23 05:47:08.053505,0 days 00:00:33.612533,32,0.39272525666285735,0.16029145451570806,768,0.00020000245718025482,4,2,1.990951168412383e-08,PRUNED
27,0.1398474864035346,2025-12-23 05:47:08.053705,2025-12-23 05:47:50.413016,0 days 00:00:42.359311,128,1.5694909670568178,0.23943097894047094,512,0.00012371688433807313,4,1,0.0001698925766414255,PRUNED
28,0.2879268449056495,2025-12-23 05:47:50.413202,2025-12-23 05:48:22.665694,0 days 00:00:32.252492,16,0.7786238454501202,0.131159008858918,256,0.0009630225858678281,8,4,1.5423189429227822e-09,PRUNED
29,-0.22092506849943613,2025-12-23 05:48:22.665882,2025-12-23 05:49:05.692134,0 days 00:00:43.026252,128,1.927710900467685,0.028380821441572848,768,0.0014811589539430036,8,1,0.0019666513337025494,PRUNED
30,0.35825975859190123,2025-12-23 05:49:05.692315,2025-12-23 05:49:41.780071,0 days 00:00:36.087756,64,1.1406702265877766,0.10112215709498153,768,0.00039733625427943413,4,2,5.225609140706917e-06,PRUNED
31,0.464003263384346,2025-12-23 05:49:41.780257,2025-12-23 05:50:47.728988,0 days 00:01:05.948731,16,0.6602113748146708,0.08110223885522849,512,8.426764944769895e-05,4,2,8.255469596976647e-08,PRUNED
32,0.5599485769300647,2025-12-23 05:50:47.729195,2025-12-23 06:02:16.364786,0 days 00:11:28.635591,16,0.5743346334945679,0.07471089514039284,512,2.8965730704460722e-05,4,3,3.5028891424236405e-07,COMPLETE
33,0.41977480055350186,2025-12-23 06:02:16.365126,2025-12-23 06:03:19.584156,0 days 00:01:03.219030,16,0.5665252055342984,0.1833472364555766,512,1.0714089553036406e-05,4,3,4.877537270820774e-07,PRUNED
34,0.3956196616601228,2025-12-23 06:03:19.584353,2025-12-23 06:03:53.380886,0 days 00:00:33.796533,16,0.9238940077010352,0.03564994099552982,512,3.470021150341191e-05,4,3,5.456238463368686e-09,PRUNED
35,-0.04727992313828113,2025-12-23 06:03:53.381087,2025-12-23 06:04:30.179400,0 days 00:00:36.798313,64,0.4117985203727045,0.1468713380354354,384,1.9609668528180322e-05,4,4,4.643424374203839e-05,PRUNED
36,0.5250751534540343,2025-12-23 06:04:30.179585,2025-12-23 06:06:10.172144,0 days 00:01:39.992559,16,0.3179007657008765,0.2119641249403269,512,2.382064949237624e-05,4,3,4.649787952043766e-09,PRUNED
37,0.3736849667369402,2025-12-23 06:06:10.172336,2025-12-23 06:06:46.646817,0 days 00:00:36.474481,64,0.44490506333914404,0.11692854226295049,384,0.00015461770499270293,8,3,6.260673241876076e-10,PRUNED
38,0.29063613786354225,2025-12-23 06:06:46.647001,2025-12-23 06:07:19.843765,0 days 00:00:33.196764,16,0.9688680285955089,0.06925027865259845,512,1.4171276106171662e-05,4,2,6.436171425291104e-08,PRUNED
39,0.3936502607507661,2025-12-23 06:07:19.843950,2025-12-23 06:07:58.001379,0 days 00:00:38.157429,64,1.2206727789913427,0.2595095296521336,768,2.8429445550793673e-05,8,3,4.952940962860559e-07,PRUNED
40,0.5103742830306651,2025-12-23 06:07:58.001564,2025-12-23 06:09:38.803654,0 days 00:01:40.802090,16,0.6192282003395276,0.1912941325803306,384,6.311695615662554e-05,4,4,1.2694164592736922e-05,PRUNED
41,0.5455128308610442,2025-12-23 06:09:38.803850,2025-12-23 06:16:13.175906,0 days 00:06:34.372056,16,0.7402315873456664,0.060558853310950206,512,5.895917444765876e-05,4,2,3.540118982092243e-08,COMPLETE
42,0.550698487215935,2025-12-23 06:16:13.176234,2025-12-23 06:23:48.900997,0 days 00:07:35.724763,16,0.6998172963864078,0.020290860575034122,512,8.517754982681881e-05,4,2,1.8797075266313006e-07,COMPLETE
43,0.4821575710407912,2025-12-23 06:23:48.901314,2025-12-23 06:25:25.139789,0 days 00:01:36.238475,16,0.473934694544994,0.019103655799199922,512,0.00010675088449574468,4,2,3.4988138780269357e-06,PRUNED
44,0.52075439654889,2025-12-23 06:25:25.140006,2025-12-23 06:27:01.212713,0 days 00:01:36.072707,16,0.8992546499135876,0.0368159729576643,512,4.7203417461826936e-05,4,1,8.225199177599805e-07,PRUNED
45,-0.12397148803279923,2025-12-23 06:27:01.212913,2025-12-23 06:27:37.010368,0 days 00:00:35.797455,64,0.565429887246944,0.012376604777528772,256,1.861309613713509e-05,4,3,1.875766210661704e-07,PRUNED
46,0.1242275034328462,2025-12-23 06:27:37.010555,2025-12-23 06:28:11.759524,0 days 00:00:34.748969,32,1.0400853239039702,0.08297464532953669,768,0.000774284577298962,4,2,1.3226987182660542e-09,PRUNED
47,0.4047401594699277,2025-12-23 06:28:11.759715,2025-12-23 06:28:44.202347,0 days 00:00:32.442632,16,0.3391130458748515,0.0010035210940330525,512,0.0004751260209762445,8,1,1.1818763162320483e-08,PRUNED
48,0.26269687135983744,2025-12-23 06:28:44.202544,2025-12-23 06:29:26.737304,0 days 00:00:42.534760,128,0.2510222756359713,0.2975912772021936,768,0.00018471031680199543,4,3,1.3749888812287486e-06,PRUNED
49,0.24058153984335998,2025-12-23 06:29:26.737490,2025-12-23 06:29:58.572213,0 days 00:00:31.834723,16,0.6062276821752993,0.11060299305036521,512,0.0021113765313628356,8,1,4.612210924615263e-08,PRUNED
