number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_selection,params_tol,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
10,0.3573404005976999,2025-12-22 11:20:28.032600,2025-12-22 11:25:34.045244,0 days 00:05:06.012644,1.5616622355431173e-08,0.2673932986224049,19439,cyclic,1.3864081882118125e-06,1.034027099609375,-0.8624415397644043,1.529495358467102,0.3573404005976999,COMPLETE
11,0.4216786127168725,2025-12-22 11:25:34.045507,2025-12-22 11:25:49.910709,0 days 00:00:15.865202,0.0027693474521511513,0.9932251487866757,1084,cyclic,0.00026063612313167675,0.7688853740692139,0.04123103618621826,1.0973970890045166,0.4216786127168725,COMPLETE
12,0.43503460925412313,2025-12-22 11:25:49.911029,2025-12-22 11:26:25.863812,0 days 00:00:35.952783,0.001508485625873354,0.5064656995456548,14704,random,1.0700027050598204e-05,0.7702881693840027,0.03477883338928223,1.101083517074585,0.43503460925412313,COMPLETE
13,0.43492349485604875,2025-12-22 11:26:25.864143,2025-12-22 11:30:29.655777,0 days 00:04:03.791634,0.0035019252175567312,0.4777808361516309,14982,cyclic,5.399449867752723e-06,0.7639296054840088,0.04596489667892456,1.0946846008300781,0.43492349485604875,COMPLETE
14,0.4302985466570793,2025-12-22 11:30:29.656107,2025-12-22 11:31:00.284402,0 days 00:00:30.628295,0.0018843383726420955,0.21205342135482796,15096,random,1.5814765496758905e-05,0.7809982299804688,0.018704712390899658,1.1102139949798584,0.4302985466570793,COMPLETE
15,0.35250609685145,2025-12-22 11:31:00.284697,2025-12-22 11:31:03.861968,0 days 00:00:03.577271,0.04017954930659989,0.5761268979483769,8992,cyclic,1.6421613198528155e-06,0.7749401926994324,0.05286121368408203,1.0907210111618042,0.35250609685145,COMPLETE
16,0.36227930430079314,2025-12-22 11:31:03.862142,2025-12-22 11:32:07.408235,0 days 00:01:03.546093,5.757790198415768e-07,0.36601618534818803,17090,random,0.00012657457675369614,0.9493046402931213,-0.49354422092437744,1.369669795036316,0.36227930430079314,COMPLETE
17,0.3928653360366761,2025-12-22 11:32:07.408556,2025-12-22 11:35:48.674213,0 days 00:03:41.265657,0.0004630490403960789,0.1781042068660955,12838,cyclic,4.212064486556143e-06,0.8501793742179871,-0.1692817211151123,1.2118990421295166,0.3928653360366761,COMPLETE
18,0.43943632440397523,2025-12-22 11:35:48.674521,2025-12-22 11:35:55.803566,0 days 00:00:07.129045,0.013644038285988366,0.008109995462424954,5796,random,2.6617219264244744e-05,0.7622648477554321,0.05447578430175781,1.089790940284729,0.43943632440397523,COMPLETE
19,0.4452760275761884,2025-12-22 11:35:55.803829,2025-12-22 11:37:25.151973,0 days 00:01:29.348144,0.010870448661784098,0.04178626986957067,5749,cyclic,2.877158953974566e-05,0.7576788067817688,0.06469845771789551,1.0838836431503296,0.4452760275761884,COMPLETE
20,0.23375059453931796,2025-12-22 11:37:25.152293,2025-12-22 11:37:25.949999,0 days 00:00:00.797706,0.36844606820415526,0.31416893604673035,9766,cyclic,9.183103937760389e-05,0.8093429803848267,0.0304376482963562,1.1035568714141846,0.23375059453931796,COMPLETE
21,0.4448947327445629,2025-12-22 11:37:25.950138,2025-12-22 11:39:12.418922,0 days 00:01:46.468784,0.016628926950795805,0.03975652919063316,6423,cyclic,3.180085677638258e-05,0.7537068128585815,0.06858742237091064,1.0816279649734497,0.4448947327445629,COMPLETE
22,0.37745661231127303,2025-12-22 11:39:12.419240,2025-12-22 11:40:59.437334,0 days 00:01:47.018094,0.0001913701613939462,0.10438002722964182,6192,cyclic,4.4112302880464e-05,0.9274978041648865,-0.41174042224884033,1.331632137298584,0.37745661231127303,COMPLETE
