number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
19,0.47144948755444227,2025-12-24 08:51:05.391941,2025-12-24 08:51:07.842823,0 days 00:00:02.450882,0.6882915312131558,,0.4072439797225397,4713,0.00016363313619966192,0.40736606041764095,0.7250441548920289,0.20722590386867523,COMPLETE
20,0.4290909090904886,2025-12-24 08:51:07.842977,2025-12-24 08:51:08.100697,0 days 00:00:00.257720,0.018384675604224247,,0.21081421122619548,3408,9.192477380331944e-05,0.3391959893689748,0.6661681884830712,0.21302193403244019,COMPLETE
21,0.46814814814768324,2025-12-24 08:51:08.100821,2025-12-24 08:51:08.284584,0 days 00:00:00.183763,0.6663914666088211,,0.40422102106870195,4994,0.002573652489503982,0.38869444280997173,0.7117227072780592,0.21741323173046112,COMPLETE
22,0.46753246753200783,2025-12-24 08:51:08.284711,2025-12-24 08:51:10.829513,0 days 00:00:02.544802,0.5560201838203114,,0.42642676872454033,4971,0.00021098565960333141,0.40660583449666937,0.7226614569448147,0.20532387495040894,COMPLETE
23,0.41833137485270094,2025-12-24 08:51:10.829658,2025-12-24 08:51:10.917830,0 days 00:00:00.088172,0.01636919181595066,,0.2712678188213811,4187,0.001701356442027994,0.3335097062443647,0.6574663423087177,0.2133297324180603,COMPLETE
24,0.3387978142073688,2025-12-24 08:51:10.917928,2025-12-24 08:51:10.949337,0 days 00:00:00.031409,0.00019438420730859946,,0.48096460990316797,4529,6.5998886630644806e-06,0.20394736842105263,0.5,0.21872428059577942,COMPLETE
25,0.4674965421848882,2025-12-24 08:51:10.949434,2025-12-24 08:51:12.887945,0 days 00:00:01.938511,2.07536473584455,,0.40110241218055254,4108,0.00010608506021157715,0.40483650355105316,0.7290222607304719,0.18266156315803528,COMPLETE
26,0.4631268436573531,2025-12-24 08:51:12.888135,2025-12-24 08:51:15.006226,0 days 00:00:02.118091,30.31350815424659,,0.15101451167754065,4739,0.0005564085117947829,0.3989398333992008,0.7281558251133031,0.19660478830337524,COMPLETE
27,0.45635528330733904,2025-12-24 08:51:15.006385,2025-12-24 08:51:15.111941,0 days 00:00:00.105556,0.47459799411822706,,0.643444352333625,3743,0.003909512904185138,0.3784833635382342,0.7014587776592909,0.23178631067276,COMPLETE
28,0.42375168690913634,2025-12-24 08:51:15.112057,2025-12-24 08:51:15.266459,0 days 00:00:00.154402,0.04633404474040296,,0.3018016626975551,3197,0.0011964525674157697,0.36241774190094816,0.6820597840575847,0.2236439287662506,COMPLETE
