number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
35,0.8699360341146403,2025-12-20 13:22:40.002890,2025-12-20 13:23:04.445647,0 days 00:00:24.442757,16,256,0.37446473721234924,256,3,6.820823883910775e-05,4,6.624633739448701e-08,0.9355574512276537,0.8699360341146403,0.5961967706680298,PRUNED
36,0.8410041840999213,2025-12-20 13:23:04.446041,2025-12-20 13:23:12.424327,0 days 00:00:07.978286,32,256,0.07347590292488149,512,2,4.286474735960265e-05,4,2.2453833049161683e-08,0.9114123581336696,0.8410041840999213,0.32577958703041077,PRUNED
37,0.8659340659335664,2025-12-20 13:23:12.424720,2025-12-20 13:23:56.395942,0 days 00:00:43.971222,16,256,0.2347575838449906,1536,4,0.00010154281108858964,8,4.7472050112543095e-06,0.9399339811586678,0.8659340659335664,0.4193570613861084,PRUNED
38,0.8669527896990721,2025-12-20 13:23:56.396344,2025-12-20 13:24:12.802659,0 days 00:00:16.406315,32,128,0.03577341407390333,1024,3,7.547474335458529e-05,4,7.305875824827978e-08,0.9324048661078556,0.8669527896990721,0.24776408076286316,PRUNED
39,0.8729792147801007,2025-12-20 13:24:12.803102,2025-12-20 13:24:56.228845,0 days 00:00:43.425743,16,256,0.10540000708374739,512,2,0.000139154008805538,8,1.7443371368202458e-08,0.9456086343743045,0.8729792147801007,0.7310857772827148,PRUNED
40,0.8261851015796353,2025-12-20 13:24:56.229236,2025-12-20 13:25:04.640305,0 days 00:00:08.411069,64,128,0.2886734851813447,1024,4,5.63318845806132e-05,4,3.569965224113507e-08,0.9072027297678215,0.8261851015796353,0.5275567173957825,PRUNED
41,0.8776371308011901,2025-12-20 13:25:04.640704,2025-12-20 13:25:48.356038,0 days 00:00:43.715334,16,256,0.16972879979044236,1024,4,0.00041382413685618993,4,2.8055544015954966e-07,0.9364290482901863,0.8776371308011901,0.1713455766439438,PRUNED
42,0.8607068607063638,2025-12-20 13:25:48.356507,2025-12-20 13:26:41.514715,0 days 00:00:53.158208,16,256,0.0006829354028677417,1024,4,0.00018688726354870757,4,1.0481623132127895e-06,0.9449966619686966,0.8607068607063638,0.3750537037849426,PRUNED
43,0.8323232323227381,2025-12-20 13:26:41.515090,2025-12-20 13:26:50.377280,0 days 00:00:08.862190,16,256,0.2579350720719957,1024,4,0.00031955805726270673,4,1.0369814944339921e-07,0.9072212743861732,0.8323232323227381,0.3359988331794739,PRUNED
44,0.6731391585755923,2025-12-20 13:26:50.377667,2025-12-20 13:26:58.644194,0 days 00:00:08.266527,16,256,0.15983463022932798,1024,3,0.0012632057017099565,4,1.440382083659608e-08,0.6635171723165939,0.6731391585755923,0.49652722477912903,PRUNED
45,0.8175824175819179,2025-12-20 13:26:58.644768,2025-12-20 13:27:07.284857,0 days 00:00:08.640089,16,256,0.21615356699473756,1024,4,0.0005708905270704097,4,6.47036003118577e-08,0.8830205474371337,0.8175824175819179,0.418020635843277,PRUNED
46,0.9179600886912961,2025-12-20 13:27:07.285236,2025-12-20 13:30:12.820047,0 days 00:03:05.534811,16,384,0.18591584575569453,256,3,0.0001271726814435562,8,2.5794671760122145e-05,0.9639029003783102,0.9046563192899657,0.514498233795166,COMPLETE
47,0.9044289044284048,2025-12-20 13:30:12.820707,2025-12-20 13:32:16.100836,0 days 00:02:03.280129,16,384,0.13265882841169588,256,3,0.00012360345553947568,8,4.0500196662067485e-05,0.9548253096951265,0.8853211009169312,0.9234135150909424,COMPLETE
48,0.8528784648182648,2025-12-20 13:32:16.102116,2025-12-20 13:32:21.973279,0 days 00:00:05.871163,16,384,0.18349467288593582,256,3,2.372259925793621e-05,8,0.0004907944887547883,0.9249128402937467,0.8528784648182648,0.4701979458332062,PRUNED
49,0.8412017167376987,2025-12-20 13:32:21.974254,2025-12-20 13:32:27.368567,0 days 00:00:05.394313,64,384,0.24317174344604614,256,2,8.716251473621915e-05,8,0.00011658293217060589,0.9128588383651064,0.8412017167376987,0.45796680450439453,PRUNED
