number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
12,0.7053095293294444,2025-12-21 11:28:17.635281,2025-12-21 11:31:47.314050,0 days 00:03:29.678769,16,128,0.16574289464549066,1536,2,5.3796359619850525e-05,4,0.00012046022650809362,0.7532320979301887,0.7053095293294444,0.3420149087905884,PRUNED
13,0.7055667337352646,2025-12-21 11:31:47.314227,2025-12-21 11:35:15.948891,0 days 00:03:28.634664,32,128,0.4985163249332006,1024,1,0.00023454167271271277,4,3.285416251356186e-05,0.7560116962773467,0.7055667337352646,0.3519514203071594,PRUNED
14,0.7009009009004166,2025-12-21 11:35:15.949068,2025-12-21 11:38:45.270224,0 days 00:03:29.321156,32,128,0.4175378035188455,1536,2,0.001220052817225088,4,2.809718859488844e-06,0.733612526456984,0.7009009009004166,0.425424188375473,PRUNED
15,0.7336585365848718,2025-12-21 11:38:45.270404,2025-12-21 11:52:40.882284,0 days 00:13:55.611880,16,384,0.21588459567303897,1024,3,8.7290457257476e-05,4,0.0013889567512974847,0.8076697651582956,0.7336585365848718,0.3330833315849304,PRUNED
16,0.6996601529307059,2025-12-21 11:52:40.882473,2025-12-21 11:56:09.037470,0 days 00:03:28.154997,16,128,0.10813321047386748,1536,1,2.723818510375025e-05,4,0.0006100933187693842,0.74899252039625,0.6996601529307059,0.3471769690513611,PRUNED
17,0.7012635379056524,2025-12-21 11:56:09.037651,2025-12-21 11:59:38.584514,0 days 00:03:29.546863,32,128,0.26718380112869156,1024,2,0.0001937431315975184,4,3.6158858162983974e-05,0.7565493515249324,0.7012635379056524,0.379057377576828,PRUNED
18,0.7086257640927909,2025-12-21 11:59:38.584687,2025-12-21 12:03:08.564761,0 days 00:03:29.980074,32,128,0.4050567018067097,512,3,0.00026455017150270874,4,3.737855925548549e-06,0.7629069559845052,0.7086257640927909,0.4189070165157318,PRUNED
19,0.7227774855334302,2025-12-21 12:03:08.564940,2025-12-21 12:52:10.874223,0 days 00:49:02.309283,16,384,0.4462001513872169,1536,4,7.951187261943535e-05,4,2.534481131637953e-07,0.7923984181013928,0.7227774855334302,0.4044298827648163,PRUNED
20,0.6957084321754983,2025-12-21 12:52:10.874410,2025-12-21 12:55:39.152818,0 days 00:03:28.278408,32,128,0.12509440458146337,1024,1,2.1134901664190626e-05,4,1.181796989899578e-08,0.7430536468941087,0.6957084321754983,0.3747851550579071,PRUNED
21,0.6955135504436042,2025-12-21 12:55:39.153001,2025-12-21 12:59:10.024367,0 days 00:03:30.871366,32,256,0.24635351011597773,512,3,1.2506167417615983e-05,8,0.0067353511986173184,0.744204422926489,0.6955135504436042,0.3911404609680176,PRUNED
