number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
17,0.5568040581972297,2025-12-22 00:57:48.923416,2025-12-22 00:58:09.977063,0 days 00:00:21.053647,16,0.21313670020035239,2048,,mse,0.00013753505316499207,3.1591006836977975e-08,0.9040544629096985,0.1529165506362915,1.3727833032608032,0.5568040581972297,PRUNED
18,0.5580534612175585,2025-12-22 00:58:09.977233,2025-12-22 00:58:13.112363,0 days 00:00:03.135130,32,0.003651142081372615,256,0.6847398205212244,huber,0.0011357829153054201,0.0002754392721868418,0.8878163695335388,0.19848918914794922,1.3353452682495117,0.5580534612175585,PRUNED
19,0.004085349558535516,2025-12-22 00:58:13.112519,2025-12-22 00:58:16.292977,0 days 00:00:03.180458,64,0.20236136815606248,1024,,mse,0.0020286616839534995,7.476569177087266e-06,1.7821705341339111,-1.4202277660369873,2.3204221725463867,0.004085349558535516,PRUNED
20,0.5935821201210361,2025-12-22 00:58:16.293127,2025-12-22 00:58:20.025947,0 days 00:00:03.732820,16,0.11045690882468955,1024,,mse,0.0008624542126876359,0.0020291301378201902,0.87171471118927,0.13331395387649536,1.3885763883590698,0.5935821201210361,PRUNED
21,0.6764129129502432,2025-12-22 00:58:20.026108,2025-12-22 01:00:10.013345,0 days 00:01:49.987237,16,0.3077809331249795,512,,mse,0.0002672254831110617,0.0007217142331088115,0.807590126991272,0.20784443616867065,1.3275293111801147,0.621587918510576,COMPLETE
22,0.6196080444122243,2025-12-22 01:00:10.013557,2025-12-22 01:00:14.117782,0 days 00:00:04.104225,16,0.3305656223502127,512,,mse,5.63312889827223e-05,0.0016530328794773775,3.2106730937957764,-4.432371139526367,3.476430892944336,0.6196080444122243,PRUNED
23,0.6103267648326388,2025-12-22 01:00:14.117930,2025-12-22 01:00:17.115959,0 days 00:00:02.998029,16,0.3873557210014994,512,,mse,0.00023238408623847906,0.0001400865892310889,0.8346469402313232,0.18347030878067017,1.3477981090545654,0.6103267648326388,PRUNED
24,0.5137161804908632,2025-12-22 01:00:17.116119,2025-12-22 01:00:20.410606,0 days 00:00:03.294487,16,0.27853898436558266,512,,mse,0.00040489733869228595,0.008998161202900127,0.8907721042633057,0.08609014749526978,1.4259048700332642,0.5137161804908632,PRUNED
25,0.6035475965927064,2025-12-22 01:00:20.410771,2025-12-22 01:00:24.535167,0 days 00:00:04.124396,32,0.44070149400512754,512,,mse,9.446098957791488e-05,8.859944565619026e-06,3.698836088180542,-5.955333232879639,3.933669328689575,0.6035475965927064,PRUNED
26,0.5489638889797165,2025-12-22 01:00:24.535319,2025-12-22 01:00:28.631104,0 days 00:00:04.095785,16,0.23076649106521435,256,1.677520569144721,huber,1.1360061119219332e-05,0.0018182830633445923,5.306797504425049,-12.613950729370117,5.503398418426514,0.5489638889797165,PRUNED
