number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_huber_delta,params_kernel,params_layers,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
58,0.62592116549378,2025-12-22 00:32:01.387909,2025-12-22 00:32:04.606331,0 days 00:00:03.218422,64,128,0.2226411239615677,1.9365086647639314,5,2,huber,0.0001830059726637175,4.080140888802256e-06,2.039036512374878,-1.587878942489624,2.3994452953338623,0.62592116549378,PRUNED
59,0.6330837484171994,2025-12-22 00:32:04.606490,2025-12-22 00:32:07.845332,0 days 00:00:03.238842,32,512,0.35306582745335974,,7,3,mse,0.0002750057626479706,3.1055757275488126e-05,1.06752610206604,0.13746249675750732,1.3852490186691284,0.6330837484171994,PRUNED
60,0.6042384040827823,2025-12-22 00:32:07.845583,2025-12-22 00:32:11.091229,0 days 00:00:03.245646,16,256,0.4297220769333844,1.5656366198339355,3,4,huber,2.504577266407741e-05,3.2680442830521324e-07,5.246580600738525,-12.316643714904785,5.442974090576172,0.6042384040827823,PRUNED
61,0.6313319399495426,2025-12-22 00:32:11.091391,2025-12-22 00:32:14.262768,0 days 00:00:03.171377,32,128,0.39607182772275074,2.3874409560693146,5,3,huber,0.0005888272764250733,1.0284859895312178e-07,0.8660816550254822,0.30651533603668213,1.2421021461486816,0.6313319399495426,PRUNED
62,0.6160085738060388,2025-12-22 00:32:14.262956,2025-12-22 00:32:17.470222,0 days 00:00:03.207266,32,128,0.4719799870605695,1.7175653579754218,5,3,huber,0.00018401960414665802,9.845088861958668e-09,0.8890756964683533,0.28135257959365845,1.264435887336731,0.6160085738060388,PRUNED
63,0.6276597527654544,2025-12-22 00:32:17.470389,2025-12-22 00:32:20.691110,0 days 00:00:03.220721,32,128,0.36634467528988945,1.9644063513688599,5,3,huber,0.0003061062602371554,3.888533700534321e-08,1.0675570964813232,-0.16594481468200684,1.6105635166168213,0.6276597527654544,PRUNED
64,0.3974192353314197,2025-12-22 00:32:20.691269,2025-12-22 00:32:24.180444,0 days 00:00:03.489175,32,128,0.4284498063932534,,7,1,mse,0.0005311377146652301,1.1574529873302634e-06,1.2951632738113403,-0.07218289375305176,1.5444480180740356,0.3974192353314197,PRUNED
65,0.6330374742312613,2025-12-22 00:32:24.180606,2025-12-22 00:32:28.021677,0 days 00:00:03.841071,16,128,0.3235616132700083,0.512727730694458,5,4,huber,9.614073497752224e-05,1.205574107641632e-09,1.3695523738861084,-0.5197440385818481,1.8387559652328491,0.6330374742312613,PRUNED
66,0.6270152194613167,2025-12-22 00:32:28.021842,2025-12-22 00:32:31.262137,0 days 00:00:03.240295,32,128,0.41002614914476343,,3,3,mse,0.00014338546207714006,1.0843592002669045e-08,4.096856117248535,-7.359821319580078,4.312582015991211,0.6270152194613167,PRUNED
67,0.2826493383079337,2025-12-22 00:32:31.262299,2025-12-22 00:32:34.977561,0 days 00:00:03.715262,16,512,0.2019377470215114,3.267723494857342,7,1,huber,0.0008950638625441035,1.0925871371651209e-05,1.0222071409225464,-0.0914008617401123,1.5582280158996582,0.2826493383079337,PRUNED
68,0.4811193217964641,2025-12-22 00:32:34.977728,2025-12-22 00:32:38.137084,0 days 00:00:03.159356,32,128,0.3387950880697196,,3,2,mse,0.001276389743871472,3.6858728227524063e-06,0.9022098779678345,0.13808166980743408,1.384751796722412,0.4811193217964641,PRUNED
69,0.5690964651617875,2025-12-22 00:32:38.137256,2025-12-22 00:32:41.550326,0 days 00:00:03.413070,64,128,0.44670909198642833,1.3863813487972803,5,4,huber,5.347167738159159e-05,0.0005244409436408522,5.661989212036133,-14.39890193939209,5.8530707359313965,0.5690964651617875,PRUNED
70,0.44423879560379476,2025-12-22 00:32:41.550489,2025-12-22 00:32:45.322443,0 days 00:00:03.771954,16,256,0.30321590714763236,,7,3,mse,0.0003442270049828323,2.3749144317449107e-05,0.8875705599784851,0.1383872628211975,1.3845062255859375,0.44423879560379476,PRUNED
71,0.6376748087220586,2025-12-22 00:32:45.322620,2025-12-22 00:33:09.975465,0 days 00:00:24.652845,32,512,0.3835440162539225,0.5737273266348065,3,2,huber,1.0745768156119433e-05,2.883393714915548e-06,0.914013147354126,0.07174772024154663,1.4370499849319458,0.6376748087220586,PRUNED
72,0.6263872126521566,2025-12-22 00:33:09.975634,2025-12-22 00:33:13.376398,0 days 00:00:03.400764,32,512,0.40843640232312367,0.6238224089690426,3,1,huber,1.4373953594178384e-05,8.088558817696841e-06,4.660976409912109,-9.634671211242676,4.864082336425781,0.6263872126521566,PRUNED
73,0.6159490784241185,2025-12-22 00:33:13.376560,2025-12-22 00:33:16.594812,0 days 00:00:03.218252,32,512,0.0006797072237682833,0.8059332393041059,3,2,huber,1.8882494686157627e-05,5.544226856408202e-05,5.018064498901367,-11.23593521118164,5.217440128326416,0.6159490784241185,PRUNED
74,0.5998357458206713,2025-12-22 00:33:16.594976,2025-12-22 00:33:19.832621,0 days 00:00:03.237645,32,512,0.4974999862877252,0.5761549600482372,3,1,huber,1.219691291311886e-05,1.4651370247461295e-06,4.781462669372559,-10.166115760803223,4.984136581420898,0.5998357458206713,PRUNED
75,0.48165478023374786,2025-12-22 00:33:19.832795,2025-12-22 00:33:23.167360,0 days 00:00:03.334565,32,512,0.42526319898246107,,3,2,mse,0.0006831271066912692,6.665053934737826e-07,1.1345493793487549,-0.3087763786315918,1.7063636779785156,0.48165478023374786,PRUNED
76,0.6259145548957888,2025-12-22 00:33:23.167535,2025-12-22 00:33:27.058801,0 days 00:00:03.891266,16,128,0.3749092742950346,1.052459084043579,5,1,huber,0.00024772814486882376,0.00016350601596856542,0.8679265975952148,0.06258165836334229,1.4441276788711548,0.6259145548957888,PRUNED
77,0.6050118440477479,2025-12-22 00:33:27.058974,2025-12-22 00:33:30.227656,0 days 00:00:03.168682,32,128,0.4713483378320585,,7,3,mse,2.232331000065032e-05,1.3401337509930755e-07,5.389695167541504,-13.016203880310059,5.584111213684082,0.6050118440477479,PRUNED
78,0.623911543704468,2025-12-22 00:33:30.227831,2025-12-22 00:33:33.677039,0 days 00:00:03.449208,16,512,0.34851239542043483,0.7753092048753149,3,4,huber,0.0002026110616562089,0.00010182115562254107,0.9603042602539062,0.12487632036209106,1.3953192234039307,0.623911543704468,PRUNED
79,0.6252006103127438,2025-12-22 00:33:33.677203,2025-12-22 00:33:36.770960,0 days 00:00:03.093757,32,128,0.2577131653185035,2.282912938183799,5,2,huber,0.00045634839396770484,1.5600651419186205e-05,1.1144256591796875,0.19176489114761353,1.3409349918365479,0.6252006103127438,PRUNED
80,0.5851668288782922,2025-12-22 00:33:36.771132,2025-12-22 00:33:40.351780,0 days 00:00:03.580648,16,256,0.4511314585803022,,7,1,mse,0.00030471760368485783,5.880333155064533e-06,1.010961890220642,0.20486944913864136,1.3300197124481201,0.5851668288782922,PRUNED
81,0.5928946179299557,2025-12-22 00:33:40.351948,2025-12-22 00:33:43.962223,0 days 00:00:03.610275,16,128,0.28282706372078076,,7,1,mse,1.3530053880485464e-05,9.462010719284832e-06,3.7319016456604004,-6.062116622924805,3.9637506008148193,0.5928946179299557,PRUNED
82,0.5995217424160912,2025-12-22 00:33:43.962454,2025-12-22 00:33:47.059309,0 days 00:00:03.096855,16,128,0.23844001483708774,,7,1,mse,1.013639243573197e-05,2.05571955205963e-06,4.592962741851807,-9.330177307128906,4.793941974639893,0.5995217424160912,PRUNED
83,0.6166762442031458,2025-12-22 00:33:47.059472,2025-12-22 00:33:50.423270,0 days 00:00:03.363798,16,128,0.3334514533050258,,7,1,mse,1.1364716941218686e-05,1.8192863364685074e-05,3.8843374252319336,-6.600430011749268,4.112045764923096,0.6166762442031458,PRUNED
84,0.5927458794751546,2025-12-22 00:33:50.423436,2025-12-22 00:33:53.654474,0 days 00:00:03.231038,16,128,0.3987620381705703,,7,1,mse,2.6377765638489886e-05,4.374906192776133e-05,1.453644871711731,-0.6520949602127075,1.9171512126922607,0.5927458794751546,PRUNED
85,0.616368851396557,2025-12-22 00:33:53.654646,2025-12-22 00:33:57.069216,0 days 00:00:03.414570,32,128,0.36647857834149083,,7,1,mse,1.537229986119602e-05,5.975654057491601e-09,4.59084939956665,-9.349876403808594,4.798510551452637,0.616368851396557,PRUNED
86,0.5877152144038835,2025-12-22 00:33:57.069374,2025-12-22 00:34:00.857648,0 days 00:00:03.788274,64,128,0.1858020762433204,1.2577902651240171,5,4,huber,0.0027053807600298315,0.001301741582650437,0.848058819770813,0.23191487789154053,1.3072044849395752,0.5877152144038835,PRUNED
87,0.6294974990069964,2025-12-22 00:34:00.857815,2025-12-22 00:34:04.620715,0 days 00:00:03.762900,16,512,0.4181931202435289,,3,3,mse,1.662476005888323e-05,7.802261959007893e-05,4.575051307678223,-9.28360366821289,4.783122539520264,0.6294974990069964,PRUNED
88,0.5842149027675655,2025-12-22 00:34:04.620874,2025-12-22 00:34:07.871613,0 days 00:00:03.250739,32,256,0.12668330993847637,0.9017771058675764,5,1,huber,1.3859355715452655e-05,6.669380945520673e-08,4.667298793792725,-9.661062240600586,4.870113849639893,0.5842149027675655,PRUNED
89,0.624539550513628,2025-12-22 00:34:07.871779,2025-12-22 00:34:11.143216,0 days 00:00:03.271437,16,128,0.38324392956002706,,7,3,mse,0.00015494886858612384,1.0830605139230364e-10,0.903883695602417,0.32857292890548706,1.2221888303756714,0.624539550513628,PRUNED
90,0.6121413739812116,2025-12-22 00:34:11.143381,2025-12-22 00:34:14.487795,0 days 00:00:03.344414,32,128,0.4400188690373566,2.683592537983791,3,4,huber,2.012310827718164e-05,1.2206863283314729e-05,5.656617164611816,-14.379450798034668,5.849372863769531,0.6121413739812116,PRUNED
91,0.6108886656618872,2025-12-22 00:34:14.487955,2025-12-22 00:34:17.890342,0 days 00:00:03.402387,64,128,0.04675944005330021,,5,3,mse,1.2369904269501023e-05,5.5381477172452785e-06,5.732503414154053,-14.764211654663086,5.92209005355835,0.6108886656618872,PRUNED
92,0.4973086762768096,2025-12-22 00:34:17.890501,2025-12-22 00:34:21.331089,0 days 00:00:03.440588,64,128,0.09490705168033722,,5,3,mse,1.776664497415422e-05,7.692679730108194e-07,5.585555076599121,-14.02035903930664,5.780681133270264,0.4973086762768096,PRUNED
93,0.5693146148954958,2025-12-22 00:34:21.331257,2025-12-22 00:34:24.879111,0 days 00:00:03.547854,64,128,0.3119618696274315,,5,3,mse,3.0307520576877412e-05,4.323669589375732e-07,5.592519760131836,-14.047785758972168,5.785956382751465,0.5693146148954958,PRUNED
94,0.6295834367808814,2025-12-22 00:34:24.879268,2025-12-22 00:34:28.263627,0 days 00:00:03.384359,64,128,0.3586566167445482,,5,3,mse,8.432302849804e-05,1.5072982498448902e-06,5.251923561096191,-12.346242904663086,5.449019908905029,0.6295834367808814,PRUNED
