number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,state
20,0.5879000126060311,2025-12-25 19:16:03.421143,2025-12-25 19:16:23.058752,0 days 00:00:19.637609,0.0820082035401697,0.8597778117881122,121,1.2243543209914751,0.0006291983667746282,0.0512590763008084,3,1.7773959178614585,1728,0.568291807635477,COMPLETE
21,0.5758770284960327,2025-12-25 19:16:23.059258,2025-12-25 19:16:26.733050,0 days 00:00:03.673792,0.26029608034748986,0.865326465229181,120,1.3076239574351154,0.0006902610400171145,0.05079485454263949,3,1.0810959951170607,1709,0.6584333422537556,PRUNED
22,0.6504707255917755,2025-12-25 19:16:26.733337,2025-12-25 19:16:30.483983,0 days 00:00:03.750646,0.0003276049949929517,0.8526225875317028,80,4.055507784086336,1.8159320856963408e-05,0.03459996257196753,4,2.4952769398765264,1957,0.5625668411586895,PRUNED
23,0.6692902363269398,2025-12-25 19:16:30.484223,2025-12-25 19:16:35.588166,0 days 00:00:05.103943,0.06010363979482014,0.7102587598166268,118,1.0165692301250995,0.004973689761647178,0.010518079631272857,3,21.98483850838541,1684,0.6539656309093663,PRUNED
24,0.5723058020509549,2025-12-25 19:16:35.588557,2025-12-25 19:16:56.379671,0 days 00:00:20.791114,1.3596163013221587,0.8554482465657268,168,2.263138085267211,2.8327435662438927e-07,0.021412176516257708,6,0.12097082527820932,1347,0.5580865573914329,COMPLETE
25,0.33977771200033297,2025-12-25 19:16:56.379999,2025-12-25 19:16:59.101741,0 days 00:00:02.721742,58.7027365559838,0.9820762813447689,166,2.385489348763922,7.578806687833428e-06,0.09205006344961575,6,0.1268446193079948,1276,0.5446233787078888,PRUNED
26,0.608041283207041,2025-12-25 19:16:59.101974,2025-12-25 19:17:02.929368,0 days 00:00:03.827394,1.8369213553546122,0.70629213844086,172,3.748582262745785,1.6914480893025715e-09,0.022684142228302347,6,0.03738653186682862,1003,0.6340265608439776,PRUNED
27,0.6244655834850027,2025-12-25 19:17:02.929658,2025-12-25 19:17:07.031300,0 days 00:00:04.101642,3.6694416644222265,0.8263702804295336,172,0.08005489121256204,1.1756315478168472e-07,0.03580008784924222,2,0.026354231889020394,1342,0.6902365394960889,PRUNED
28,0.6651841612574495,2025-12-25 19:17:07.031578,2025-12-25 19:17:10.081418,0 days 00:00:03.049840,0.33320878142759003,0.925536078669013,152,2.390227318157229,0.0001538835660501773,0.06484004649510836,3,0.2950077417927279,989,0.5419976021966638,PRUNED
29,0.5666383595896791,2025-12-25 19:17:10.081659,2025-12-25 19:17:13.721072,0 days 00:00:03.639413,0.040000485637181706,0.6954016474079168,197,7.885369885474984,0.006541548743485764,0.11676678748556375,5,0.09299417614926346,1590,0.6927410989376815,PRUNED
