number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_cv_mean_best_epoch,user_attrs_cv_mean_rmse,user_attrs_cv_mean_score,user_attrs_cv_mean_spearman,user_attrs_cv_std_score,state
12,0.4974730691174921,2025-12-25 17:47:26.170312,2025-12-25 17:51:32.313628,0 days 00:04:06.143316,32,0.3239388042283028,0.001050534703698475,0.006555077175180497,12.4,35.780405616760255,0.4974730691174921,0.4974730691174921,0.1365117279163944,COMPLETE
13,0.45506264444648503,2025-12-25 17:51:32.314304,2025-12-25 17:55:50.123798,0 days 00:04:17.809494,32,0.3504368674513066,0.0003098934638519495,0.008552617970342995,15.0,35.73468456268311,0.45506264444648503,0.45506264444648503,0.14059010984022435,COMPLETE
14,0.5515827510015476,2025-12-25 17:55:50.125004,2025-12-25 17:56:25.398013,0 days 00:00:35.273009,32,0.3464537297918948,0.002931845944040906,7.385178499798802e-08,,,,,,PRUNED
15,0.4596680545543288,2025-12-25 17:56:25.399012,2025-12-25 18:00:07.926290,0 days 00:03:42.527278,32,0.26919481102765885,0.00020229066706204716,2.2720897371472536e-10,15.0,35.88182830810547,0.4596680545543288,0.4596680545543288,0.1455275952830521,COMPLETE
16,0.5303680298091804,2025-12-25 18:00:07.927283,2025-12-25 18:00:59.807679,0 days 00:00:51.880396,16,0.17148984276653317,0.0012663077977871323,0.00524441614458691,,,,,,PRUNED
17,0.5276523457781487,2025-12-25 18:00:59.808601,2025-12-25 18:05:03.679293,0 days 00:04:03.870692,32,0.2695463575943994,0.0005533584638296746,2.2102761299328225e-08,14.8,35.76741542816162,0.5276523457781487,0.5276523457781487,0.08628386867566015,COMPLETE
18,0.4913849492286949,2025-12-25 18:05:03.680363,2025-12-25 18:09:34.432543,0 days 00:04:30.752180,32,0.1269737040000953,0.00033183872762631536,1.2285737406928472e-08,16.6,35.497168159484865,0.4913849492286949,0.4913849492286949,0.12459378705369326,COMPLETE
19,0.5156683778082556,2025-12-25 18:09:34.433186,2025-12-25 18:13:32.706655,0 days 00:03:58.273469,16,0.000824899580661953,0.0006000399267847988,2.480147983072703e-07,12.2,35.631644058227536,0.5156683778082556,0.5156683778082556,0.09130417710646853,COMPLETE
20,0.5286571651968927,2025-12-25 18:13:32.707494,2025-12-25 18:14:21.983293,0 days 00:00:49.275799,32,0.23870941070396134,0.0014581080560483154,2.8415916404098247e-09,,,,,,PRUNED
21,0.5378958341032462,2025-12-25 18:14:21.984200,2025-12-25 18:15:13.816729,0 days 00:00:51.832529,16,0.279389981635447,0.0005621356985703711,2.5132609711991095e-07,,,,,,PRUNED
22,0.53129777227717,2025-12-25 18:15:13.817748,2025-12-25 18:19:17.669697,0 days 00:04:03.851949,16,1.2707176359392082e-05,0.00019977882554167927,1.102955470301081e-07,16.4,35.55699481964111,0.53129777227717,0.53129777227717,0.1228271189087989,COMPLETE
23,0.5000301253007479,2025-12-25 18:19:17.670227,2025-12-25 18:48:21.032412,0 days 00:29:03.362185,16,0.2116493615236067,0.00017111331410361353,3.3258472213043564e-06,15.0,35.52537899017334,0.5000301253007479,0.5000301253007479,0.11628574932051197,COMPLETE
24,0.5005778377616814,2025-12-25 18:48:21.032934,2025-12-25 18:52:17.500971,0 days 00:03:56.468037,16,0.1440549218800766,0.00018537993235830086,4.186747602251124e-08,14.4,35.957289695739746,0.5005778377616814,0.5005778377616814,0.12310846031087516,COMPLETE
25,0.4995416231162116,2025-12-25 18:52:17.501369,2025-12-25 18:56:28.783354,0 days 00:04:11.281985,16,0.008481650131212038,0.00029434744767969483,3.7149188419178352e-09,14.2,35.447555732727054,0.4995416231162116,0.4995416231162116,0.11501761719406564,COMPLETE
26,0.46603952038716373,2025-12-25 18:56:28.784532,2025-12-25 18:57:19.220667,0 days 00:00:50.436135,32,0.3036884044924612,0.00010420528686299729,3.88530745121124e-10,,,,,,PRUNED
27,0.5508984051566326,2025-12-25 18:57:19.221269,2025-12-25 18:58:08.016523,0 days 00:00:48.795254,32,0.12229444391259112,0.0018826895271036098,1.2534741028261386e-07,,,,,,PRUNED
28,0.22343891836477084,2025-12-25 18:58:08.016929,2025-12-25 18:59:08.042396,0 days 00:01:00.025467,64,0.4645194069739299,1.2332038926691241e-05,7.54757542260174e-09,,,,,,PRUNED
29,0.5570575177608682,2025-12-25 18:59:08.043304,2025-12-25 18:59:47.086182,0 days 00:00:39.042878,16,0.3985730581176987,0.00038607451776704086,9.356487001589091e-07,,,,,,PRUNED
30,0.5498718863892599,2025-12-25 18:59:47.087090,2025-12-25 19:00:32.778043,0 days 00:00:45.690953,64,0.20566211456108385,0.0007264199534458131,8.723108428562199e-10,,,,,,PRUNED
31,0.6162534333460219,2025-12-25 19:00:32.778949,2025-12-25 19:01:06.287688,0 days 00:00:33.508739,16,0.011125010458650768,0.0006647587018933319,2.3938217138559015e-07,,,,,,PRUNED
32,0.5782722389532353,2025-12-25 19:01:06.288452,2025-12-25 19:01:51.203007,0 days 00:00:44.914555,16,0.0034472045664756526,0.000433557689073053,2.7652140885618736e-08,,,,,,PRUNED
33,0.4912662723287107,2025-12-25 19:01:51.203971,2025-12-25 19:05:24.842013,0 days 00:03:33.638042,16,0.10710765192057652,0.00025187049503048656,2.7046643121098782e-06,14.2,35.60325622558594,0.4912662723287107,0.4912662723287107,0.13711621741586563,COMPLETE
34,0.48894740493899713,2025-12-25 19:05:24.842927,2025-12-25 19:08:52.305203,0 days 00:03:27.462276,16,0.08990674627099335,0.0004793067592917062,3.823877710645743e-07,12.6,35.54128131866455,0.48894740493899713,0.48894740493899713,0.1073187404248357,COMPLETE
