number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
21,0.7228195937868456,2025-12-16 00:40:04.155262,2025-12-16 00:42:06.329068,0 days 00:02:02.173806,16,512,0.27478730618604924,5,4,8.82720978776346e-05,1.4189416830776083e-08,0.9364706737519854,0.7228195937868456,0.6349503993988037,PRUNED
22,0.7267156862740167,2025-12-16 00:42:06.329244,2025-12-16 00:44:07.904330,0 days 00:02:01.575086,16,512,0.22360243016263376,5,4,7.236530624246447e-05,1.5689297833543135e-08,0.9365971119869078,0.7267156862740167,0.7813211679458618,PRUNED
23,0.7223276407332169,2025-12-16 00:44:07.904504,2025-12-16 00:46:13.066429,0 days 00:02:05.161925,16,512,0.31287110965950515,5,4,0.00011143911728187837,2.740566978413211e-07,0.937430734114725,0.7223276407332169,0.7945322394371033,PRUNED
24,0.7286461359669744,2025-12-16 00:46:13.066601,2025-12-16 00:52:29.298121,0 days 00:06:16.231520,16,512,0.15286534971434743,5,3,4.095386201147194e-05,0.0016605790498735835,0.9379500522901444,0.7286461359669744,0.7044809460639954,PRUNED
25,0.7255705090691439,2025-12-16 00:52:29.298295,2025-12-16 00:54:28.477905,0 days 00:01:59.179610,32,512,0.20686490000361943,5,2,0.00013638033567707207,9.007880460464587e-08,0.936474768917489,0.7255705090691439,0.6406044960021973,PRUNED
26,0.724705882352453,2025-12-16 00:54:28.478095,2025-12-16 00:56:31.908573,0 days 00:02:03.430478,16,256,0.3855521773716979,5,3,4.5019987089551105e-05,2.6308019380601486e-06,0.9360514311835592,0.724705882352453,0.6748183965682983,PRUNED
27,0.7075413856524806,2025-12-16 00:56:31.908751,2025-12-16 01:02:33.167619,0 days 00:06:01.258868,16,512,0.2741345207326644,5,4,0.00029465128732368605,5.26778080359789e-08,0.9323847223708142,0.7075413856524806,0.5441102981567383,PRUNED
28,0.7108294930870724,2025-12-16 01:02:33.167792,2025-12-16 01:04:32.674021,0 days 00:01:59.506229,32,256,0.09180314370611328,7,1,1.3337512183656728e-05,2.369695384042481e-05,0.9297832684846812,0.7108294930870724,0.717193067073822,PRUNED
29,0.7165217391299485,2025-12-16 01:04:32.674194,2025-12-16 01:06:31.170988,0 days 00:01:58.496794,64,128,0.11165039137443696,3,1,9.673160939212684e-05,0.0003589998207554758,0.9314848097514081,0.7165217391299485,0.6845443844795227,PRUNED
30,0.7252489748091198,2025-12-16 01:06:31.171161,2025-12-16 01:08:30.160687,0 days 00:01:58.989526,32,128,0.043037261461285836,5,3,4.3930865379038774e-05,4.498093336255493e-06,0.9348510357953297,0.7252489748091198,0.7119610905647278,PRUNED
31,0.7347692307687373,2025-12-16 01:08:30.160860,2025-12-16 01:27:09.103217,0 days 00:18:38.942357,16,256,0.07393702203107229,7,1,0.0014135062259089382,0.0019035417281315357,0.9310896262803151,0.7142035652669099,0.5867295861244202,COMPLETE
32,0.7210732252650306,2025-12-16 01:27:09.103454,2025-12-16 01:33:17.135858,0 days 00:06:08.032404,16,256,0.15245423644455167,7,1,0.0027477352792384304,0.0011233020110482089,0.9361456199901408,0.7210732252650306,0.6780140399932861,PRUNED
33,0.7247223845699393,2025-12-16 01:33:17.136043,2025-12-16 01:35:22.456482,0 days 00:02:05.320439,16,256,0.04908888280920484,7,1,0.0012345455786705558,0.003359735121278274,0.9374980483976898,0.7247223845699393,0.6332471370697021,PRUNED
34,0.7255921432693004,2025-12-16 01:35:22.456654,2025-12-16 01:37:31.220553,0 days 00:02:08.763899,16,256,0.08012462004621201,7,1,0.0006690278129027295,0.0005542721788281193,0.9379403262720737,0.7255921432693004,0.6900232434272766,PRUNED
35,0.7212918660282179,2025-12-16 01:37:31.220727,2025-12-16 01:39:38.079345,0 days 00:02:06.858618,16,256,0.12284693166287308,7,2,0.0019485181100170957,0.0001885482232477218,0.9351080074306778,0.7212918660282179,0.7566173076629639,PRUNED
36,0.7213309566245848,2025-12-16 01:39:38.079516,2025-12-16 01:41:36.880109,0 days 00:01:58.800593,32,128,0.16339160406920977,3,2,6.592576889071137e-05,0.008479754761835722,0.9336025222124336,0.7213309566245848,0.6906613111495972,PRUNED
37,0.7215777262176113,2025-12-16 01:41:36.880283,2025-12-16 01:43:41.549709,0 days 00:02:04.669426,16,512,0.23332639643423358,7,1,3.082362881134547e-05,0.003710355125535702,0.934287950538591,0.7215777262176113,0.5607646703720093,PRUNED
38,0.7233796296291436,2025-12-16 01:43:41.549882,2025-12-16 01:45:41.977735,0 days 00:02:00.427853,32,128,0.010232589025081215,3,4,0.00022100037982098283,8.195441185584943e-05,0.9359613375424809,0.7233796296291436,0.6223812699317932,PRUNED
39,0.7257861635215171,2025-12-16 01:45:41.977905,2025-12-16 01:47:43.849953,0 days 00:02:01.872048,16,256,0.19312139908186018,7,3,0.0007705024803315943,7.670424547436349e-07,0.9376326769636191,0.7257861635215171,0.8551183342933655,PRUNED
40,0.733134328357719,2025-12-16 01:47:43.850133,2025-12-16 02:07:39.811042,0 days 00:19:55.960909,64,512,0.1015807004855806,5,2,0.0015584443040936812,0.0021281566592430403,0.9336967110190154,0.7185561195708658,0.6607834696769714,COMPLETE
41,0.7268491555032988,2025-12-16 02:07:39.811273,2025-12-16 02:09:47.571051,0 days 00:02:07.759778,16,256,0.03820794564196041,7,1,0.0012711178545679542,0.0014226757411907038,0.9377079256297469,0.7268491555032988,0.7882031202316284,PRUNED
42,0.727611940298013,2025-12-16 02:09:47.571241,2025-12-16 02:11:51.138499,0 days 00:02:03.567258,16,256,0.06360670813123888,7,1,0.0015599760490349014,0.005710964623006981,0.9381875718893506,0.727611940298013,0.5488296151161194,PRUNED
43,0.7230283911666966,2025-12-16 02:11:51.138671,2025-12-16 02:13:52.218375,0 days 00:02:01.079704,16,256,0.09163222811868041,7,1,0.0020965209229750334,0.0007805670940593052,0.9377217468133214,0.7230283911666966,0.7497140765190125,PRUNED
44,0.7323442136493623,2025-12-16 02:13:52.218549,2025-12-16 02:38:48.977749,0 days 00:24:56.759200,16,256,0.12493596138863525,7,1,0.0029192525377260033,0.00030030366414364863,0.9295068448131912,0.7131964809379285,0.6576834321022034,COMPLETE
45,0.7277023036025829,2025-12-16 02:38:48.977997,2025-12-16 02:40:50.379882,0 days 00:02:01.401885,16,256,0.07143626254400592,7,2,0.000517588402070592,0.0025932015584392933,0.9380862165431378,0.7277023036025829,0.7208345532417297,PRUNED
46,0.7111111111106238,2025-12-16 02:40:50.380071,2025-12-16 02:42:48.479402,0 days 00:01:58.099331,32,128,0.03243500737863157,7,1,1.714384812076492e-05,0.0005842780022507788,0.9300484304510364,0.7111111111106238,0.7434213757514954,PRUNED
47,0.7225647348946975,2025-12-16 02:42:48.479578,2025-12-16 02:44:53.234355,0 days 00:02:04.754777,16,256,0.17321815504955038,5,3,0.00038880444781592114,1.911917141348584e-05,0.935915266930566,0.7225647348946975,0.6752705574035645,PRUNED
48,0.7208641273445989,2025-12-16 02:44:53.234533,2025-12-16 02:46:51.107542,0 days 00:01:57.873009,64,256,0.3163671281551043,7,2,0.0011417233054427202,0.008976715898085906,0.9371566139738309,0.7208641273445989,0.5983855724334717,PRUNED
49,0.7257383966239814,2025-12-16 02:46:51.107717,2025-12-16 02:48:51.224834,0 days 00:02:00.117117,32,128,0.14220215874833014,3,2,0.0008213347218159895,0.004035635165163076,0.9371340905635612,0.7257383966239814,0.7275974154472351,PRUNED
