number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_kernel,params_layers,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
17,0.7559633027517968,2025-12-25 05:23:44.590057,2025-12-25 05:25:45.028478,0 days 00:02:00.438421,16,128,0.29822993894894473,3,2,3.1905280214878137e-05,0.001615358753026749,0.8172023862523374,0.7559633027517968,0.46347036957740784,PRUNED
18,0.6974814814810272,2025-12-25 05:25:45.029166,2025-12-25 05:27:22.877433,0 days 00:01:37.848267,64,512,0.1876567079282776,7,3,0.0022964170939080036,1.4457994731999776e-06,0.5,0.6974814814810272,0.4911879599094391,PRUNED
19,0.7676855895191511,2025-12-25 05:27:22.878061,2025-12-25 05:29:05.766445,0 days 00:01:42.888384,32,256,0.38673789963838356,3,1,8.865629099946877e-05,2.5775143690191147e-05,0.8290845515208656,0.7676855895191511,0.5176960229873657,PRUNED
20,0.8149760557243588,2025-12-25 05:29:05.767064,2025-12-25 05:38:49.252752,0 days 00:09:43.485688,64,512,0.3390646258308763,7,2,0.000449252488202745,6.02995547393406e-08,0.8833011432808224,0.8149760557243588,0.34390348196029663,PRUNED
21,0.8020878642883215,2025-12-25 05:38:49.253493,2025-12-25 05:42:04.755388,0 days 00:03:15.501895,32,512,0.476778215749673,3,2,0.0014601665280939175,0.0010309409968127607,0.8686878857501393,0.8020878642883215,0.3921162486076355,PRUNED
22,0.7825700311244455,2025-12-25 05:42:04.756050,2025-12-25 05:44:02.761941,0 days 00:01:58.005891,32,512,0.427971569675772,3,2,0.0026037339880398314,0.0018976119804708887,0.8488163186507305,0.7825700311244455,0.32923224568367004,PRUNED
23,0.8019581664436488,2025-12-25 05:44:02.762543,2025-12-25 05:51:14.730748,0 days 00:07:11.968205,32,512,0.49158216459359577,3,2,0.0013259656241358959,0.0002825837116499055,0.8772672767382004,0.8019581664436488,0.3978051543235779,PRUNED
24,0.8065326633160829,2025-12-25 05:51:14.731483,2025-12-25 05:58:15.354204,0 days 00:07:00.622721,32,512,0.43573943127594394,3,3,0.00019894730613132926,0.002313937069920331,0.8662538684232642,0.8065326633160829,0.32382363080978394,PRUNED
25,0.796506550217841,2025-12-25 05:58:15.354825,2025-12-25 06:02:04.407022,0 days 00:03:49.052197,32,128,0.2120872945412224,3,2,0.002907867941262548,0.00029553321367765695,0.8643474295528812,0.796506550217841,0.3696613609790802,PRUNED
26,0.8429680759270238,2025-12-25 06:02:04.407637,2025-12-25 06:38:16.139864,0 days 00:36:11.732227,16,512,0.12630843639981634,3,1,0.000585061665096339,0.004404965145498119,0.9055097830853687,0.8382229673088043,0.3369692862033844,COMPLETE
27,0.8443680137570236,2025-12-25 06:38:16.140234,2025-12-25 07:14:03.136266,0 days 00:35:46.996032,16,512,0.15649177757001576,3,1,0.00045843732775814654,0.0047229299044940646,0.9050267242620351,0.8381778741860513,0.3812173008918762,COMPLETE
28,0.8138111888106891,2025-12-25 07:14:03.136794,2025-12-25 07:21:01.509347,0 days 00:06:58.372553,16,512,0.1295068373506417,3,1,0.0005266074699402136,0.004344408129332329,0.8841873752306075,0.8138111888106891,0.5311214327812195,PRUNED
29,0.7973856209145329,2025-12-25 07:21:01.509950,2025-12-25 07:24:30.789660,0 days 00:03:29.279710,16,512,0.09399487699790011,3,1,0.0011595436518295487,0.0006519883921967248,0.8563738384328424,0.7973856209145329,0.4246322810649872,PRUNED
30,0.8319805194800205,2025-12-25 07:24:30.790300,2025-12-25 07:50:50.766606,0 days 00:26:19.976306,16,512,0.26705600716186884,3,1,0.0005470138440060436,0.002822821850015003,0.9028331961684822,0.8319805194800205,0.29881852865219116,PRUNED
31,0.806437581556699,2025-12-25 07:50:50.767269,2025-12-25 07:56:01.765237,0 days 00:05:10.997968,16,512,0.14795155037606247,3,1,0.0002629046637365521,0.009118340999737531,0.871076135229842,0.806437581556699,0.37287935614585876,PRUNED
32,0.809566787003112,2025-12-25 07:56:01.765910,2025-12-25 08:02:49.208519,0 days 00:06:47.442609,16,512,0.09606016173988387,5,1,0.00010058868290567788,0.00017486186709826873,0.8783798514958181,0.809566787003112,0.4784749746322632,PRUNED
33,0.8214285714280718,2025-12-25 08:02:49.209259,2025-12-25 08:16:02.426459,0 days 00:13:13.217200,16,128,0.20852588234064676,3,1,0.0008945687485000909,0.0009081180193115937,0.8858358498714756,0.8214285714280718,0.42909401655197144,PRUNED
34,0.8043290043285046,2025-12-25 08:16:02.427242,2025-12-25 08:19:37.655915,0 days 00:03:35.228673,16,256,0.07357739462249066,7,1,0.0001840017080482259,0.004408353248133261,0.8712342423382543,0.8043290043285046,0.477160781621933,PRUNED
35,0.7903442109963722,2025-12-25 08:19:37.656595,2025-12-25 08:21:15.534953,0 days 00:01:37.878358,16,128,0.0430237328402103,3,2,0.0003542586066602402,0.009876139457874522,0.8544016602910669,0.7903442109963722,0.38242867588996887,PRUNED
36,0.7820738137077606,2025-12-25 08:21:15.535580,2025-12-25 08:22:59.193145,0 days 00:01:43.657565,16,512,0.148426380616538,5,1,5.6756276675418304e-05,1.9121482173534903e-07,0.8490343400318046,0.7820738137077606,0.42840370535850525,PRUNED
37,0.836902800658479,2025-12-25 08:22:59.193730,2025-12-25 08:56:47.169677,0 days 00:33:47.975947,16,128,0.2069357296754243,7,4,0.0006555020053716614,4.432013731759358e-05,0.8982214614588959,0.8349680170570694,0.39697474241256714,COMPLETE
