number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
15,0.7842450765859336,2025-12-24 14:47:21.651881,2025-12-24 14:47:22.422973,0 days 00:00:00.771092,0.004796888577262142,,,linear,4210,2.0250976178957588e-05,0.8912217589743062,0.8473338564736956,0.349581778049469,COMPLETE
16,0.7041820418199564,2025-12-24 14:47:22.423212,2025-12-24 14:47:22.865418,0 days 00:00:00.442206,1.3316662534259842,,,linear,4175,5.6782012076248834e-05,0.5879670018452563,0.5894686519371866,0.4764217734336853,COMPLETE
17,0.7863910422044956,2025-12-24 14:47:22.865609,2025-12-24 14:47:23.529404,0 days 00:00:00.663795,0.0048744181576373105,,,linear,3589,1.05832474549224e-05,0.8918561285277374,0.8487002347474488,0.3379591703414917,COMPLETE
18,0.7251363827103687,2025-12-24 14:47:23.529573,2025-12-24 14:47:24.025825,0 days 00:00:00.496252,0.49478396234896044,balanced,1.0174836168842722e-06,sigmoid,4603,1.1013318582556855e-06,0.8487996200148799,0.7833728739794812,0.5019718408584595,COMPLETE
19,0.726256983239728,2025-12-24 14:47:24.026002,2025-12-24 14:47:24.573852,0 days 00:00:00.547850,0.009585798437678364,,6.655908132340305e-05,rbf,2770,7.39156112940056e-05,0.8534901640944033,0.7836728614141266,0.5786268711090088,COMPLETE
20,0.6998202516472365,2025-12-24 14:47:24.574027,2025-12-24 14:47:24.917199,0 days 00:00:00.343172,5.510365239543367,,,linear,4472,0.0006458798465035612,0.7396750288553977,0.673018273021019,0.37846338748931885,COMPLETE
21,0.780423280422781,2025-12-24 14:47:24.917376,2025-12-24 14:47:25.677952,0 days 00:00:00.760576,0.004122081815082159,,,linear,3607,1.0086681438759764e-05,0.8895894088405483,0.8442258035793786,0.35130345821380615,COMPLETE
22,0.7640750670236299,2025-12-24 14:47:25.678136,2025-12-24 14:47:26.513286,0 days 00:00:00.835150,0.0010850740982828,,,linear,3745,1.044628863661034e-05,0.8768226848833873,0.8190855251277963,0.3827791213989258,COMPLETE
23,0.7987102717636675,2025-12-24 14:47:26.513472,2025-12-24 14:47:27.324632,0 days 00:00:00.811160,0.010233466946149166,,,linear,4987,3.528132395886404e-06,0.8971619743104149,0.8573129114425442,0.40984418988227844,COMPLETE
24,0.7990909090904116,2025-12-24 14:47:27.324812,2025-12-24 14:47:28.102972,0 days 00:00:00.778160,0.014622997648629408,,,linear,4964,1.4585593706761306e-06,0.8991662915367362,0.8607159589154518,0.39748626947402954,COMPLETE
25,0.8018390804592735,2025-12-24 14:47:28.103164,2025-12-24 14:47:28.843336,0 days 00:00:00.740172,0.01959672260464985,,,linear,4433,1.1132642094321902e-06,0.9012908185238148,0.8638602100161684,0.4244207441806793,COMPLETE
26,0.6987447698740208,2025-12-24 14:47:28.843522,2025-12-24 14:47:29.339840,0 days 00:00:00.496318,0.24300392649444114,balanced,,linear,4401,1.4634217067783553e-06,0.6337549029191429,0.6196637810732477,0.07909054309129715,COMPLETE
27,0.6974814814810272,2025-12-24 14:47:29.340046,2025-12-24 14:47:29.997410,0 days 00:00:00.657364,0.020186516794093123,,8.727862134618423,sigmoid,4010,1.8113482448558266e-06,0.5354868061874432,0.5,0.49117645621299744,COMPLETE
28,0.7450792126735363,2025-12-24 14:47:29.997627,2025-12-24 14:47:30.642813,0 days 00:00:00.645186,0.13543746845604399,,5.80438914288172e-05,rbf,3122,2.238120995876088e-06,0.8640907506754105,0.7920026095994315,0.5827304124832153,COMPLETE
29,0.8016378525927691,2025-12-24 14:47:30.643004,2025-12-24 14:47:31.324292,0 days 00:00:00.681288,0.01807636788061609,,,linear,4547,5.291290210510815e-06,0.9001100733256677,0.861917572939386,0.4020276665687561,COMPLETE
30,0.699669966996243,2025-12-24 14:47:31.324508,2025-12-24 14:47:31.676902,0 days 00:00:00.352394,94.01019860506986,,,linear,4446,5.124388212697152e-06,0.7317155717942716,0.6672257278543949,0.37791895866394043,COMPLETE
31,0.8033240997224953,2025-12-24 14:47:31.677087,2025-12-24 14:47:32.381260,0 days 00:00:00.704173,0.020529774498839873,,,linear,4708,1.1808668966329479e-06,0.9016249122339726,0.8644339723911703,0.4310426414012909,COMPLETE
32,0.7912288716303846,2025-12-24 14:47:32.381476,2025-12-24 14:47:32.962476,0 days 00:00:00.581000,0.04870369886786537,,,linear,3864,1.0057466337818722e-06,0.8916528683768046,0.8533627301602624,0.4883366525173187,COMPLETE
33,0.7746170678331984,2025-12-24 14:47:32.962664,2025-12-24 14:47:33.881984,0 days 00:00:00.919320,0.0025039842656419528,,,linear,4650,5.9141776666571995e-06,0.8845078227332264,0.8346378556681815,0.3493220806121826,COMPLETE
34,0.6974814814810272,2025-12-24 14:47:33.882175,2025-12-24 14:47:34.227159,0 days 00:00:00.344984,0.023257940000728724,balanced,5.5514201650882926e-05,poly,1112,2.435117819322241e-06,0.5354868061874432,0.5,0.5,COMPLETE
35,0.7009987515600845,2025-12-24 14:47:34.227352,2025-12-24 14:47:34.692081,0 days 00:00:00.464729,0.5838267480814775,,,linear,4289,1.6650988928669994e-05,0.7288427242917942,0.6843624580496074,0.3953697681427002,COMPLETE
36,0.6981300089042648,2025-12-24 14:47:34.692284,2025-12-24 14:47:35.093002,0 days 00:00:00.400718,0.11713307271100606,balanced,0.41573062787877324,poly,4087,0.00011518224788062196,0.6066273406195641,0.5698263401449759,0.15248163044452667,COMPLETE
37,0.7076425394252996,2025-12-24 14:47:35.093194,2025-12-24 14:47:35.909889,0 days 00:00:00.816695,0.002724254142287606,,1.2266181476567375e-05,sigmoid,4675,0.00026992988877721813,0.7546329612818504,0.7476839388974276,0.4911077320575714,COMPLETE
38,0.7345092718222067,2025-12-24 14:47:35.910198,2025-12-24 14:47:36.471359,0 days 00:00:00.561161,0.023771193613760764,,,linear,2278,2.896353661420295e-06,0.8366928134268872,0.7851162128853965,0.5240829586982727,COMPLETE
39,0.7141833810883376,2025-12-24 14:47:36.471568,2025-12-24 14:47:36.796425,0 days 00:00:00.324857,0.0458018817122646,balanced,0.000858650825626596,poly,1370,4.635145372443786e-06,0.799154419535447,0.7426486435658312,0.5030031800270081,COMPLETE
40,0.8126955744295415,2025-12-24 14:47:36.796628,2025-12-24 14:47:37.525917,0 days 00:00:00.729289,0.24686289800942068,,0.3191327676515951,rbf,3448,7.855562824015942e-06,0.909376385034008,0.8768624393263971,0.41276800632476807,COMPLETE
41,0.811126065499726,2025-12-24 14:47:37.526102,2025-12-24 14:47:38.279909,0 days 00:00:00.753807,0.24522727109451886,,0.39816520847202946,rbf,3597,5.987313744263928e-06,0.9075399659477672,0.8741034702846011,0.2980857491493225,COMPLETE
42,0.8091268100038884,2025-12-24 14:47:38.280102,2025-12-24 14:47:38.970733,0 days 00:00:00.690631,0.2108520368912806,,0.2603748820420813,rbf,3322,1.6181217894273103e-05,0.908541199454673,0.876130985914321,0.45045486092567444,COMPLETE
43,0.8154735437967443,2025-12-24 14:47:38.970922,2025-12-24 14:47:39.553356,0 days 00:00:00.582434,0.44159529350643006,,0.2974535430311572,rbf,2956,7.300936983013992e-06,0.9099575226437275,0.8761617751933276,0.4542585015296936,COMPLETE
44,0.8131768953063612,2025-12-24 14:47:39.553553,2025-12-24 14:47:40.176764,0 days 00:00:00.623211,0.3146894219899426,,0.3588422125673682,rbf,2917,1.6434027358452227e-05,0.9062150036917205,0.8699173765537145,0.4287075400352478,COMPLETE
45,0.7998303647153608,2025-12-24 14:47:40.176988,2025-12-24 14:47:40.651586,0 days 00:00:00.474598,2.8240736665284096,,0.40370534405195413,rbf,2927,1.5837361609809432e-05,0.8885988525771816,0.8570690936385189,0.3716340661048889,COMPLETE
46,0.8025247971140194,2025-12-24 14:47:40.651783,2025-12-24 14:47:41.170439,0 days 00:00:00.518656,0.42889399066474543,,0.3153431716570308,rbf,2430,8.24803702946969e-06,0.9009449653470977,0.8647726544602431,0.595377504825592,COMPLETE
47,0.7363253856937649,2025-12-24 14:47:41.170651,2025-12-24 14:47:41.853701,0 days 00:00:00.683050,0.2298118648786415,,2.2644853268012035,rbf,3395,2.0133573331753016e-05,0.8008794602622806,0.783154020455731,0.6527097821235657,COMPLETE
48,0.8043859649117812,2025-12-24 14:47:41.853889,2025-12-24 14:47:42.386061,0 days 00:00:00.532172,0.8889626242562689,,0.13245166411890585,rbf,3009,3.120676778159957e-05,0.9098189157040772,0.8761497091245276,0.5306423902511597,COMPLETE
49,0.7475209763534335,2025-12-24 14:47:42.386258,2025-12-24 14:47:43.024105,0 days 00:00:00.637847,0.21868468287735246,,1.7685700735369643,rbf,2749,6.7054647030855046e-06,0.813118793351384,0.7903441492464532,0.4752217233181,COMPLETE
50,0.8008639308850293,2025-12-24 14:47:43.024295,2025-12-24 14:47:43.583156,0 days 00:00:00.558861,2.9273662473504003,balanced,0.27588407801145637,rbf,3408,1.4153891512057206e-05,0.8997645650280663,0.8624584656786913,0.4773763418197632,COMPLETE
51,0.8217122683137108,2025-12-24 14:47:43.583331,2025-12-24 14:47:44.194994,0 days 00:00:00.611663,0.7522908431673683,,0.12264564642891444,rbf,3022,3.295427798595873e-05,0.9204290666756296,0.8904767095747169,0.4818663001060486,COMPLETE
52,0.7848317000421074,2025-12-24 14:47:44.195203,2025-12-24 14:47:44.866281,0 days 00:00:00.671078,0.09768520349634845,,1.0966599125431369,rbf,3212,2.5210083884156224e-05,0.8603217482162455,0.8277472982407671,0.7054871916770935,COMPLETE
53,0.7711797307991857,2025-12-24 14:47:44.866479,2025-12-24 14:47:45.296956,0 days 00:00:00.430477,0.8687302820255678,,0.15553213709656213,rbf,2036,4.961325141975009e-05,0.8609777371213554,0.8277839125185048,0.2747589349746704,COMPLETE
54,0.8143294014848652,2025-12-24 14:47:45.297150,2025-12-24 14:47:45.907853,0 days 00:00:00.610703,0.32076266716003493,,0.07962877659015963,rbf,2877,1.3370527768327434e-05,0.9172911053168076,0.8856827356191183,0.4059092402458191,COMPLETE
55,0.8125537403262411,2025-12-24 14:47:45.908026,2025-12-24 14:47:46.471979,0 days 00:00:00.563953,0.38371910268805387,,0.07503249064556627,rbf,2592,6.681313733206132e-05,0.9183026929780673,0.887676549470466,0.43649885058403015,COMPLETE
56,0.7418375094907738,2025-12-24 14:47:46.472179,2025-12-24 14:47:46.938021,0 days 00:00:00.465842,2.126998571892536,,0.07423136980037205,rbf,2601,3.710075039404219e-05,0.8500226849034821,0.7989048170243077,0.2891901731491089,COMPLETE
57,0.7043354655290087,2025-12-24 14:47:46.938235,2025-12-24 14:47:47.328966,0 days 00:00:00.390731,13.105132058919795,,0.008939171128491484,rbf,2311,0.0001351048441566926,0.7722735354164406,0.7278427450056877,0.2591710686683655,COMPLETE
58,0.8035866780524462,2025-12-24 14:47:47.329135,2025-12-24 14:47:47.957478,0 days 00:00:00.628343,0.4237772383803222,,0.014749582965561668,rbf,2775,8.793319306399368e-05,0.9082290861932121,0.8731090597869549,0.3711106777191162,COMPLETE
59,0.7327803822569942,2025-12-24 14:47:47.957663,2025-12-24 14:47:48.386637,0 days 00:00:00.428974,5.142440931370276,,0.05497125063451078,rbf,2980,0.000222222516739232,0.808947490822371,0.7728308744904167,0.35736989974975586,COMPLETE
60,0.7841918294844034,2025-12-24 14:47:48.386817,2025-12-24 14:47:48.959502,0 days 00:00:00.572685,0.07782957724597662,,0.07465077133263122,rbf,2557,6.038448042324363e-05,0.8981652942947854,0.8562731491690638,0.49273544549942017,COMPLETE
61,0.8121693121688129,2025-12-24 14:47:48.959684,2025-12-24 14:47:49.610659,0 days 00:00:00.650975,0.34444423843246824,,0.5631185728541407,rbf,3588,8.008857716801108e-06,0.9013657578384117,0.8671804592928285,0.336993932723999,COMPLETE
62,0.7927461139891373,2025-12-24 14:47:49.610839,2025-12-24 14:47:50.183634,0 days 00:00:00.572795,0.7199784292907917,,0.8828203013721208,rbf,3068,1.0750527454392289e-05,0.8737753404866715,0.8401320776855117,0.48271679878234863,COMPLETE
63,0.6994926887491711,2025-12-24 14:47:50.183822,2025-12-24 14:47:50.641984,0 days 00:00:00.458162,1.4466643377500101,,5.122218234495293,rbf,1826,7.496178566856116e-06,0.5748204182021134,0.5473123039783909,0.48351946473121643,COMPLETE
64,0.8093617021271595,2025-12-24 14:47:50.642187,2025-12-24 14:47:51.277134,0 days 00:00:00.634947,0.3542685043165473,,0.02809141357607705,rbf,2844,2.24223523878419e-05,0.9139912853506447,0.8828492898078333,0.3369731307029724,COMPLETE
65,0.8020347604912337,2025-12-24 14:47:51.277339,2025-12-24 14:47:51.793379,0 days 00:00:00.516040,1.3423503010680875,,0.12741987116319187,rbf,3459,1.2999668553477804e-05,0.9050854310856926,0.8732263919042503,0.5289972424507141,COMPLETE
66,0.6974814814810272,2025-12-24 14:47:51.793566,2025-12-24 14:47:52.497694,0 days 00:00:00.704128,0.15499075257587366,,0.6682078092155627,rbf,3769,3.9566499477609094e-05,0.5354868061874432,0.5,1.0,COMPLETE
67,0.7035145689391644,2025-12-24 14:47:52.497880,2025-12-24 14:47:53.109602,0 days 00:00:00.611722,0.3448385387935201,,3.657388172110227,rbf,3157,7.668968226690378e-05,0.6706757795978296,0.6548513501930987,0.4854032099246979,COMPLETE
68,0.802017654476171,2025-12-24 14:47:53.109802,2025-12-24 14:47:53.602161,0 days 00:00:00.492359,0.6677790862326582,,0.04423078289045742,rbf,2185,3.406191667854539e-06,0.9010816044882921,0.8644023509694878,0.42469656467437744,COMPLETE
69,0.6974814814810272,2025-12-24 14:47:53.602350,2025-12-24 14:47:53.987052,0 days 00:00:00.384702,2.118796148654217,balanced,0.15023360293722277,sigmoid,2578,0.004236691324310682,0.5354868061874432,0.5,0.5000001788139343,COMPLETE
70,0.7999999999995004,2025-12-24 14:47:53.987239,2025-12-24 14:47:54.721223,0 days 00:00:00.733984,0.15590081474835607,,0.017324455507443128,rbf,3503,1.196771766068006e-05,0.9025547749621651,0.8646053937823963,0.3537927269935608,COMPLETE
71,0.6974814814810272,2025-12-24 14:47:54.721408,2025-12-24 14:47:55.404391,0 days 00:00:00.682983,0.07430275569127505,,0.6792001600649961,rbf,3612,4.3773091531279495e-06,0.5354868061874432,0.5,1.0,COMPLETE
72,0.8103896103891106,2025-12-24 14:47:55.404620,2025-12-24 14:47:56.081426,0 days 00:00:00.676806,0.3174433838038747,,0.6057752239711175,rbf,3260,8.399506245958196e-06,0.8959578587632007,0.8617973283227249,0.5785114169120789,COMPLETE
73,0.8176156583624904,2025-12-24 14:47:56.081629,2025-12-24 14:47:56.768508,0 days 00:00:00.686879,0.5464021332095839,,0.20052312117337076,rbf,3711,6.1106974795490345e-06,0.9165996776292813,0.8829736951378735,0.48809200525283813,COMPLETE
74,0.8067444876778399,2025-12-24 14:47:56.768706,2025-12-24 14:47:57.398434,0 days 00:00:00.629728,1.0214555367255018,,0.18579365513941826,rbf,3845,3.253306941187869e-05,0.9139746369460826,0.8785533532437337,0.5457481741905212,COMPLETE
75,0.81976991904509,2025-12-24 14:47:57.398636,2025-12-24 14:47:58.025946,0 days 00:00:00.627310,0.5798631977355926,,0.08814216650657383,rbf,2862,1.966046322143285e-05,0.9209415508091223,0.8903036238981391,0.38489001989364624,COMPLETE
76,0.7959356477556389,2025-12-24 14:47:58.026152,2025-12-24 14:47:58.670945,0 days 00:00:00.644793,0.5647994790298025,,0.0059720830211366805,poly,2667,1.9007341375067337e-05,0.8992530373762232,0.8617236836959117,0.3277266323566437,COMPLETE
77,0.8191666666661669,2025-12-24 14:47:58.671148,2025-12-24 14:47:59.244450,0 days 00:00:00.573302,1.0689955820509607,,0.08231119885993524,rbf,2888,5.778508485962785e-05,0.9105100079650237,0.8815419936640656,0.3839130103588104,COMPLETE
78,0.7834507042248526,2025-12-24 14:47:59.244657,2025-12-24 14:47:59.938596,0 days 00:00:00.693939,1.1298351081620754,,0.0010917895021148477,rbf,2885,4.7813428895225566e-05,0.8857195488253148,0.8350830519997636,0.3258657157421112,COMPLETE
79,0.697688203911816,2025-12-24 14:47:59.938799,2025-12-24 14:48:00.531159,0 days 00:00:00.592360,4.714828130367741,,0.03386874063424992,sigmoid,3082,2.838074730418263e-05,0.5662126333819386,0.5383322362919056,0.4719907343387604,COMPLETE
80,0.767247915086693,2025-12-24 14:48:00.531358,2025-12-24 14:48:00.981793,0 days 00:00:00.450435,1.7737214414062947,balanced,0.09721538968014075,rbf,2422,2.1478604486314675e-05,0.8693784206627911,0.8280102553263372,0.36819347739219666,COMPLETE
81,0.8001693480096609,2025-12-24 14:48:00.981994,2025-12-24 14:48:01.500252,0 days 00:00:00.518258,0.49884347201112345,,0.22219669843900336,rbf,2697,6.472222373750999e-05,0.9025976732972173,0.8706550710358595,0.357299268245697,COMPLETE
82,0.8122866894192953,2025-12-24 14:48:01.500448,2025-12-24 14:48:02.101342,0 days 00:00:00.600894,0.18223806347924157,,0.0872556058445352,rbf,2456,1.0134398049476186e-05,0.9135066449240797,0.8817375471928914,0.47240471839904785,COMPLETE
83,0.8193172356364694,2025-12-24 14:48:02.101523,2025-12-24 14:48:02.709074,0 days 00:00:00.607551,0.6964387234980954,,0.040831915474995636,rbf,2886,9.598166160708837e-05,0.9134652407407147,0.8839676895641819,0.3402635157108307,COMPLETE
84,0.7350495049499972,2025-12-24 14:48:02.709275,2025-12-24 14:48:03.197418,0 days 00:00:00.488143,3.1715748225342777,,0.04435250238869881,rbf,2912,0.0005253859658189854,0.8367582243182542,0.7870858945991444,0.38042670488357544,COMPLETE
85,0.8096261280613823,2025-12-24 14:48:03.197602,2025-12-24 14:48:03.756027,0 days 00:00:00.558425,0.7230659614807914,,0.2810612929777418,rbf,3186,9.613532038191682e-05,0.9069167203269526,0.8729804937435353,0.4137173295021057,COMPLETE
86,0.7955036748806069,2025-12-24 14:48:03.756229,2025-12-24 14:48:04.478568,0 days 00:00:00.722339,0.09951544313648711,,0.019062415785247463,rbf,3334,0.00017149473678456132,0.8985829977213841,0.8583044094408252,0.34224051237106323,COMPLETE
87,0.6983091070894297,2025-12-24 14:48:04.478773,2025-12-24 14:48:04.819232,0 days 00:00:00.340459,0.27358905043075354,,0.37326844328167263,poly,2802,4.0414832520198494e-05,0.6792074504204999,0.6391679571812665,0.1214919239282608,COMPLETE
88,0.7898193760257732,2025-12-24 14:48:04.819430,2025-12-24 14:48:05.290648,0 days 00:00:00.471218,163.09693607677113,,0.16784067375924988,rbf,3060,1.386968887199347e-05,0.8937248499656875,0.8577468738480025,0.4618876576423645,COMPLETE
