number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_lr,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
23,0.7477876106189698,2025-12-25 08:23:59.874949,2025-12-25 08:25:31.895791,0 days 00:01:32.020842,32,0.282620091387548,2048,5.933668039830469e-05,0.00781471486262457,0.8051254995976591,0.7477876106189698,0.36018967628479004,PRUNED
24,0.8260678115362686,2025-12-25 08:25:31.896344,2025-12-25 08:59:46.929162,0 days 00:34:15.032818,32,0.010045746336802969,2048,0.0005124844342708122,2.770116804583271e-05,0.8918555699886079,0.8231292517001803,0.4925866723060608,COMPLETE
25,0.8089500860580199,2025-12-25 08:59:46.930016,2025-12-25 09:12:55.309699,0 days 00:13:08.379683,32,0.34406648389831757,2048,0.0011501977595906872,5.415575484699025e-07,0.8849937214835107,0.8089500860580199,0.48733144998550415,PRUNED
26,0.7682403433471394,2025-12-25 09:12:55.310353,2025-12-25 09:14:34.878628,0 days 00:01:39.568275,32,0.21115576856868357,512,0.00023459310135601173,6.748063784910209e-08,0.8313171903201836,0.7682403433471394,0.47221970558166504,PRUNED
27,0.7235849056598834,2025-12-25 09:14:34.879185,2025-12-25 09:16:15.814973,0 days 00:01:40.935788,32,0.36856687306927505,256,2.394150004657187e-05,0.00018296956427783561,0.7701318197212821,0.7235849056598834,0.562345564365387,PRUNED
28,0.7719457013569682,2025-12-25 09:16:15.815519,2025-12-25 09:17:54.751954,0 days 00:01:38.936435,64,0.44138061739767187,2048,0.0004726168410789209,4.761916807112085e-05,0.8358973036080874,0.7719457013569682,0.3088423013687134,PRUNED
29,0.7736771898616621,2025-12-25 09:17:54.752498,2025-12-25 09:19:48.446015,0 days 00:01:53.693517,16,0.07841786863661088,1024,0.00019355883324124947,1.0077775437955225e-05,0.8420068951342121,0.7736771898616621,0.38899070024490356,PRUNED
30,0.7704843820728384,2025-12-25 09:19:48.446619,2025-12-25 09:21:19.428878,0 days 00:01:30.982259,64,0.14384117339876226,1024,0.0017467810611423032,4.8595073713099164e-08,0.8359464000259629,0.7704843820728384,0.5479758381843567,PRUNED
31,0.8295847750860054,2025-12-25 09:21:19.429425,2025-12-25 09:54:56.569545,0 days 00:33:37.140120,32,0.002173300426568825,2048,0.0006031226662915663,2.092772386677213e-05,0.8885744314177132,0.8293515358356774,0.29018107056617737,COMPLETE
32,0.8295209322394655,2025-12-25 09:54:56.570296,2025-12-25 10:27:25.847011,0 days 00:32:29.276715,32,0.0452580165793013,2048,0.0009070524616817175,3.4672741364337127e-06,0.8953755335074731,0.8295209322394655,0.3223262429237366,COMPLETE
33,0.7713884992982427,2025-12-25 10:27:25.847938,2025-12-25 10:28:57.580113,0 days 00:01:31.732175,32,0.03761303860548687,2048,0.000887033996770797,3.896738903144868e-06,0.8423064664975197,0.7713884992982427,0.21412675082683563,PRUNED
34,0.8080985915487965,2025-12-25 10:28:57.580681,2025-12-25 10:41:29.985433,0 days 00:12:32.404752,32,0.04333951803515446,2048,0.00026846665119652826,7.621084223661021e-07,0.8750454557936687,0.8080985915487965,0.3172784149646759,PRUNED
35,0.7740805604198157,2025-12-25 10:41:29.986017,2025-12-25 10:43:05.584722,0 days 00:01:35.598705,32,0.10129766152542777,512,0.002979541873542807,2.5534538352480785e-05,0.8415650273733334,0.7740805604198157,0.464936226606369,PRUNED
36,0.7722602739721027,2025-12-25 10:43:05.585282,2025-12-25 10:44:37.453042,0 days 00:01:31.867760,32,0.1049392496022328,2048,0.00016080472015187985,0.002111049278348759,0.8373452318640744,0.7722602739721027,0.44389814138412476,PRUNED
37,0.755905511810524,2025-12-25 10:44:37.453611,2025-12-25 10:46:09.167359,0 days 00:01:31.713748,16,0.04557054737408792,512,8.671163086453325e-05,0.0003922460551075279,0.8166589970850042,0.755905511810524,0.4746018052101135,PRUNED
38,0.7896808045469424,2025-12-25 10:46:09.167934,2025-12-25 10:49:17.557244,0 days 00:03:08.389310,32,0.01881694191501255,2048,0.0015323837444100332,1.2254704380765504e-07,0.8546704423753679,0.7896808045469424,0.46957606077194214,PRUNED
39,0.7748825288333316,2025-12-25 10:49:17.557809,2025-12-25 10:50:46.793112,0 days 00:01:29.235303,32,0.1763192569081191,256,0.0007947450919787695,0.0016084235733774311,0.8426792664163026,0.7748825288333316,0.3070514500141144,PRUNED
40,0.8331877729252646,2025-12-25 10:50:46.793692,2025-12-25 11:22:54.070052,0 days 00:32:07.276360,32,0.06660440872607762,1024,0.0005597173946186976,3.7905722588960598e-06,0.8941331444924221,0.8331877729252646,0.2962961494922638,COMPLETE
41,0.8290848307558728,2025-12-25 11:22:54.070822,2025-12-25 11:54:41.619128,0 days 00:31:47.548306,32,0.06947700700017423,1024,0.0005894118554839996,3.708292333928283e-06,0.8884346314481696,0.8200085506621765,0.30263862013816833,COMPLETE
42,0.8053691275162785,2025-12-25 11:54:41.619880,2025-12-25 12:01:02.912813,0 days 00:06:21.292933,32,0.07006413887214108,1024,0.0006270078071595353,3.764791098997723e-06,0.8773762874287374,0.8053691275162785,0.39712125062942505,PRUNED
43,0.8289755679377768,2025-12-25 12:01:02.913379,2025-12-25 12:32:35.744018,0 days 00:31:32.830639,32,0.12440891698081133,1024,0.0008762766878019914,1.6439431341166615e-05,0.8903726917402349,0.8247422680407375,0.23082782328128815,COMPLETE
44,0.792602377806634,2025-12-25 12:32:35.744779,2025-12-25 12:35:57.180574,0 days 00:03:21.435795,32,0.1261515741620462,1024,0.0010312885805302463,9.075500004089107e-07,0.8580555987807446,0.792602377806634,0.286320298910141,PRUNED
45,0.8301075268812205,2025-12-25 12:35:57.181165,2025-12-25 13:08:25.712735,0 days 00:32:28.531570,32,0.06876771810634515,1024,0.0015144906714069208,2.1090492781010285e-05,0.8925986733981461,0.8236279849178075,0.3857119679450989,COMPLETE
46,0.7658662092619357,2025-12-25 13:08:25.713503,2025-12-25 13:10:11.813153,0 days 00:01:46.099650,16,0.06186485179025211,1024,0.0020628224469917884,4.604323903057784e-06,0.8356043893861866,0.7658662092619357,0.6365677118301392,PRUNED
47,0.793997271486542,2025-12-25 13:10:11.813775,2025-12-25 13:13:23.210530,0 days 00:03:11.396755,32,0.08500418210522526,1024,0.0013449767068667191,2.543867999491142e-06,0.8630584405479826,0.793997271486542,0.5126262307167053,PRUNED
48,0.7763819095472387,2025-12-25 13:13:23.211128,2025-12-25 13:15:05.806796,0 days 00:01:42.595668,32,0.05328668429334679,1024,0.0005611451230337055,1.1316871189165798e-06,0.8452272872897697,0.7763819095472387,0.32402151823043823,PRUNED
49,0.763470319634206,2025-12-25 13:15:05.807373,2025-12-25 13:16:35.376239,0 days 00:01:29.568866,64,0.0014081590435202351,1024,0.0003960661267810111,6.531291531461908e-05,0.8313862581622794,0.763470319634206,0.5943486094474792,PRUNED
