number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden,params_huber_delta,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
13,0.2587644760145714,2025-12-21 07:25:20.347379,2025-12-21 07:25:43.517336,0 days 00:00:23.169957,16,0.32193034229713735,256,,mse,0.002834178494126639,3.269297360431539e-07,1.112692952156067,-0.7271687984466553,1.4729033708572388,0.2587644760145714,PRUNED
14,0.5073123790882463,2025-12-21 07:25:43.517516,2025-12-21 07:46:34.777385,0 days 00:20:51.259869,16,0.10718758141325799,2048,1.574120000812498,huber,0.0009687826683291231,1.0042899088355848e-08,0.7790632247924805,-0.18794000148773193,1.2215298414230347,0.48286556955505455,COMPLETE
15,0.27822501346969797,2025-12-21 07:46:34.777623,2025-12-21 07:46:59.164700,0 days 00:00:24.387077,64,0.09821985576161435,256,,mse,0.0011270438204579818,1.3772697117367942e-08,0.8147674798965454,-0.07702827453613281,1.1631089448928833,0.27822501346969797,PRUNED
16,0.3086780556906498,2025-12-21 07:46:59.164864,2025-12-21 07:47:50.820052,0 days 00:00:51.655188,16,0.09950158818662555,1024,,mse,0.0009540893794152546,1.4943495023951082e-09,0.7914421558380127,-0.03159976005554199,1.1383150815963745,0.3086780556906498,PRUNED
17,0.450064589081249,2025-12-21 07:47:50.820220,2025-12-21 08:03:29.061188,0 days 00:15:38.240968,16,0.06551656428661931,512,1.4247712897780507,huber,0.0002473095947393167,1.179347139039204e-07,0.7857210040092468,-0.09568250179290771,1.1731382608413696,0.450064589081249,PRUNED
18,0.3952094876905303,2025-12-21 08:03:29.061366,2025-12-21 08:07:34.538929,0 days 00:04:05.477563,16,0.006049117145192184,256,4.873681370395251,huber,0.0026407742282809877,9.785540000737067e-05,0.7736906409263611,-0.03360104560852051,1.139418601989746,0.3952094876905303,PRUNED
19,0.0760863393861522,2025-12-21 08:07:34.539098,2025-12-21 08:07:56.822234,0 days 00:00:22.283136,64,0.15056075238488217,2048,,mse,6.739927881369522e-05,5.090884052417173e-09,0.8900924921035767,-0.14901626110076904,1.2013510465621948,0.0760863393861522,PRUNED
20,0.4085713545068938,2025-12-21 08:07:56.822407,2025-12-21 08:14:13.092133,0 days 00:06:16.269726,16,0.28378882734890387,2048,,mse,0.0008240129375489659,2.0832502413513685e-10,0.7845868468284607,-0.0577542781829834,1.152654767036438,0.4085713545068938,PRUNED
21,0.3762409049800412,2025-12-21 08:14:13.092312,2025-12-21 08:21:28.488694,0 days 00:07:15.396382,16,0.40249350340812295,2048,1.8704732739181056,huber,0.00031581291428195646,2.4589176124293142e-06,0.7934077978134155,-0.07917630672454834,1.1642682552337646,0.3762409049800412,PRUNED
22,0.4927541260987786,2025-12-21 08:21:28.488875,2025-12-21 08:36:09.155207,0 days 00:14:40.666332,16,0.2698885830140484,2048,1.3488413512518689,huber,0.0016824416430458074,2.1008459529687695e-06,0.8021851181983948,-0.12675249576568604,1.1896551847457886,0.45509145204924556,COMPLETE
