number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_mae,user_attrs_r2,user_attrs_rmse,user_attrs_spearman_rho,state
0,0.4352385975252221,2025-12-22 04:23:57.344710,2025-12-22 04:23:59.298559,0 days 00:00:01.953849,0.022895539676997697,0.5972420879915243,73,1.250548441931305,0.020247289585758648,0.0328178638317777,13,245.01854355427093,360,0.8149911685984534,0.7278813719749451,0.12378710508346558,1.049087405204773,0.4352385975252221,COMPLETE
1,0.3642050405894077,2025-12-22 04:23:59.298840,2025-12-22 04:23:59.695683,0 days 00:00:00.396843,0.0021609351885180424,0.5657988937662353,28,7.941335394057662,2.9738089192169994e-08,0.07354393626773433,6,0.0010137461499488685,1436,0.5877556942980304,0.797673225402832,-0.013530135154724121,1.1283015012741089,0.3642050405894077,COMPLETE
2,0.3976481637459306,2025-12-22 04:23:59.695837,2025-12-22 04:24:00.236724,0 days 00:00:00.540887,0.035903030896291856,0.8353428265758134,82,4.470952632649778,4.869327121550633e-08,0.03263613982674356,12,1.1394973944399835,1470,0.5966219978444162,0.7844675183296204,0.016748249530792236,1.1113201379776,0.3976481637459306,COMPLETE
3,0.39820028497781684,2025-12-22 04:24:00.236869,2025-12-22 04:24:02.130367,0 days 00:00:01.893498,1.7927345107335737e-05,0.5280361592556728,37,1.8461039753727349,8.106707862731737e-07,0.0035986874291033203,13,0.014368553810069209,462,0.7107822624747808,0.7555561661720276,0.10843527317047119,1.0582377910614014,0.39820028497781684,COMPLETE
4,0.37402311294505214,2025-12-22 04:24:02.130534,2025-12-22 04:24:03.134627,0 days 00:00:01.004093,0.0026844098875165676,0.7401712008243968,189,3.126927946642406,7.373832172630366e-05,0.0032620368559502385,4,35.02530960613045,1450,0.7716997778842132,0.751470148563385,0.09907716512680054,1.0637770891189575,0.37402311294505214,COMPLETE
5,0.37018063514960503,2025-12-22 04:24:03.134949,2025-12-22 04:24:04.499123,0 days 00:00:01.364174,2.9848084172190204e-06,0.8243634716707144,116,5.881468964323078,0.6365191915804456,0.0015499487930512588,15,233.04633367496544,743,0.6500940485742397,0.7678076028823853,0.0845862627029419,1.0722981691360474,0.37018063514960503,COMPLETE
6,0.4587867473888326,2025-12-22 04:24:04.499289,2025-12-22 04:24:06.350702,0 days 00:00:01.851413,0.07537748479560193,0.6242673365553892,189,0.6339889113485153,5.197635390837994,0.005353107704277125,14,0.03777713264286053,243,0.5144142142591955,0.725343644618988,0.13650566339492798,1.0414456129074097,0.4587867473888326,COMPLETE
7,0.4294688460203021,2025-12-22 04:24:06.350852,2025-12-22 04:24:06.615049,0 days 00:00:00.264197,5.52863316994659e-10,0.9326603056882061,145,3.674451178284086,13.642101653243053,0.1275231067204661,15,0.0028170783752173314,1030,0.7742517206955357,0.7350767850875854,0.09614843130111694,1.065504789352417,0.4294688460203021,COMPLETE
8,0.3524781448098645,2025-12-22 04:24:06.615187,2025-12-22 04:24:06.731662,0 days 00:00:00.116475,2.0125052807814014e-05,0.7756679812065777,36,6.433059367616715,1.0603094831585438,0.1822507193953234,14,0.0030586966432653642,591,0.90959100368297,0.7974922060966492,-0.04800403118133545,1.1473299264907837,0.3524781448098645,COMPLETE
9,0.3743407896295511,2025-12-22 04:24:06.731803,2025-12-22 04:24:07.925073,0 days 00:00:01.193270,4.9418736214907355,0.46703721139735965,125,9.24587027264944,0.00030721009548342106,0.004783630270514133,16,0.08602373819873681,1373,0.6149537237332016,0.748211681842804,0.09819138050079346,1.0642999410629272,0.3743407896295511,COMPLETE
10,0.40861695727600855,2025-12-22 04:24:07.925215,2025-12-22 04:24:08.478950,0 days 00:00:00.553735,4.591243562024744,0.3632759122086536,182,0.11786372925808386,1.1776751322618616e-10,0.010007838566457261,9,1.274930876009446,125,0.5169404612789879,0.744135320186615,0.12017595767974854,1.051247000694275,0.40861695727600855,COMPLETE
11,0.40997714369247334,2025-12-22 04:24:08.479081,2025-12-22 04:24:08.864068,0 days 00:00:00.384987,0.09446718219306748,0.6294294794805432,78,0.043587110456166145,0.009013948017818803,0.019075565928574807,10,12.447676242415342,76,0.892698524041699,0.7409842014312744,0.10810834169387817,1.05843186378479,0.40997714369247334,COMPLETE
12,0.4446603780039089,2025-12-22 04:24:08.864206,2025-12-22 04:24:09.329897,0 days 00:00:00.465691,41.029550494900704,0.6697673314500366,69,1.802454490804881,54.08765043955854,0.04578989191254762,12,0.09334935765557192,1969,0.8345916545924954,0.726462721824646,0.1474684476852417,1.0348135232925415,0.4446603780039089,COMPLETE
13,0.413695757744244,2025-12-22 04:24:09.330025,2025-12-22 04:24:10.819800,0 days 00:00:01.489775,72.3234967269956,0.7218581234669571,153,2.0940045596642527,48.916977107240484,0.009651031671795617,11,0.10375842360656946,1960,0.9685273388622854,0.7434555292129517,0.12407487630844116,1.048915147781372,0.413695757744244,COMPLETE
14,0.3625829093204497,2025-12-22 04:24:10.819974,2025-12-22 04:24:11.076015,0 days 00:00:00.256041,97.1115232294373,0.44227108789007585,59,3.0731094493597917,92.83863406792865,0.05818255792009455,7,0.07452156767451182,1985,0.8562908702999037,0.7637180685997009,0.0888671875,1.0697879791259766,0.3625829093204497,COMPLETE
15,0.25785079327911475,2025-12-22 04:24:11.076147,2025-12-22 04:24:11.974726,0 days 00:00:00.898579,1.4974247307669717,0.6708268223544765,98,1.1675321488285768,0.6972705081990266,0.0012046814262638098,2,0.025179241380608793,1007,0.5065384464682536,0.8059138655662537,0.031521379947662354,1.1029399633407593,0.25785079327911475,COMPLETE
