number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
11,0.7248645394335848,2025-12-24 07:57:15.852615,2025-12-24 07:57:16.571392,0 days 00:00:00.718777,7.650385642457292,0.5211715473737131,28,4.010322866714978,43.75929071124535,0.025854016607051156,5,187,1085,0.9962586262251074,0.7351049269645882,0.9333322412891991,0.3827151358127594,COMPLETE
12,0.7124463519308374,2025-12-24 07:57:16.571564,2025-12-24 07:57:17.710157,0 days 00:00:01.138593,43.739018758166154,0.5869765836110893,119,4.296972766709962,38.0595721885822,0.019152099113926808,3,180,1023,0.9970703344830312,0.7414840694352434,0.9314090491895923,0.4053971767425537,COMPLETE
13,0.7239488116996904,2025-12-24 07:57:17.710334,2025-12-24 07:57:18.643904,0 days 00:00:00.933570,0.3959666664143388,0.4098719035468445,21,7.517332627520872,0.019490742077828846,0.021003859968321888,4,196,1330,0.7968463129767,0.736165257150041,0.9345981593254853,0.39141321182250977,COMPLETE
14,0.7145260796405731,2025-12-24 07:57:18.644078,2025-12-24 07:57:21.193769,0 days 00:00:02.549691,0.00011025390874698542,0.747811892797767,107,4.9703948855800215,0.05965520135721863,0.004873121887854402,10,17,958,0.9154340568582298,0.7301252747949468,0.9325398267642612,0.339506596326828,COMPLETE
15,0.7119777158769571,2025-12-24 07:57:21.194070,2025-12-24 07:57:22.734104,0 days 00:00:01.540034,0.00014371161328824764,0.5774622149708101,167,4.105652932022295,0.0005215843951852297,0.0012250709036821465,7,216,1119,0.6780496234316187,0.7287198321648598,0.9290200320139563,0.3049437701702118,COMPLETE
16,0.7198492462306604,2025-12-24 07:57:22.734287,2025-12-24 07:57:23.421076,0 days 00:00:00.686789,0.15160632860378287,0.4615681578392877,142,5.935156109670199,41.05178744016021,0.028622369309175923,15,118,412,0.9179872484477236,0.7306746490371551,0.9330757815495391,0.42233359813690186,COMPLETE
17,0.7158671586710934,2025-12-24 07:57:23.421246,2025-12-24 07:57:24.814524,0 days 00:00:01.393278,1.3902024494919034,0.3188474539412283,40,8.062788911502736,0.48699330440236843,0.00820837841113749,11,427,1260,0.7985200829496144,0.738291121595256,0.9330640079487162,0.4033947288990021,COMPLETE
18,0.7221884498475322,2025-12-24 07:57:24.814718,2025-12-24 07:57:25.548050,0 days 00:00:00.733332,1.3930833665732844e-05,0.6098205862091008,89,3.2262017590314405,2.028774904771398e-05,0.03495982615213476,7,241,863,0.8847707268911446,0.7358156827934852,0.9334653341680647,0.3900318741798401,COMPLETE
19,0.7156549520761805,2025-12-24 07:57:25.548239,2025-12-24 07:57:28.103776,0 days 00:00:02.555537,0.0006903085693065176,0.7719378265457523,199,0.4698933146430351,0.008251342107338118,0.009184119667132735,14,121,1468,0.9518710086915625,0.7271225833806755,0.9324026387198922,0.44295549392700195,COMPLETE
20,0.7038674033144382,2025-12-24 07:57:28.103961,2025-12-24 07:57:29.577349,0 days 00:00:01.473388,49.180584795830036,0.5091893862091308,128,9.444874735931242,5.467306709745894,0.0030370636490502246,4,52,1103,0.6107083013802317,0.7274966262276436,0.9285301478405936,0.3245946764945984,COMPLETE
21,0.7153024911027137,2025-12-24 07:57:29.577677,2025-12-24 07:57:30.047650,0 days 00:00:00.469973,5.043890786993267,0.5054429023508886,43,1.7908777933167295,1.3383975986516985,0.09606947396864736,6,393,1140,0.99964492486094,0.7259795189921168,0.931623021587153,0.37673696875572205,COMPLETE
