number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_l1_ratio,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
37,0.897435897435399,2025-12-20 12:46:21.522734,2025-12-20 12:46:22.508458,0 days 00:00:00.985724,6.664870713611112,balanced,0.13887380688105527,1893,5.766192229498179e-06,0.9449916451513565,0.9568095838587641,0.3562438488006592,COMPLETE
38,0.8903803131986052,2025-12-20 12:46:22.508742,2025-12-20 12:46:23.486097,0 days 00:00:00.977355,2.0326323447387145,,0.361375281607733,1809,6.066862268660289e-06,0.938580362574667,0.9510978414064238,0.46762922406196594,COMPLETE
39,0.8461538461533477,2025-12-20 12:46:23.486332,2025-12-20 12:46:23.993226,0 days 00:00:00.506894,0.0963019959145987,balanced,0.2528699787632343,879,3.490906799971149e-05,0.9073657937584837,0.918403679252281,0.4033147990703583,COMPLETE
40,0.8731182795693937,2025-12-20 12:46:23.993454,2025-12-20 12:46:24.206595,0 days 00:00:00.213141,0.572370790792827,,0.50718880070403,2499,0.0005744058458126175,0.9226032586598565,0.935316371189081,0.3894488513469696,COMPLETE
41,0.9028077753774708,2025-12-20 12:46:24.206850,2025-12-20 12:46:25.206819,0 days 00:00:00.999969,6.172525090467283,balanced,0.13007071511082716,1934,1.0972808200429532e-06,0.9455462327128894,0.9569950300422817,0.37227538228034973,COMPLETE
42,0.8995633187767932,2025-12-20 12:46:25.207357,2025-12-20 12:46:26.198091,0 days 00:00:00.990734,5.5397515137452285,balanced,0.12936297934771138,1946,1.7675693165123898e-06,0.9447088760196424,0.9562532453082117,0.3897668123245239,COMPLETE
43,0.9039301310038673,2025-12-20 12:46:26.198347,2025-12-20 12:46:26.919319,0 days 00:00:00.720972,6.631712893016627,balanced,0.023358266455945367,1449,1.7861712060167385e-06,0.9453043066755876,0.9572546546992062,0.38662898540496826,COMPLETE
44,0.893905191873089,2025-12-20 12:46:26.919596,2025-12-20 12:46:27.668889,0 days 00:00:00.749293,3.2602575023551403,balanced,0.049532590319181835,1428,1.7353015102947896e-06,0.94340875551237,0.9551405682071062,0.4645829498767853,COMPLETE
45,0.7045009784730902,2025-12-20 12:46:27.669139,2025-12-20 12:46:27.716776,0 days 00:00:00.047637,0.00032906953322653284,balanced,0.05750285925151262,1646,2.8700020148968346e-06,0.7411371492843666,0.756351531785476,0.4995100498199463,COMPLETE
46,0.8965517241374311,2025-12-20 12:46:27.716977,2025-12-20 12:46:28.343789,0 days 00:00:00.626812,24.670206057471095,,0.0015378447882706814,1236,1.619786978086969e-06,0.9445340916063846,0.956364513018322,0.5025022625923157,COMPLETE
47,0.8947368421047636,2025-12-20 12:46:28.344023,2025-12-20 12:46:28.787326,0 days 00:00:00.443303,1.6223474455507012,balanced,0.06862719210562881,825,0.00021473136433029823,0.9396222355134094,0.951542912246866,0.4183836877346039,COMPLETE
48,0.8129032258059529,2025-12-20 12:46:28.787575,2025-12-20 12:46:29.063341,0 days 00:00:00.275766,0.019354946079067275,balanced,0.12287988765775705,2311,3.4848817760404605e-06,0.8860513897026057,0.8917921519175135,0.4160439670085907,COMPLETE
49,0.8884026258200695,2025-12-20 12:46:29.063584,2025-12-20 12:46:30.089199,0 days 00:00:01.025615,103.8012173878021,balanced,0.5694108157944529,1997,1.4105430252706645e-06,0.9320638596491772,0.9427342185297828,0.31007787585258484,COMPLETE
50,0.8947368421047636,2025-12-20 12:46:30.089421,2025-12-20 12:46:31.478091,0 days 00:00:01.388670,14.44542434588549,balanced,0.2699744027495944,2629,2.1667525004002517e-06,0.9430159537833983,0.9547140419850159,0.39820361137390137,COMPLETE
