number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
0,0.45020463847158504,2025-12-24 07:56:36.318355,2025-12-24 08:08:43.835767,0 days 00:12:07.517412,32,128,0.44381476182097246,1536,2,0.0009481424255253413,8,1.2841493249929979e-08,0.6225298253798986,0.414492753622728,0.15973439812660217,COMPLETE
1,0.40256410256366887,2025-12-24 08:08:43.836065,2025-12-24 08:15:41.169477,0 days 00:06:57.333412,16,128,0.1809492656405549,1536,3,0.0006508715614796108,8,6.395036716197652e-08,0.5774751732871235,0.3538135593216465,0.4856484830379486,COMPLETE
2,0.41239892183243904,2025-12-24 08:15:41.169727,2025-12-24 08:25:39.323381,0 days 00:09:58.153654,32,256,0.07848345444649862,1536,3,0.0006043907398020199,8,5.275639809757674e-07,0.6353014196214343,0.40320427236270795,0.501885712146759,COMPLETE
3,0.3868698710429639,2025-12-24 08:25:39.323626,2025-12-24 08:55:56.110855,0 days 00:30:16.787229,64,128,0.07229373896315111,256,4,0.002355305395255074,8,7.831831693728423e-07,0.4981192515329245,0.3387978142073688,0.5014969110488892,COMPLETE
4,0.37431192660515306,2025-12-24 08:55:56.111123,2025-12-24 09:06:14.226778,0 days 00:10:18.115655,64,384,0.055347373412230005,512,3,0.0009808125899872606,8,6.011846407969032e-05,0.4432567981871501,0.3387978142073688,0.4858311712741852,COMPLETE
5,0.345146379044375,2025-12-24 09:06:14.227067,2025-12-24 09:06:58.433512,0 days 00:00:44.206445,64,128,0.20668359460212754,1536,4,0.001358020571520525,4,0.0005501248478691608,0.5466521427619301,0.345146379044375,0.5092802047729492,PRUNED
6,0.5099457504515849,2025-12-24 09:06:58.433688,2025-12-24 09:20:19.336808,0 days 00:13:20.903120,16,128,0.1386998896818999,1536,2,0.00012540843170646246,8,3.430630856011716e-05,0.7243318448413757,0.46666666666618173,0.4155048429965973,COMPLETE
7,0.5009708737859084,2025-12-24 09:20:19.337083,2025-12-24 09:52:46.061846,0 days 00:32:26.724763,32,384,0.48188706276899995,1024,2,1.720114576692748e-05,4,9.107277286721607e-07,0.7332003132498001,0.4813008130076487,0.45277461409568787,COMPLETE
8,0.5172981878084129,2025-12-24 09:52:46.062120,2025-12-24 10:09:26.317667,0 days 00:16:40.255547,32,384,0.06032233790403663,1536,1,7.65450931444106e-05,8,4.261474606404097e-08,0.7545154625433218,0.4685314685309773,0.3877178430557251,COMPLETE
9,0.4818481848179984,2025-12-24 10:09:26.317919,2025-12-24 10:26:57.317569,0 days 00:17:30.999650,32,384,0.07530725743789779,512,2,0.00028477574608984265,4,0.001084703884482195,0.7099315182617969,0.4436274509799691,0.3753303587436676,COMPLETE
