number,value,datetime_start,datetime_complete,duration,params_C,params_class_weight,params_gamma,params_kernel,params_max_iter,params_tol,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
101,0.8571428571423575,2025-12-16 22:45:34.170999,2025-12-16 22:45:34.721867,0 days 00:00:00.550868,0.10205016888547702,,,linear,3361,0.00028535530606147087,0.9008394578949057,0.9997486429712794,0.5982460379600525,COMPLETE
102,0.8571428571423575,2025-12-16 22:45:34.721983,2025-12-16 22:45:35.207484,0 days 00:00:00.485501,0.0915724731264295,,,linear,3723,0.00043044128901289293,0.9002587378019904,0.9997426582801194,0.5922802686691284,COMPLETE
103,0.8571428571423575,2025-12-16 22:45:35.207613,2025-12-16 22:45:35.801301,0 days 00:00:00.593688,0.11962811479711792,,,linear,3584,0.0003088805117406652,0.898979425344336,0.9997426582801194,0.604041576385498,COMPLETE
104,0.8124999999995018,2025-12-16 22:45:35.801426,2025-12-16 22:45:36.553603,0 days 00:00:00.752177,0.16625762742873337,,,linear,3295,0.00021445952031466032,0.8561192763205148,0.9996229644569191,0.6729475855827332,COMPLETE
105,0.8333333333328348,2025-12-16 22:45:36.553724,2025-12-16 22:45:37.005449,0 days 00:00:00.451725,0.0695013205094882,,,linear,3918,0.0021830795837390776,0.8908240934989251,0.9996947807508394,0.5830017328262329,COMPLETE
106,0.8333333333328348,2025-12-16 22:45:37.005567,2025-12-16 22:45:37.431276,0 days 00:00:00.425709,0.05782364844987743,,,linear,3102,0.0006097191434463286,0.8812916420562134,0.9996648572950393,0.5815606117248535,COMPLETE
107,0.0034472270100340723,2025-12-16 22:45:37.431394,2025-12-16 22:45:37.674243,0 days 00:00:00.242849,0.21678397725825968,,8.78818236674862,sigmoid,3526,0.0011497114407510343,0.0017265894779605931,0.5,0.4885488748550415,COMPLETE
108,0.49122807017502,2025-12-16 22:45:37.674359,2025-12-16 22:45:43.182123,0 days 00:00:05.507764,1.3406527211035955,,,linear,3811,0.0001137219160498573,0.313988085258043,0.9973278353970543,0.6437926888465881,COMPLETE
109,0.0034472270100340723,2025-12-16 22:45:43.182296,2025-12-16 22:45:43.427329,0 days 00:00:00.245033,0.012394911449883831,,1.2589491437296057e-05,poly,3670,6.097329433378561e-05,0.0017265894779605931,0.5,0.48854681849479675,COMPLETE
110,0.6923076923072397,2025-12-16 22:45:43.427474,2025-12-16 22:45:43.690461,0 days 00:00:00.262987,0.045146571361126445,balanced,0.002981358565338649,rbf,4127,0.0009370233748678302,0.753107106959771,0.9987611689298774,0.6302711963653564,COMPLETE
111,0.8571428571423575,2025-12-16 22:45:43.690601,2025-12-16 22:45:44.162323,0 days 00:00:00.471722,0.07735188577727811,,,linear,3439,0.00016377438828616033,0.8981883444272493,0.9997187195154793,0.5871797204017639,COMPLETE
112,0.8205128205123287,2025-12-16 22:45:44.162447,2025-12-16 22:45:44.493878,0 days 00:00:00.331431,0.03218195439548974,,,linear,4055,0.00014750675900827745,0.8884812083341496,0.9996648572950393,0.528261125087738,COMPLETE
113,0.8571428571423575,2025-12-16 22:45:44.494003,2025-12-16 22:45:45.126195,0 days 00:00:00.632192,0.1205580088816232,,,linear,3938,0.00022473289513542434,0.9026208819269691,0.9997486429712794,0.6037254333496094,COMPLETE
