number,value,datetime_start,datetime_complete,duration,params_batch_size,params_channels,params_dropout,params_huber_delta,params_kernel,params_layers,params_loss,params_lr,params_weight_decay,user_attrs_val_mae,user_attrs_val_r2,user_attrs_val_rmse,user_attrs_val_spearman_rho,state
16,0.5647551015933222,2025-12-21 07:58:58.600053,2025-12-21 08:19:06.122483,0 days 00:20:07.522430,16,256,0.24189778475089735,2.3767330030248273,7,3,huber,0.00027667605743325705,0.0005093575293941537,0.9077930450439453,-0.14122021198272705,1.1972686052322388,0.5628104706140146,COMPLETE
17,0.2961494412222102,2025-12-21 08:19:06.122736,2025-12-21 08:19:30.109036,0 days 00:00:23.986300,16,256,0.22135341171445566,2.6213519779883745,7,2,huber,0.00032562948210368496,0.00034753729598575124,0.8194407820701599,0.006598055362701416,1.1170415878295898,0.2961494412222102,PRUNED
18,0.22471678988972746,2025-12-21 08:19:30.109213,2025-12-21 08:19:52.702356,0 days 00:00:22.593143,64,256,0.2852942378625877,,7,3,mse,0.0018879929606342807,1.7670124725785518e-05,0.8799851536750793,-0.13865721225738525,1.1959233283996582,0.22471678988972746,PRUNED
19,0.299330699022144,2025-12-21 08:19:52.702536,2025-12-21 08:20:14.025201,0 days 00:00:21.322665,32,256,0.19649503918787342,2.214842833934641,7,2,huber,0.0002550972522083446,0.0011980433698978558,0.8206511735916138,0.009492099285125732,1.1154133081436157,0.299330699022144,PRUNED
20,0.5752055139600747,2025-12-21 08:20:14.025393,2025-12-21 08:42:21.648219,0 days 00:22:07.622826,16,256,0.2799324299414475,1.1088597895133456,7,3,huber,0.0005917858260036262,1.5537798949880237e-05,0.7634289860725403,0.02220284938812256,1.1082333326339722,0.5476338674587429,COMPLETE
21,0.30329161822704637,2025-12-21 08:42:21.648479,2025-12-21 08:42:47.381860,0 days 00:00:25.733381,16,256,0.28504454188214845,1.2204102414141405,7,3,huber,0.0009105833898496559,1.9844788741614378e-05,0.9576376676559448,-0.38186538219451904,1.3174668550491333,0.30329161822704637,PRUNED
22,0.36412515119512445,2025-12-21 08:42:47.382036,2025-12-21 08:44:04.423465,0 days 00:01:17.041429,16,256,0.3388466452058306,2.18987890766687,7,3,huber,0.0004657982354847203,0.00010820100670053713,0.8880965113639832,-0.1558229923248291,1.2049041986465454,0.36412515119512445,PRUNED
23,0.3008408865756486,2025-12-21 08:44:04.423657,2025-12-21 08:44:28.614538,0 days 00:00:24.190881,16,256,0.25292154876145745,1.1746745351245094,7,3,huber,0.0014089237066327242,0.0018860684711489637,0.8270155191421509,-0.07950341701507568,1.1644446849822998,0.3008408865756486,PRUNED
24,0.5845841838809119,2025-12-21 08:44:28.614715,2025-12-21 09:02:21.489195,0 days 00:17:52.874480,16,256,0.014631913444851541,1.0358411819067106,7,2,huber,0.00025664488773935283,4.242351479606318e-07,0.6803017854690552,0.08193409442901611,1.073850393295288,0.551187839512985,COMPLETE
25,0.5397483862097605,2025-12-21 09:02:21.489466,2025-12-21 09:15:34.800230,0 days 00:13:13.310764,16,256,0.004896179262467448,1.1049976913029544,7,1,huber,0.00020136388965298597,3.234215575044069e-07,0.6832953691482544,0.039928555488586426,1.0981422662734985,0.5172314990824298,COMPLETE
26,0.2903678679422391,2025-12-21 09:15:34.800510,2025-12-21 09:16:00.347894,0 days 00:00:25.547384,16,256,0.14167741604849843,,7,2,mse,6.226975442627306e-05,1.2458707004055613e-06,0.8397057056427002,-0.1508042812347412,1.2022854089736938,0.2903678679422391,PRUNED
27,0.5351255029866305,2025-12-21 09:16:00.348069,2025-12-21 09:33:16.642724,0 days 00:17:16.294655,16,256,0.40609372493754126,0.7205599438163551,7,2,huber,0.0005053111584057652,2.250328296413031e-07,0.6745208501815796,0.04388481378555298,1.0958774089813232,0.5351255029866305,PRUNED
28,0.33890360572770883,2025-12-21 09:33:16.642911,2025-12-21 09:33:58.307800,0 days 00:00:41.664889,64,128,0.3181039616423652,1.0038665015088364,7,2,huber,0.0012475584104264844,9.790194858363913e-09,0.7732361555099487,-0.0009100437164306641,1.1212549209594727,0.33890360572770883,PRUNED
29,0.31997628054705707,2025-12-21 09:33:58.307975,2025-12-21 09:35:01.513156,0 days 00:01:03.205181,32,512,0.009861371830884008,1.8085728441520248,5,4,huber,0.00018650208758433975,5.2128206554330485e-06,0.7909594774246216,-0.04393458366394043,1.1451001167297363,0.31997628054705707,PRUNED
30,0.3204616132437632,2025-12-21 09:35:01.513331,2025-12-21 09:35:22.487325,0 days 00:00:20.973994,32,128,0.17878911011685014,1.351376470703578,5,1,huber,0.0005712619062801384,3.4605243115291454e-08,0.784691572189331,-0.0349888801574707,1.1401833295822144,0.3204616132437632,PRUNED
31,0.30871589546374795,2025-12-21 09:35:22.487506,2025-12-21 09:36:36.675642,0 days 00:01:14.188136,16,256,0.25514256024759085,0.917283366716995,7,3,huber,0.00030164899585026505,0.0003403593427914469,1.0030505657196045,-0.47661399841308594,1.3618847131729126,0.30871589546374795,PRUNED
32,0.2952172093779945,2025-12-21 09:36:36.675826,2025-12-21 09:36:59.726345,0 days 00:00:23.050519,16,256,0.3462997916216485,1.9482569901115943,7,3,huber,0.00032749105920341085,8.691899358819932e-06,0.8802332878112793,-0.05067932605743408,1.1487934589385986,0.2952172093779945,PRUNED
33,0.303489449083062,2025-12-21 09:36:59.726520,2025-12-21 09:37:23.779929,0 days 00:00:24.053409,16,256,0.07500718856591068,2.6782461713471513,7,3,huber,0.00015206157889881763,3.3493633996627503e-07,0.8867607712745667,-0.07215416431427002,1.160474181175232,0.303489449083062,PRUNED
34,0.2695256487926923,2025-12-21 09:37:23.780099,2025-12-21 09:37:46.455425,0 days 00:00:22.675326,16,512,0.3081718535552389,4.775782864722157,3,4,huber,0.00021983658362765987,0.0027790924746084775,0.8022772073745728,0.01270073652267456,1.113605260848999,0.2695256487926923,PRUNED
35,0.3396724616732042,2025-12-21 09:37:46.455601,2025-12-21 09:38:39.058695,0 days 00:00:52.603094,16,256,0.11173396151040557,1.441337264399138,7,2,huber,0.0009251989212137178,4.8469216647539785e-05,0.8031896352767944,-0.1136476993560791,1.182716727256775,0.3396724616732042,PRUNED
36,0.2815731465951558,2025-12-21 09:38:39.058874,2025-12-21 09:39:00.832153,0 days 00:00:21.773279,64,256,0.2094899724872675,0.6066021370727895,3,4,huber,0.0004068981329854769,0.0003362418916628777,0.7861067056655884,0.006737053394317627,1.116963505744934,0.2815731465951558,PRUNED
37,0.6006924731437248,2025-12-21 09:39:00.832323,2025-12-21 09:58:26.068263,0 days 00:19:25.235940,16,512,0.028866776928156566,0.7659280335719921,7,3,huber,0.0007284717477850805,9.091908159947717e-07,0.6748360395431519,0.12813591957092285,1.046480655670166,0.5514620547072333,COMPLETE
38,0.3076109233224434,2025-12-21 09:58:26.068513,2025-12-21 09:58:48.891200,0 days 00:00:22.822687,16,512,0.04112741267663504,,7,4,mse,0.000670902235106915,8.531240287789993e-07,0.8377037644386292,-0.16247105598449707,1.2083643674850464,0.3076109233224434,PRUNED
39,0.5687085873868165,2025-12-21 09:58:48.891374,2025-12-21 10:23:19.200516,0 days 00:24:30.309142,16,512,0.04472150024560581,0.7588072790591894,3,2,huber,0.0029637276078691333,5.202915958957811e-08,0.7227931618690491,0.008031070232391357,1.116235613822937,0.5595086272917859,COMPLETE
40,0.3207498599138677,2025-12-21 10:23:19.200767,2025-12-21 10:23:41.048737,0 days 00:00:21.847970,64,512,0.13699096224618368,0.6264463554991482,7,3,huber,0.0011396082234340086,2.9957918118257684e-06,0.7806423306465149,-0.06060004234313965,1.154204249382019,0.3207498599138677,PRUNED
41,0.5360894972992039,2025-12-21 10:23:41.048912,2025-12-21 10:39:35.444515,0 days 00:15:54.395603,16,512,0.03551486259194862,0.7568148088950695,3,2,huber,0.002699301342810658,5.611155571713747e-08,0.6872139573097229,0.00884944200515747,1.1157751083374023,0.513794668802059,COMPLETE
42,0.3177803699784832,2025-12-21 10:39:35.444760,2025-12-21 10:39:58.577574,0 days 00:00:23.132814,16,512,0.08253095944964102,1.0543088112286085,3,2,huber,0.0018469340940253987,1.0959561701656603e-07,0.8664475083351135,-0.21111655235290527,1.2333883047103882,0.3177803699784832,PRUNED
43,0.26327507535145367,2025-12-21 10:39:58.577746,2025-12-21 10:40:22.592828,0 days 00:00:24.015082,16,512,0.03690929927776651,0.855145121588531,3,2,huber,0.002135229234528227,1.031268135398689e-08,0.9931303262710571,-0.4747051000595093,1.361004114151001,0.26327507535145367,PRUNED
44,0.4715192083629127,2025-12-21 10:40:22.592999,2025-12-21 10:46:50.654499,0 days 00:06:28.061500,16,512,0.10170430575787603,,3,1,mse,0.0007040966547142294,2.6856188998210152e-09,0.760400116443634,-0.048268675804138184,1.147474765777588,0.4715192083629127,PRUNED
45,0.3409257574453627,2025-12-21 10:46:50.654673,2025-12-21 10:47:13.771637,0 days 00:00:23.116964,16,512,0.021446301184622762,0.5187739017624664,3,3,huber,0.0009043733701298486,1.4269972668965876e-06,0.7893561124801636,-0.010214567184448242,1.126454472541809,0.3409257574453627,PRUNED
46,0.4321083179006603,2025-12-21 10:47:13.771805,2025-12-21 10:50:03.670659,0 days 00:02:49.898854,16,128,0.04830684158402216,0.7223185284920186,5,2,huber,0.00013624585492094887,1.330170956552205e-07,0.7292096018791199,0.04623067378997803,1.0945321321487427,0.4321083179006603,PRUNED
47,0.2979646445204215,2025-12-21 10:50:03.670833,2025-12-21 10:50:24.741749,0 days 00:00:21.070916,32,512,0.16032775313870357,0.9901604495520144,5,3,huber,5.219835403226168e-05,6.571409355950065e-07,0.8632004261016846,-0.25041496753692627,1.2532390356063843,0.2979646445204215,PRUNED
48,0.32552064072799697,2025-12-21 10:50:24.741928,2025-12-21 10:50:49.478612,0 days 00:00:24.736684,16,512,0.0976023435329389,0.8257981693895142,3,3,huber,0.0003803872812801701,1.119843027376432e-10,0.771480917930603,-0.04272353649139404,1.1444357633590698,0.32552064072799697,PRUNED
49,0.27058438216834463,2025-12-21 10:50:49.478785,2025-12-21 10:51:13.665020,0 days 00:00:24.186235,16,128,0.06002080107236236,,5,2,mse,0.0005550113111606537,3.323069003414128e-08,0.8863001465797424,-0.10927367210388184,1.1803919076919556,0.27058438216834463,PRUNED
50,0.30395463668856626,2025-12-21 10:51:13.665190,2025-12-21 10:51:37.886088,0 days 00:00:24.220898,16,512,0.26458094029078927,1.2700455174906884,7,3,huber,0.0015381044988078255,3.3576273565566146e-09,0.8032307624816895,-0.0682373046875,1.1583524942398071,0.30395463668856626,PRUNED
51,0.546178022035523,2025-12-21 10:51:37.886261,2025-12-21 11:05:14.596442,0 days 00:13:36.710181,16,256,0.23432924844819938,0.6604365416230058,7,3,huber,0.0002964347772731927,3.742649977704713e-05,0.7069991230964661,0.10632586479187012,1.0594890117645264,0.5378964395788923,COMPLETE
52,0.3213997652140575,2025-12-21 11:05:14.596691,2025-12-21 11:06:27.184423,0 days 00:01:12.587732,16,256,0.44896334736076915,3.5820939205599958,7,3,huber,0.00022970180373542046,5.0693886178212796e-06,0.8676242232322693,-0.052441954612731934,1.149756669998169,0.3213997652140575,PRUNED
53,0.2776835340513541,2025-12-21 11:06:27.184600,2025-12-21 11:06:51.662597,0 days 00:00:24.477997,16,256,0.0011670879614978646,0.9160064919669904,7,3,huber,1.5609718093406524e-05,0.00019801308440896352,0.8178578615188599,-0.1517554521560669,1.202782154083252,0.2776835340513541,PRUNED
54,0.3332626979887339,2025-12-21 11:06:51.662771,2025-12-21 11:07:16.305763,0 days 00:00:24.642992,16,256,0.37532634605346527,1.1138302087041538,7,3,huber,0.00015986285170708583,0.0031971139015399175,0.7824496626853943,0.06553196907043457,1.0834006071090698,0.3332626979887339,PRUNED
55,0.5653426655968097,2025-12-21 11:07:16.305939,2025-12-21 11:31:45.801875,0 days 00:24:29.495936,16,256,0.2878404675106356,1.6025770067732983,7,2,huber,0.0002567413018369342,0.0007748009211542907,0.7245914936065674,-0.044953346252441406,1.1456588506698608,0.531655173887706,COMPLETE
56,0.3071072547611518,2025-12-21 11:31:45.802115,2025-12-21 11:32:06.771742,0 days 00:00:20.969627,64,256,0.29917120047488494,1.6244278123082836,5,2,huber,0.0003747050657844297,0.009741856970968332,0.7864631414413452,-0.02632927894592285,1.1354033946990967,0.3071072547611518,PRUNED
