number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,user_attrs_ap,user_attrs_auc,user_attrs_threshold,state
10,0.4447761194025188,2025-12-16 22:31:30.356568,2025-12-16 22:31:30.817700,0 days 00:00:00.461132,0.0002983505925723447,0.801812292184701,166,7.422600318376738,3.636131040547956e-05,0.016529811002396484,10,128,420,0.5312799121993497,0.41207795600869895,0.7207078112503332,0.21685443818569183,COMPLETE
11,0.4999999999995308,2025-12-16 22:31:30.817825,2025-12-16 22:31:31.297102,0 days 00:00:00.479277,0.00011773582122861098,0.30029625069302884,198,1.6434214205731097,3.766597233551395,0.2965030787210587,7,108,1446,0.5175901941597848,0.4790599536018194,0.7538822980538523,0.20834241807460785,COMPLETE
12,0.49904030710122854,2025-12-16 22:31:31.297220,2025-12-16 22:31:31.729576,0 days 00:00:00.432356,1.2283851250116582e-08,0.7835288237094762,152,2.4960337815599387,0.32247532594867145,0.2997077507068407,6,120,1413,0.7830683355953358,0.49263942760491874,0.7715984070914423,0.2960497736930847,COMPLETE
13,0.5176470588230297,2025-12-16 22:31:31.729701,2025-12-16 22:31:31.906022,0 days 00:00:00.176321,0.01207085013253693,0.9010297585874851,146,6.468276134328337,0.19952087396561038,0.12562345231717775,10,78,98,0.6009759486383899,0.4845021264027981,0.7544154892028793,0.28266677260398865,COMPLETE
14,0.4896661367244825,2025-12-16 22:31:31.906136,2025-12-16 22:31:32.596546,0 days 00:00:00.690410,0.6152419356669874,0.7789352049499434,190,2.9600780140821166,0.0001481574592922836,0.018619916340892828,8,182,602,0.9023757113246598,0.43664547781120533,0.7450638163156491,0.23024728894233704,COMPLETE
15,0.38854296388500276,2025-12-16 22:31:32.596666,2025-12-16 22:31:33.886836,0 days 00:00:01.290170,4.2996786015393465e-05,0.9946561561869612,125,7.37646635775772,0.44763955266132494,0.0010990533621800629,2,196,1398,0.5937673343453184,0.37274604756832835,0.6566915489202878,0.20620045065879822,COMPLETE
16,0.5370370370365404,2025-12-16 22:31:33.886976,2025-12-16 22:31:34.294052,0 days 00:00:00.407076,0.003451738051646329,0.6892528277127977,62,0.30364458395539895,0.03554332912420013,0.1272415400078583,11,44,1490,0.743688170865667,0.5333412704605652,0.7821206011730205,0.26398465037345886,COMPLETE
17,0.5417376490625444,2025-12-16 22:31:34.294187,2025-12-16 22:31:34.624142,0 days 00:00:00.329955,0.005486013451958941,0.7104196293481518,58,0.31615881791610567,0.04585242011172018,0.12376738813789386,15,60,971,0.7206453458456119,0.5026368233521499,0.786661057051453,0.23582695424556732,COMPLETE
18,0.47756410256362364,2025-12-16 22:31:34.624264,2025-12-16 22:31:35.503450,0 days 00:00:00.879186,1.4210242428955746,0.7314533325986183,27,5.975732179298227,0.0004975859118511173,0.02221054896305842,14,164,985,0.6669486065335954,0.42769225471064953,0.7428852306051719,0.2264717072248459,COMPLETE
19,0.3387978142073688,2025-12-16 22:31:35.503748,2025-12-16 22:31:35.633855,0 days 00:00:00.130107,0.0028919529239428096,0.8969699266662405,54,8.330907731808438,4.950561052752253e-06,0.1124866893761397,15,242,691,0.5581939762323485,0.20394736842105263,0.5,0.21897689998149872,COMPLETE
20,0.5538461538456654,2025-12-16 22:31:35.633968,2025-12-16 22:31:36.384713,0 days 00:00:00.750745,0.08059795585817821,0.8614997212760535,92,1.622967458437838,0.02674933840727341,0.031230127579696447,12,65,482,0.7626078831373733,0.5341042241582193,0.7976414622767263,0.2395389974117279,COMPLETE
