number,value,datetime_start,datetime_complete,duration,params_batch_size,params_cls_weight,params_dropout,params_hidden_dim,params_lr,params_n_heads,params_n_layers,params_weight_decay,state
22,0.5882503894742177,2025-12-23 03:55:06.753433,2025-12-23 03:55:42.783254,0 days 00:00:36.029821,16,0.32577230264728907,0.2732021342265022,384,0.000123058160524579,8,3,8.370962982242981e-06,COMPLETE
23,0.5631095960642037,2025-12-23 03:55:42.783521,2025-12-23 03:55:57.269735,0 days 00:00:14.486214,16,0.33632856141706735,0.26430634776149375,384,0.0002296472490255712,8,3,8.308921223226962e-07,COMPLETE
24,0.4771274207844263,2025-12-23 03:55:57.270014,2025-12-23 03:55:58.796245,0 days 00:00:01.526231,16,0.5358983191618522,0.29928655928493025,384,0.00039371400962916154,8,2,1.9449882506491302e-05,PRUNED
25,0.39957481538061734,2025-12-23 03:55:58.796399,2025-12-23 03:55:59.752950,0 days 00:00:00.956551,16,0.21223538668265698,0.2855577384695852,384,0.00010752857634721379,8,3,4.021412591366094e-07,PRUNED
26,0.2615284273049452,2025-12-23 03:55:59.753109,2025-12-23 03:56:00.375909,0 days 00:00:00.622800,64,0.3191665488702895,0.3944012104068646,256,0.0011330766997288675,8,4,7.172456301037282e-06,PRUNED
27,0.32998222031544455,2025-12-23 03:56:00.376069,2025-12-23 03:56:00.994931,0 days 00:00:00.618862,128,0.17834010644761333,0.11417412336891088,512,0.00019394220978936864,4,3,0.00013189267092101754,PRUNED
28,0.26052976511218867,2025-12-23 03:56:00.995085,2025-12-23 03:56:01.649196,0 days 00:00:00.654111,32,0.9164371061129972,0.34119082297169934,384,3.762599081526637e-05,8,2,8.825044253726253e-09,PRUNED
29,0.055700280224013334,2025-12-23 03:56:01.649356,2025-12-23 03:56:02.366261,0 days 00:00:00.716905,32,0.9950193503710955,0.05132107842759327,768,0.0014019487669541008,8,2,0.002769969325806048,PRUNED
30,0.562518923918934,2025-12-23 03:56:02.366412,2025-12-23 03:56:19.098302,0 days 00:00:16.731890,16,0.697875015799267,0.004058638001560345,256,7.486101779634288e-05,8,4,4.356668865486045e-10,COMPLETE
31,0.48135560752738726,2025-12-23 03:56:19.098570,2025-12-23 03:56:21.002131,0 days 00:00:01.903561,16,0.3092931985178966,0.2045291364426635,384,0.00013937223862818337,8,3,4.65348689006789e-06,PRUNED
32,0.46496966730919614,2025-12-23 03:56:21.002294,2025-12-23 03:56:22.863315,0 days 00:00:01.861021,16,0.38038231753256274,0.1703883676221638,384,9.958068318913475e-05,8,3,1.499468648019868e-05,PRUNED
33,0.35422810027472434,2025-12-23 03:56:22.863460,2025-12-23 03:56:23.796385,0 days 00:00:00.932925,16,0.5122344271854924,0.231910299190784,384,2.9560549698601953e-05,8,3,0.0002812582198322794,PRUNED
34,0.341788714136779,2025-12-23 03:56:23.796540,2025-12-23 03:56:25.298638,0 days 00:00:01.502098,64,0.21290175959230867,0.13495803850589475,384,0.00018115797875914644,4,1,1.3663931192478623e-06,PRUNED
35,0.5641253205179325,2025-12-23 03:56:25.298790,2025-12-23 03:56:42.699274,0 days 00:00:17.400484,16,0.29473134164381665,0.21621989483368476,384,7.963241418378209e-05,8,3,3.132747871309133e-05,COMPLETE
36,0.37695736675702085,2025-12-23 03:56:42.699536,2025-12-23 03:56:43.269321,0 days 00:00:00.569785,64,0.8118221071252927,0.262087246487802,256,0.000380095276966206,4,4,8.877039882094504e-06,PRUNED
37,0.11398538991412453,2025-12-23 03:56:43.269474,2025-12-23 03:56:43.903391,0 days 00:00:00.633917,32,0.6516155523662962,0.17923350319284034,512,0.002974711707869493,8,2,1.6772643249131703e-06,PRUNED
38,0.5684732962337716,2025-12-23 03:56:43.903610,2025-12-23 03:57:11.808954,0 days 00:00:27.905344,16,0.22373756140802367,0.09847342428429734,768,4.1858812055854876e-05,4,3,6.364178177040726e-05,COMPLETE
39,0.45508509159415134,2025-12-23 03:57:11.809219,2025-12-23 03:57:13.071145,0 days 00:00:01.261926,32,0.1191291221552527,0.3566955503070976,256,0.00011737212093887593,8,3,5.184591305482848e-07,PRUNED
40,0.37753844254810986,2025-12-23 03:57:13.071290,2025-12-23 03:57:13.693287,0 days 00:00:00.621997,128,0.4300573261037727,0.28624477646876684,384,0.0002065085178806121,8,4,1.0466594982118141e-07,PRUNED
41,0.4947628724987177,2025-12-23 03:57:13.693433,2025-12-23 03:57:15.629965,0 days 00:00:01.936532,32,0.2563368002431092,0.20225701848267602,512,5.4778130694052446e-05,8,3,1.1687746242550568e-09,PRUNED
