number,value,datetime_start,datetime_complete,duration,params_batch_size,params_d_model,params_dropout,params_ff,params_layers,params_lr,params_nhead,params_weight_decay,user_attrs_val_auc,user_attrs_val_f1,user_attrs_val_thr,state
10,0.7231352718073424,2025-12-16 00:41:33.406007,2025-12-16 00:43:38.400682,0 days 00:02:04.994675,16,384,0.12906551315997855,256,1,0.0008379336169502519,4,5.3250759298857215e-05,0.9345231666072015,0.7231352718073424,0.6801178455352783,PRUNED
11,0.7216138328525405,2025-12-16 00:43:38.400855,2025-12-16 00:45:39.483907,0 days 00:02:01.083052,32,384,0.2899194452738475,1536,3,6.485179040216102e-05,4,0.0022912749730206396,0.9352295826565646,0.7216138328525405,0.8080826997756958,PRUNED
12,0.7201426024950542,2025-12-16 00:45:39.484087,2025-12-16 00:47:42.384649,0 days 00:02:02.900562,32,384,0.35945882141193236,256,3,0.00040578825506983263,4,1.103502906336976e-06,0.9360739545938287,0.7201426024950542,0.7675194144248962,PRUNED
13,0.7211594202893689,2025-12-16 00:47:42.384822,2025-12-16 00:49:46.669412,0 days 00:02:04.284590,16,256,0.159250864213452,1024,3,5.3581158102760593e-05,4,0.00011623773152596454,0.9358328517248068,0.7211594202893689,0.7369748950004578,PRUNED
14,0.7369696969692051,2025-12-16 00:49:46.669579,2025-12-16 01:34:09.414430,0 days 00:44:22.744851,32,384,0.32578245549365503,1536,2,0.0003700593703007187,4,1.426467155834585e-07,0.9376541765825127,0.727810650887085,0.7414382100105286,COMPLETE
15,0.7044578976329835,2025-12-16 01:34:09.414704,2025-12-16 01:36:10.170503,0 days 00:02:00.755799,32,384,0.0030835829118806,256,1,0.002712034333460349,4,3.453272322558755e-07,0.9296179261774752,0.7044578976329835,0.7748029828071594,PRUNED
16,0.717026378896392,2025-12-16 01:36:10.170676,2025-12-16 01:38:19.922525,0 days 00:02:09.751849,16,384,0.2689364468467068,1536,2,0.0004535328021471225,4,7.379311948033648e-06,0.9336690686518664,0.717026378896392,0.6431996822357178,PRUNED
17,0.721839080459285,2025-12-16 01:38:19.922696,2025-12-16 01:40:25.566405,0 days 00:02:05.643709,16,384,0.1874942756909206,256,1,5.835695209199467e-05,4,6.996964895606995e-06,0.9356373075720121,0.721839080459285,0.7089511156082153,PRUNED
18,0.7210965435036819,2025-12-16 01:40:25.566579,2025-12-16 01:42:26.930106,0 days 00:02:01.363527,32,384,0.3093855707364566,1024,2,0.00030607103342172897,8,1.566113160801268e-07,0.9355044706409907,0.7210965435036819,0.7550255060195923,PRUNED
19,0.7248084855622695,2025-12-16 01:42:26.930279,2025-12-16 01:44:29.216381,0 days 00:02:02.286102,64,384,0.2307962753273818,256,1,9.512105142833558e-05,4,0.0004193474825536173,0.934904016999032,0.7248084855622695,0.8096446394920349,PRUNED
