path,task,repr,model,run,split,metric,value
raw/permeability_caco2/transformer_smiles/val_predictions.csv,permeabilitycaco2,smiles,transformer,transformer_smiles,val,rmse,1.2275972580211503
raw/permeability_caco2/transformer_smiles/val_predictions.csv,permeabilitycaco2,smiles,transformer,transformer_smiles,val,spearman_rho,0.7411504990776514
raw/permeability_caco2/xgb_smiles/train_predictions.csv,permeabilitycaco2,smiles,xgb,xgb_smiles,train,mae,0.3000922380400098
raw/permeability_caco2/xgb_smiles/train_predictions.csv,permeabilitycaco2,smiles,xgb,xgb_smiles,train,rmse,0.43211113004330687
raw/permeability_caco2/xgb_smiles/train_predictions.csv,permeabilitycaco2,smiles,xgb,xgb_smiles,train,spearman_rho,0.7694912374697562
raw/permeability_caco2/xgb_smiles/val_predictions.csv,permeabilitycaco2,smiles,xgb,xgb_smiles,val,mae,0.7651499138503778
raw/permeability_caco2/xgb_smiles/val_predictions.csv,permeabilitycaco2,smiles,xgb,xgb_smiles,val,rmse,1.2548656444920603
raw/permeability_caco2/xgb_smiles/val_predictions.csv,permeabilitycaco2,smiles,xgb,xgb_smiles,val,spearman_rho,0.6775334093097444
raw/permeability_pampa/cnn_smiles/train_predictions.csv,permeabilitypampa,smiles,cnn,cnn_smiles,train,mae,0.5141589438947793
raw/permeability_pampa/cnn_smiles/train_predictions.csv,permeabilitypampa,smiles,cnn,cnn_smiles,train,rmse,0.7838520940165159
raw/permeability_pampa/cnn_smiles/train_predictions.csv,permeabilitypampa,smiles,cnn,cnn_smiles,train,spearman_rho,0.8396786232632871
raw/permeability_pampa/cnn_smiles/val_predictions.csv,permeabilitypampa,smiles,cnn,cnn_smiles,val,mae,0.749854821478609
raw/permeability_pampa/cnn_smiles/val_predictions.csv,permeabilitypampa,smiles,cnn,cnn_smiles,val,rmse,1.0715569479685587
raw/permeability_pampa/cnn_smiles/val_predictions.csv,permeabilitypampa,smiles,cnn,cnn_smiles,val,spearman_rho,0.5905843769736404
raw/permeability_pampa/enet_gpu_smiles/train_predictions.csv,permeabilitypampa,smiles,enet_gpu,enet_gpu_smiles,train,mae,0.5285820288914133
raw/permeability_pampa/enet_gpu_smiles/train_predictions.csv,permeabilitypampa,smiles,enet_gpu,enet_gpu_smiles,train,rmse,0.8491161050635108
raw/permeability_pampa/enet_gpu_smiles/train_predictions.csv,permeabilitypampa,smiles,enet_gpu,enet_gpu_smiles,train,spearman_rho,0.6973823360381614
raw/permeability_pampa/enet_gpu_smiles/val_predictions.csv,permeabilitypampa,smiles,enet_gpu,enet_gpu_smiles,val,mae,0.7555943385655877
raw/permeability_pampa/enet_gpu_smiles/val_predictions.csv,permeabilitypampa,smiles,enet_gpu,enet_gpu_smiles,val,rmse,1.0814746029856488
raw/permeability_pampa/enet_gpu_smiles/val_predictions.csv,permeabilitypampa,smiles,enet_gpu,enet_gpu_smiles,val,spearman_rho,0.44861723517597646
raw/permeability_pampa/mlp_smiles/train_predictions.csv,permeabilitypampa,smiles,mlp,mlp_smiles,train,mae,0.52436023812819
raw/permeability_pampa/mlp_smiles/train_predictions.csv,permeabilitypampa,smiles,mlp,mlp_smiles,train,rmse,0.8951719801891738
raw/permeability_pampa/mlp_smiles/train_predictions.csv,permeabilitypampa,smiles,mlp,mlp_smiles,train,spearman_rho,0.684145221762442
raw/permeability_pampa/mlp_smiles/val_predictions.csv,permeabilitypampa,smiles,mlp,mlp_smiles,val,mae,0.7258118267836703
raw/permeability_pampa/mlp_smiles/val_predictions.csv,permeabilitypampa,smiles,mlp,mlp_smiles,val,rmse,1.1005155524909784
raw/permeability_pampa/mlp_smiles/val_predictions.csv,permeabilitypampa,smiles,mlp,mlp_smiles,val,spearman_rho,0.4638146836513885
raw/permeability_pampa/svr_smiles/val_predictions.csv,permeabilitypampa,smiles,svr,svr_smiles,val,mae,0.6595669375749982
raw/permeability_pampa/svr_smiles/val_predictions.csv,permeabilitypampa,smiles,svr,svr_smiles,val,rmse,0.9956978920096969
raw/permeability_pampa/svr_smiles/val_predictions.csv,permeabilitypampa,smiles,svr,svr_smiles,val,spearman_rho,0.5436644101270084
raw/permeability_pampa/transformer_smiles/train_predictions.csv,permeabilitypampa,smiles,transformer,transformer_smiles,train,mae,0.7225512618254921
raw/permeability_pampa/transformer_smiles/train_predictions.csv,permeabilitypampa,smiles,transformer,transformer_smiles,train,rmse,0.9266504634422928
raw/permeability_pampa/transformer_smiles/train_predictions.csv,permeabilitypampa,smiles,transformer,transformer_smiles,train,spearman_rho,0.8100479340927721
raw/permeability_pampa/transformer_smiles/val_predictions.csv,permeabilitypampa,smiles,transformer,transformer_smiles,val,mae,0.9876185570568323
raw/permeability_pampa/transformer_smiles/val_predictions.csv,permeabilitypampa,smiles,transformer,transformer_smiles,val,rmse,1.3259593385918294
raw/permeability_pampa/transformer_smiles/val_predictions.csv,permeabilitypampa,smiles,transformer,transformer_smiles,val,spearman_rho,0.5188368932984367
raw/permeability_pampa/xgb_reg_smiles/train_predictions.csv,permeabilitypampa,smiles,xgb_reg,xgb_reg_smiles,train,mae,0.029104864174284862
raw/permeability_pampa/xgb_reg_smiles/train_predictions.csv,permeabilitypampa,smiles,xgb_reg,xgb_reg_smiles,train,rmse,0.06645150695306253
raw/permeability_pampa/xgb_reg_smiles/train_predictions.csv,permeabilitypampa,smiles,xgb_reg,xgb_reg_smiles,train,spearman_rho,0.99813784638744385
raw/permeability_pampa/xgb_reg_smiles/val_predictions.csv,permeabilitypampa,smiles,xgb_reg,xgb_reg_smiles,val,mae,0.7056299460159813
raw/permeability_pampa/xgb_reg_smiles/val_predictions.csv,permeabilitypampa,smiles,xgb_reg,xgb_reg_smiles,val,rmse,1.0155724117118472
raw/permeability_pampa/xgb_reg_smiles/val_predictions.csv,permeabilitypampa,smiles,xgb_reg,xgb_reg_smiles,val,spearman_rho,0.5090771182230298
