task,repr,model,run,trial_index,f1,best_so_far,auc,ap,threshold,kind_hint
halflife,wt,transformer,transformer_wt_raw,10,0.40800265049627626,0.5189061495741709,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,11,0.5221558796701995,0.5221558796701995,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,12,0.4974730691174921,0.5221558796701995,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,13,0.45506264444648503,0.5221558796701995,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,14,0.5515827510015476,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,15,0.4596680545543288,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,16,0.5303680298091804,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,17,0.5276523457781487,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,18,0.4913849492286949,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,19,0.5156683778082556,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,20,0.5286571651968927,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,21,0.5378958341032462,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,22,0.53129777227717,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,23,0.5000301253007479,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,24,0.5005778377616814,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,25,0.4995416231162116,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,26,0.46603952038716373,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,27,0.5508984051566326,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,28,0.22343891836477084,0.5515827510015476,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,29,0.5570575177608682,0.5570575177608682,NA,NA,NA,regression
halflife,wt,transformer,transformer_wt_raw,30,0.5498718863892599,0.5570575177608682,NA,NA,NA,regression
