task,setting,mode,repr,model,run,trial_index,rho,best_so_far
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,52,0.45890510237566107,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,53,0.3400090867993778,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,54,0.47817209975508007,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,55,0.38732027109166645,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,56,0.3935496285901003,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,57,0.3659490248765215,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,58,0.4805925319156269,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,59,0.11099640526950583,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,60,0.394624420258356,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,61,0.4372365346352921,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,62,0.38588280341712744,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,63,0.4242449261686456,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,64,0.33649086481141777,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,65,0.2960432246654115,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,66,0.022819964787689054,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,67,0.580959642112505,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,68,0.48896866002607087,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,69,0.4941076731443008,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,70,0.5683715417885781,0.5882503894742177
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,71,0.5926316705468855,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,72,0.4203547276329628,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,73,0.4891718380076932,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,74,0.5691020228870001,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,75,0.4982081291040269,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,76,0.40867778459306975,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,77,0.4903366368599899,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,78,0.4130204657686712,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,79,0.36398690135530165,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,80,0.3698453101283308,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,81,0.013641879285614077,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,82,0.3685099278077502,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,83,0.022222012649592376,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,84,0.42441051090943316,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,85,0.37631606557072783,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,86,0.38218936523817554,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,87,0.5453962153357886,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,88,0.41620877171806886,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,89,0.47642870692743083,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,90,0.37600396698352545,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,91,0.49087105451523405,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,92,0.5204822598840843,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,93,0.38576003626536554,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,94,-0.023555422641942214,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,95,0.3720003534594623,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,96,0.38452078294097586,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,97,0.4366744860981825,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,98,0.41437470988884867,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,99,0.37084051823863834,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,100,0.005792061565675273,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,101,0.5202081019724001,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,102,0.41168723435506216,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,103,0.21689762446758065,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,104,0.5266093665741772,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,105,0.3999025805122083,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,106,0.5422825293128662,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,107,0.40182946224997085,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,108,0.47915407151479344,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,109,0.4263458308206996,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,110,0.5388104690976038,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,111,0.46738712129085935,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,112,0.44195479725900627,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,113,0.4186895947282021,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,114,0.40101675032348194,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,115,0.31976723219869,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,116,-0.051758767828137944,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,117,0.3481006333720447,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,118,0.5165275692352777,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,119,0.22984399577898665,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,120,0.34960461370831997,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,121,0.5610276835701057,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,122,0.5733856368480745,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,123,0.5227440212918821,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,124,0.5661862203054622,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,125,0.5445767197796202,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,126,0.41196678904790485,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,127,0.39534381591315515,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,128,0.1813034231757327,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,129,0.5377146647227796,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,130,0.3729580034249586,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,131,0.561227056100932,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,132,0.429112062640522,0.5926316705468855
binding_affinity,wt_smiles_pooled,pooled,wt,transformer,wt_smiles_pooled,133,0.4349067714763161,0.5926316705468855
