number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_cv_mean_best_epoch,user_attrs_cv_mean_rmse,user_attrs_cv_mean_score,user_attrs_cv_mean_spearman,user_attrs_cv_std_score,state
16,0.7079557765646415,2025-12-25 17:35:58.161218,2025-12-25 17:36:51.984705,0 days 00:00:53.823487,16,0.46984042610071186,0.00013004401507114174,3.3118719117537486e-06,,,,,,PRUNED
17,0.5984604413782301,2025-12-25 17:36:51.985454,2025-12-25 17:38:00.985071,0 days 00:01:08.999617,64,0.2944537111795133,0.0003504412936325245,2.2606875964565143e-07,,,,,,PRUNED
18,0.6600515674205863,2025-12-25 17:38:00.986141,2025-12-25 17:38:53.002959,0 days 00:00:52.016818,16,0.12374099761469104,0.001431274945436969,0.00019718129844736155,,,,,,PRUNED
19,0.6273183984378103,2025-12-25 17:38:53.003712,2025-12-25 17:42:51.307944,0 days 00:03:58.304232,16,0.4318036942251755,0.0004798483106225087,0.005777871867888493,11.0,0.9937435626983643,0.6273183984378103,0.6273183984378103,0.08699543848513028,COMPLETE
20,0.387681921144388,2025-12-25 17:42:51.309165,2025-12-25 17:43:56.168140,0 days 00:01:04.858975,64,0.4174589781911441,3.08282944333353e-05,0.009692748571399498,,,,,,PRUNED
21,0.6255984214707899,2025-12-25 17:43:56.169108,2025-12-25 17:47:40.808924,0 days 00:03:44.639816,16,0.34384088715520555,0.00041644102401861894,0.0017943732537432707,10.0,1.0402472734451294,0.6255984214707899,0.6255984214707899,0.11120739198801378,COMPLETE
22,0.6537158360157267,2025-12-25 17:47:40.810103,2025-12-25 17:51:33.652009,0 days 00:03:52.841906,16,0.44200963656965686,0.0005037321000199636,0.0013188363862844947,12.8,1.0690053582191468,0.6537158360157267,0.6537158360157267,0.05898441385631871,COMPLETE
23,0.6990592805807455,2025-12-25 17:51:33.653099,2025-12-25 17:52:28.397466,0 days 00:00:54.744367,16,0.43216838975048644,0.00014874637866816692,0.00041386199974804635,,,,,,PRUNED
24,0.6579985298858412,2025-12-25 17:52:28.398598,2025-12-25 17:53:24.141100,0 days 00:00:55.742502,16,0.4555650074121722,0.0007315482582649361,0.0026149402532708445,,,,,,PRUNED
25,0.7175366183934524,2025-12-25 17:53:24.142117,2025-12-25 17:54:18.912848,0 days 00:00:54.770731,16,0.496116360647744,0.0002509413227202047,0.00010808533424205108,,,,,,PRUNED
26,0.6155690875011068,2025-12-25 17:54:18.913659,2025-12-25 17:55:08.216265,0 days 00:00:49.302606,16,0.26035163460242605,0.0016105217481866823,8.593376323826077e-06,,,,,,PRUNED
27,0.7103509870218443,2025-12-25 17:55:08.217174,2025-12-25 17:55:58.999141,0 days 00:00:50.781967,16,0.43777896620315954,0.0006215349103832381,0.009585623915530039,,,,,,PRUNED
28,0.7004279722705756,2025-12-25 17:55:58.999568,2025-12-25 17:56:50.041413,0 days 00:00:51.041845,16,0.36671947538142446,0.00012501013305982005,0.0008381436690364439,,,,,,PRUNED
29,0.40581708603463734,2025-12-25 17:56:50.042393,2025-12-25 17:57:29.100543,0 days 00:00:39.058150,64,0.2673547342188015,0.002847816188959802,0.0009633540879572383,,,,,,PRUNED
30,0.6549189735837234,2025-12-25 17:57:29.101371,2025-12-25 17:58:40.497717,0 days 00:01:11.396346,64,0.40433482491051803,0.00099860464553913,4.2241189518552845e-06,,,,,,PRUNED
31,0.7278018060671785,2025-12-25 17:58:40.498612,2025-12-25 17:59:28.516044,0 days 00:00:48.017432,16,0.3446166286153132,0.00042149803549629527,0.001865464244196537,,,,,,PRUNED
32,0.6887940929070194,2025-12-25 17:59:28.516583,2025-12-25 18:00:17.632832,0 days 00:00:49.116249,16,0.349477918464373,0.00032242531252232257,5.111242818836461e-05,,,,,,PRUNED
33,0.7106931599443017,2025-12-25 18:00:17.633803,2025-12-25 18:01:11.803246,0 days 00:00:54.169443,16,0.39425196677391516,0.0004581229587373774,0.002012013396879433,,,,,,PRUNED
34,0.6792132510782085,2025-12-25 18:01:11.804245,2025-12-25 18:02:03.816922,0 days 00:00:52.012677,16,0.2142558390892608,0.00024015544884848776,0.0002112696408379694,,,,,,PRUNED
35,0.6152269145786493,2025-12-25 18:02:03.817855,2025-12-25 18:03:00.032566,0 days 00:00:56.214711,32,0.2934530838435961,0.0008529796192967412,0.005280318594037582,,,,,,PRUNED
36,0.6785289052332935,2025-12-25 18:03:00.033161,2025-12-25 18:03:51.361572,0 days 00:00:51.328411,16,0.46346421520964265,0.0005723240820117494,0.00011027827147201382,,,,,,PRUNED
37,0.6795554240006659,2025-12-25 18:03:51.362611,2025-12-25 18:04:48.948427,0 days 00:00:57.585816,32,0.3740247416301862,0.0003305049236744251,0.0006530908453366005,,,,,,PRUNED
38,0.6603937403430439,2025-12-25 18:04:48.949457,2025-12-25 18:05:43.567858,0 days 00:00:54.618401,16,0.23133599862765164,0.00019038167754559037,4.049567333797096e-07,,,,,,PRUNED
39,0.7295126706794661,2025-12-25 18:05:43.568703,2025-12-25 18:06:38.500072,0 days 00:00:54.931369,16,0.32908316928027326,0.0014179200844652649,0.001732197359769082,,,,,,PRUNED
40,0.5710866075816272,2025-12-25 18:06:38.501158,2025-12-25 18:07:32.894058,0 days 00:00:54.392900,32,0.4276518081098829,0.00010238451063317882,6.583633276062889e-05,,,,,,PRUNED
41,0.6484176880570302,2025-12-25 18:07:32.895134,2025-12-25 18:08:25.186706,0 days 00:00:52.291572,16,0.3493065824755928,0.0004461199892733818,1.8273042938616346e-05,,,,,,PRUNED
42,0.6246330175321032,2025-12-25 18:08:25.187630,2025-12-25 18:12:30.679097,0 days 00:04:05.491467,16,0.2831036795942783,0.00030451775107014317,7.784973883897019e-08,13.2,1.0375309824943542,0.6246330175321032,0.6246330175321032,0.0586797392586848,COMPLETE
43,0.6922158221315947,2025-12-25 18:12:30.679639,2025-12-25 18:13:20.022609,0 days 00:00:49.342970,16,0.2803610353822937,0.0002498882545305374,3.982820620294809e-08,,,,,,PRUNED
44,0.6836614990701564,2025-12-25 18:13:20.022917,2025-12-25 18:14:01.250035,0 days 00:00:41.227118,16,0.23230292444781409,0.0006568274034885618,1.136651318094676e-08,,,,,,PRUNED
45,0.671717307975987,2025-12-25 18:14:01.250901,2025-12-25 18:18:13.373298,0 days 00:04:12.122397,16,0.3851371373367485,0.0003603824115240561,2.9442493502916885e-09,13.2,1.0338508248329163,0.671717307975987,0.671717307975987,0.09232736032967323,COMPLETE
46,0.6369390627417165,2025-12-25 18:18:13.374432,2025-12-25 18:46:50.847255,0 days 00:28:37.472823,16,0.38797417282073754,0.0004231609915179115,6.32480250296806e-10,14.6,0.9860928654670715,0.6369390627417165,0.6369390627417165,0.0637093841752987,COMPLETE
47,0.7171944454709949,2025-12-25 18:46:50.848454,2025-12-25 18:47:45.102802,0 days 00:00:54.254348,16,0.40722531827831737,0.001038699955502911,1.8722121458604263e-09,,,,,,PRUNED
48,0.6556033194286385,2025-12-25 18:47:45.103882,2025-12-25 18:48:41.392006,0 days 00:00:56.288124,32,0.37794621150200075,0.00017699405800170547,2.323476220647332e-10,,,,,,PRUNED
49,0.7048762202625237,2025-12-25 18:48:41.392943,2025-12-25 18:49:52.248947,0 days 00:01:10.856004,64,0.44456859507501084,0.0005608214262163171,1.065747624590684e-10,,,,,,PRUNED
