number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_early_stopping_rounds,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_subsample,state
44,0.33977771200033297,2025-12-25 19:43:53.393573,2025-12-25 19:43:57.607374,0 days 00:00:04.213801,3.298093420248551e-10,0.9916100716223022,161,4.667885298998512,3.8990436269873956,0.2095410620651267,8,78.15057653765535,1681,0.7378753572014226,PRUNED
45,0.6289138314769507,2025-12-25 19:43:57.607686,2025-12-25 19:44:02.332996,0 days 00:00:04.725310,6.4697593005346494e-09,0.9009480616443267,170,0.361752735792935,0.02294018436056737,0.0907150265379192,11,0.12381170853205563,1991,0.8953894920613639,PRUNED
46,0.5734818180388299,2025-12-25 19:44:02.333519,2025-12-25 19:44:07.126359,0 days 00:00:04.792840,5.961273632044628e-08,0.9347849578069927,139,2.3106503927453828,24.653606193472648,0.06522532560486852,6,0.0018373125973094723,1781,0.9731315058498745,PRUNED
47,0.6319933877790684,2025-12-25 19:44:07.126825,2025-12-25 19:44:11.167425,0 days 00:00:04.040600,3.80983129467036e-07,0.5431340056908993,151,3.4030759452174655,0.1464685618173295,0.1509038820737105,5,0.035624620319963496,956,0.8583529134039176,PRUNED
48,0.5248932630498597,2025-12-25 19:44:11.167710,2025-12-25 19:44:15.289098,0 days 00:00:04.121388,2.0034746735560815e-10,0.8702678325380622,60,4.289225072007856,7.959919019924751e-05,0.05102970609279523,10,0.011924007076588467,1925,0.8029236744210686,PRUNED
49,0.46061514126178177,2025-12-25 19:44:15.289403,2025-12-25 19:44:35.241076,0 days 00:00:19.951673,2.2049558145178144e-09,0.9642278585716786,179,5.419260717049104,1.0618703891786385e-10,0.24108002959786856,7,0.004055163817331692,462,0.8245459192356761,COMPLETE
50,0.6121473582765314,2025-12-25 19:44:35.241698,2025-12-25 19:44:39.320658,0 days 00:00:04.078960,3.2318975121044656e-08,0.3815668886154524,115,1.4365220412522124,4.771936265666088,0.11913425699090574,13,0.005784920819775572,1555,0.9236799613063345,PRUNED
51,0.4620839598387211,2025-12-25 19:44:39.320971,2025-12-25 19:44:59.276337,0 days 00:00:19.955366,1.7460210462848186e-06,0.8432323343713909,166,2.453030778246217,79.38745238815879,0.008453760488952923,2,0.01447549453655334,1900,0.6830807692305176,COMPLETE
52,0.6128317041214465,2025-12-25 19:44:59.276736,2025-12-25 19:45:04.875663,0 days 00:00:05.598927,5.1537059548914334e-05,0.8940680243510163,160,2.1579958517164806,31.899139260870353,0.009633545771858657,2,1.2759821975092227,1999,0.6744107844732201,PRUNED
53,0.26943083292747727,2025-12-25 19:45:04.876103,2025-12-25 19:45:27.817014,0 days 00:00:22.940911,3.6438779015730925e-06,0.9974140163415429,194,0.9712870929209281,0.6291030166808842,0.004968007183431423,4,0.038185734615321175,1683,0.6163520444411711,COMPLETE
54,0.4670658099485047,2025-12-25 19:45:27.817646,2025-12-25 19:45:50.391721,0 days 00:00:22.574075,3.7123813881784223e-09,0.9215380810185232,145,3.045645793933947,5.500768267104973,0.006126034293147252,16,0.018021699717501314,1823,0.7549795182561524,COMPLETE
55,0.21190655662636018,2025-12-25 19:45:50.392143,2025-12-25 19:46:13.663181,0 days 00:00:23.271038,0.00013319592314676765,0.8683135666558146,170,0.37438912741546293,0.00027662864050100646,0.002668824529842772,3,0.09866634845364082,1910,0.8984121341187978,COMPLETE
56,0.5057315793922378,2025-12-25 19:46:13.663805,2025-12-25 19:46:17.098116,0 days 00:00:03.434311,1.0549447295274889e-09,0.7862433249389558,184,9.940242329337611,41.2431242648937,0.2601228125511214,6,0.007409876389691831,1783,0.5264878389084833,PRUNED
57,0.6159112604235643,2025-12-25 19:46:17.098386,2025-12-25 19:46:23.246311,0 days 00:00:06.147925,1.4374355133569452e-08,0.7213769500767864,158,1.1395574796189825,97.47553587256009,0.011368358536120818,7,0.0021594312825444456,1860,0.5782229179530731,PRUNED
58,0.536527142413416,2025-12-25 19:46:23.246786,2025-12-25 19:46:27.689390,0 days 00:00:04.442604,8.38730177743012e-07,0.9752007847533514,193,1.6527811330284452,0.006343888554787513,0.09154070837411112,9,0.356227732698601,1700,0.7337836242887816,PRUNED
59,0.5991447872231451,2025-12-25 19:46:27.689694,2025-12-25 19:46:30.856573,0 days 00:00:03.166879,2.008507154500308e-07,0.7525726568320936,177,2.161136023961368,10.991903799868469,0.1779815854905272,12,0.0018678487872474635,104,0.6935055659616512,PRUNED
60,0.40128860360343904,2025-12-25 19:46:30.856768,2025-12-25 19:46:46.798110,0 days 00:00:15.941342,1.5478246441744402e-05,0.6827529182564143,142,9.253055889752057,0.2715468402807116,0.022538455235567058,8,0.02388291422688329,1204,0.7781600773022818,COMPLETE
61,0.4817009248395695,2025-12-25 19:46:46.798484,2025-12-25 19:47:12.876641,0 days 00:00:26.078157,3.0661589461171987e-09,0.9183976530900784,147,2.951377867632506,5.299705544657454,0.005105815426941443,16,0.01566687151419302,1842,0.7531527085125744,COMPLETE
62,0.41046078377493017,2025-12-25 19:47:12.877210,2025-12-25 19:47:41.453624,0 days 00:00:28.576414,1.1139852373129869e-10,0.9391294034931583,153,2.675391918481651,1.1437727390517286e-05,0.002540258765577139,15,0.0032961006328603095,1939,0.6484622116786367,COMPLETE
63,0.6203595084155122,2025-12-25 19:47:41.454241,2025-12-25 19:47:49.004775,0 days 00:00:07.550534,1.3234590409288012e-09,0.9089607548689675,164,1.8840627001339145,1.6037728955817683,0.0039293775571732715,14,0.05368207832746203,1833,0.8069611244573526,PRUNED
64,0.45395234406602886,2025-12-25 19:47:49.005328,2025-12-25 19:48:10.635301,0 days 00:00:21.629973,4.3605143499689543e-10,0.8224758259795627,123,3.4297132641729853,12.477997026614373,0.007263703781824205,4,0.0055775368622877465,1992,0.97841175812245,COMPLETE
65,0.6419164025303371,2025-12-25 19:48:10.635746,2025-12-25 19:48:16.779806,0 days 00:00:06.144060,3.1419139901175735e-09,0.9498601170545709,133,4.12583454119009,45.676343762440865,0.012196065414099016,5,0.009208503578512684,1631,0.8412217743073092,PRUNED
66,0.6005134789129751,2025-12-25 19:48:16.780103,2025-12-25 19:48:23.138935,0 days 00:00:06.358832,9.227205831465534e-08,0.8809191730208407,148,2.838525763299622,5.714873244630786,0.003268446684078357,10,0.017110477381576793,1760,0.8661959129611152,PRUNED
67,0.6491020339019453,2025-12-25 19:48:23.139220,2025-12-25 19:48:28.909100,0 days 00:00:05.769880,1.2860414713211504e-08,0.9720423332947876,169,1.431693067258832,2.361468079783985,0.0014472089346202334,8,0.0012839089119841822,1944,0.9570397108217705,PRUNED
68,0.4669943989489127,2025-12-25 19:48:28.909271,2025-12-25 19:48:57.924983,0 days 00:00:29.015712,0.001080940033249634,0.9182935767699741,155,0.5666137016598685,0.8490676027573751,0.002116034858999415,12,0.003874550688278057,1857,0.7663705635103236,COMPLETE
69,0.2938957237273007,2025-12-25 19:48:57.925571,2025-12-25 19:49:18.717077,0 days 00:00:20.791506,2.4413583754337897e-10,0.8610659830743136,200,3.1894008091848516,22.22636425870973,0.15028428418921108,2,0.07216123475609694,1918,0.7923069330770712,COMPLETE
70,0.3736291316926599,2025-12-25 19:49:18.717541,2025-12-25 19:49:41.119338,0 days 00:00:22.401797,1.8313671514342993,0.8969329825280167,181,3.8379777901109535,0.0320108242761987,0.017891452916893737,5,0.2265534326246086,1817,0.983331977826779,COMPLETE
71,0.44584649352344996,2025-12-25 19:49:41.119839,2025-12-25 19:50:03.480993,0 days 00:00:22.361154,3.301094949086164e-09,0.9398975733703138,146,3.1106646667684115,4.681736307722266,0.0064804091423082705,16,0.016670332730643313,1787,0.7528194331070815,COMPLETE
72,0.6114630124316164,2025-12-25 19:50:03.482376,2025-12-25 19:50:10.605571,0 days 00:00:07.123195,6.457120409620484e-10,0.9190932481748265,139,2.4311388622513617,51.51044375451684,0.005870040943862028,16,0.031959946717952416,1866,0.9352530993521448,PRUNED
73,0.5170146999772187,2025-12-25 19:50:10.606679,2025-12-25 19:50:35.372971,0 days 00:00:24.766292,1.89196912646036e-09,0.9740406814255486,144,6.078579088234735,12.530164164936085,0.004377920752379938,15,0.013302069033504596,1726,0.7326994558793728,COMPLETE
74,0.5495297134668023,2025-12-25 19:50:35.373649,2025-12-25 19:50:40.935681,0 days 00:00:05.562032,9.90781693444534e-10,0.9804641685042704,189,6.05856983282395,11.653552203835321,0.0010237470250779907,15,0.007774586949558048,1452,0.7278957334748573,PRUNED
75,0.5279728193519776,2025-12-25 19:50:40.935888,2025-12-25 19:50:43.721399,0 days 00:00:02.785511,7.522112472312073e-09,0.9533495937325719,173,7.508614750743474,96.7810138564073,0.19116257548520219,7,0.011697837130628603,1576,0.6604568396556498,PRUNED
76,0.6121473582765314,2025-12-25 19:50:43.721577,2025-12-25 19:50:47.915934,0 days 00:00:04.194357,1.703140217161697e-10,0.981100254971983,86,7.86112162684158,17.56725520937073,0.004509723526099143,15,0.02609360315717043,1723,0.701410658569679,PRUNED
77,0.5248932630498597,2025-12-25 19:50:47.916207,2025-12-25 19:50:52.282905,0 days 00:00:04.366698,1.4009945728318725e-09,0.9986976906507278,129,8.72828715635739,2.504556800177494,0.003601103741905335,14,3.019423633358221,1637,0.7742033273958783,PRUNED
78,0.33977771200033297,2025-12-25 19:50:52.283096,2025-12-25 19:50:54.499635,0 days 00:00:02.216539,4.110444971185343e-08,0.9333784666264044,136,9.574041615357945,1.4175855865336704e-06,0.1376155033576784,9,431.35534500918834,1953,0.7166692123178652,PRUNED
79,0.42510324362466123,2025-12-25 19:50:54.499811,2025-12-25 19:51:09.377168,0 days 00:00:14.877357,5.557833334031376e-10,0.8890934188392472,157,6.316021673791537,42.470810094740905,0.2982857495389352,6,0.005239243136284281,676,0.6194030772894997,COMPLETE
80,0.6579985298858412,2025-12-25 19:51:09.377584,2025-12-25 19:51:13.361703,0 days 00:00:03.984119,3.483426386493014e-07,0.8529875838693866,174,7.065153506731413,0.12781824842843895,0.2319131524641447,15,1.1504173600514274,1996,0.9595578097670971,PRUNED
81,0.5057232178015107,2025-12-25 19:51:13.362077,2025-12-25 19:51:39.761848,0 days 00:00:26.399771,4.228819372072496e-09,0.9216477549811135,142,2.8160937174772656,8.27866444548201,0.006956682922162078,16,0.018779554631590565,1818,0.7443004889835368,COMPLETE
82,0.47855010629874195,2025-12-25 19:51:39.762480,2025-12-25 19:52:03.878626,0 days 00:00:24.116146,7.192639382569293e-06,0.9575063919182114,150,1.642525338329984,11.76279808917758,0.009392954405881771,16,0.013234010824621365,1883,0.7412753365666475,COMPLETE
83,0.460500789423172,2025-12-25 19:52:03.879928,2025-12-25 19:52:27.757471,0 days 00:00:23.877543,1.6688709700087813e-08,0.9585786977051614,150,0.9686518434824938,7.546054267948979,0.007121399176006579,16,0.04276674747785667,1884,0.7884038924650091,COMPLETE
84,0.6384946733057616,2025-12-25 19:52:27.758256,2025-12-25 19:52:34.125568,0 days 00:00:06.367312,8.066774608017159e-06,0.912174439602469,143,1.7666170301581194,0.47542815193226423,0.008394993782504526,15,0.013081878850327631,1722,0.7479472869660315,PRUNED
85,0.4158094255724206,2025-12-25 19:52:34.126448,2025-12-25 19:52:57.806514,0 days 00:00:23.680066,2.089702859769321e-10,0.9753071624981554,120,0.3050221728294493,3.454773594948066,0.004195449938245041,16,0.0028527456170886452,1813,0.7465675309641145,COMPLETE
86,0.6597093944981289,2025-12-25 19:52:57.806912,2025-12-25 19:53:00.963839,0 days 00:00:03.156927,1.6433233919369e-09,0.9524771586344506,162,4.44446502370701,1.0544847856109765,0.10033611300522034,16,0.02223775029850242,1932,0.8160372284535278,PRUNED
87,0.6076991102845835,2025-12-25 19:53:00.964114,2025-12-25 19:53:07.483004,0 days 00:00:06.518890,7.41117166186622e-09,0.9267932185826044,115,2.064170859200069,14.604196733740444,0.005104386482263583,15,0.007477707842066489,1665,0.7386262618448952,PRUNED
88,0.632335560701526,2025-12-25 19:53:07.483302,2025-12-25 19:53:11.680128,0 days 00:00:04.196826,3.850135494879636e-10,0.9020069811410348,139,5.26678143869624,2.171892908807453e-08,0.07540553403141644,14,0.004060191714897814,1753,0.8821691220824301,PRUNED
89,0.2832601807142803,2025-12-25 19:53:11.680419,2025-12-25 19:53:33.336801,0 days 00:00:21.656382,3.4415168248461342e-09,0.9991164088263688,154,1.2054945833246489,0.2681877440060817,0.010030073460266933,16,0.0014533091801872742,1885,0.7661421829614202,COMPLETE
90,0.6364416357710164,2025-12-25 19:53:33.337288,2025-12-25 19:53:38.162789,0 days 00:00:04.825501,6.651225052064741e-08,0.9626159360165478,196,0.7732917575619601,35.16868231726412,0.12718963759853258,7,0.4887648468052742,1790,0.7220680093707953,PRUNED
